badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-105547323,Abbotsbury,NSW,2176,,,340000,"Range: $285,000 - $340,000",house,0,1,0,,,-1.0,,PXVEDE,LJ Hooker - EDENSOR PARK,,,17 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-abbotsbury-104810346,Abbotsbury,NSW,2176,,,430000,"Range: $370,000 - $430,000",residential-other,0,1,0,,,651.0,m²,PXVEDE,LJ Hooker - EDENSOR PARK,,,07 Nov 2008,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-140940212,Abbotsbury,NSW,2176,3 Province Street,"3 Province Street, Abbotsbury, NSW 2176",1130000,"$1,130,000",house,3,2,1,,,640.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,17 Dec 2022,house,,640.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-138730555,Abbotsbury,NSW,2176,12 Glenton Street,"12 Glenton Street, Abbotsbury, NSW 2176",1200000,"$1,200,000",house,3,2,1,,,617.8,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,02 Apr 2022,house,,617.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-135893434,Abbotsbury,NSW,2176,9 Province Street,"9 Province Street, Abbotsbury, NSW 2176",940000,"$940,000",house,3,1,1,,,633.0,m²,XCEBOS,Century 21 - The Parks Realty,,,24 Apr 2021,house,,633.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-133788338,Abbotsbury,NSW,2176,9 Province Street,"9 Province Street, Abbotsbury, NSW 2176",760000,"$760,000",house,3,1,1,,,633.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,08 Jul 2020,house,,633.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-133535682,Abbotsbury,NSW,2176,11 Darling Street,"11 Darling Street, Abbotsbury, NSW 2176",880000,"$880,000",house,3,1,1,,,-1.0,,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,18 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-133288590,Abbotsbury,NSW,2176,3 Whisson Close,"3 Whisson Close, Abbotsbury, NSW 2176",730000,"$730,000",house,3,2,1,,,550.0,m²,PXVEDE,LJ Hooker - EDENSOR PARK,,,17 Apr 2020,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsbury-132135246,Abbotsbury,NSW,2176,9 Usher Close,"9 Usher Close, Abbotsbury, NSW 2176",777000,"$777,000",house,3,1,1,,,-1.0,,COIVYH,One Agency Alexopoulos Property - GLEDSWOOD HILLS,,,30 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-abbotsbury-131603418,Abbotsbury,NSW,2176,16A Gleeson Place,"16A Gleeson Place, Abbotsbury, NSW 2176",630000,"$630,000",duplex-semi-detached,3,2,1,,,-1.0,,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,29 Aug 2019,house,,-1.0
