badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-abbotsford-105614562,Abbotsford,NSW,2046,2A-2B Checkley,"2A-2B Checkley, Abbotsford, NSW 2046",,Contact agent,residential-other,1,1,0,,,1500.0,m²,XRWXBX,Locale Property Agents - FIVE DOCK,,,13 Dec 2010,house,,1500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-141452504,Abbotsford,NSW,2046,18 Fitzroy Street,"18 Fitzroy Street, Abbotsford, NSW 2046",2440000,"$2,440,000",house,2,1,0,,,303.5,m²,ABCFIV,Time Realty - Five Dock,,,01 Mar 2023,house,,303.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-141397724,Abbotsford,NSW,2046,505 Great North Road,"505 Great North Road, Abbotsford, NSW 2046",1745000,"$1,745,000",house,2,1,2,,,379.4,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,25 Feb 2023,house,,379.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-140265555,Abbotsford,NSW,2046,5 Glen Ormond Avenue,"5 Glen Ormond Avenue, Abbotsford, NSW 2046",2540000,"$2,540,000",house,2,1,1,,,398.4,m²,ABCFIV,Time Realty - Five Dock,,,24 Sep 2022,house,,398.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-135311754,Abbotsford,NSW,2046,32 St Albans Street,"32 St Albans Street, Abbotsford, NSW 2046",2150000,"$2,150,000",house,2,1,1,,,309.8,m²,ABCFIV,Time Realty - Five Dock,,,20 Feb 2021,house,,309.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-126033266,Abbotsford,NSW,2046,12 Kokoda Street,"12 Kokoda Street, Abbotsford, NSW 2046",2105000,"$2,105,000",house,2,1,1,,,516.0,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,19 Aug 2017,house,,516.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-125638950,Abbotsford,NSW,2046,9 THE TERRACE,"9 THE TERRACE, Abbotsford, NSW 2046",2290000,"$2,290,000",house,2,1,2,291,m²,291.0,m²,XLJLEI,MONTANO GROUP - LEICHHARDT,,,03 Jul 2017,house,291,291.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-122276378,Abbotsford,NSW,2046,505 Great North Road,"505 Great North Road, Abbotsford, NSW 2046",1420000,"$1,420,000",house,2,1,1,,,-1.0,,XLJCON,Horwood Nolan,,,30 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-132571606,Abbotsford,NSW,2046,6 / 56 ST ALBANS STREET,"6 / 56 ST ALBANS STREET, Abbotsford, NSW 2046",990000,"$990,000",house,2,1,1,,,-1.0,,JWHARZ,Raine & Horne - Five Dock/Drummoyne,,,27 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-121396342,Abbotsford,NSW,2046,8 Blackwall Point Road,"8 Blackwall Point Road, Abbotsford, NSW 2046",1550000,"$1,550,000",house,2,1,1,,,-1.0,,TWEBIY,Landmark Realty Group P/L - Sydney,,,15 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-121156210,Abbotsford,NSW,2046,13 Weddle Avenue,"13 Weddle Avenue, Abbotsford, NSW 2046",1765000,"$1,765,000",house,2,1,3,,,-1.0,,XFNDRU,Devine Real Estate - Drummoyne,,,28 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-abbotsford-118526707,Abbotsford,NSW,2046,1/157 Hampden Road,"1/157 Hampden Road, Abbotsford, NSW 2046",782500,"$782,500",house,2,1,1,,,150.0,m²,WHMUKE,BresicWhitney - Balmain,,,15 Dec 2014,house,,150.0
