badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-128185842,Airds,NSW,2560,,,90000,"$90,000",house,2,1,0,,,814.6,m²,XIYWHQ,Stone Real Estate Macarthur,,,28 Nov 2008,house,,814.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-104477002,Airds,NSW,2560,,,,Contact agent,house,2,1,0,,,814.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,28 Nov 2008,house,,814.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141814596,Airds,NSW,2560,306 Riverside drive,"306 Riverside drive, Airds, NSW 2560",651000,"$651,000",house,3,1,1,,,452.0,m²,TVLSRQ,Ray White - Macarthur Group,,,15 Apr 2023,house,,452.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141814628,Airds,NSW,2560,5 Wanganella Way,"5 Wanganella Way, Airds, NSW 2560",650000,"$650,000",house,3,1,1,,,431.0,m²,TVLSRQ,Ray White - Macarthur Group,,,15 Apr 2023,house,,431.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141814640,Airds,NSW,2560,286 Riverside drive,"286 Riverside drive, Airds, NSW 2560",620000,"$620,000",house,3,1,1,,,453.0,m²,TVLSRQ,Ray White - Macarthur Group,,,15 Apr 2023,house,,453.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141814672,Airds,NSW,2560,38 Peppin Crescent,"38 Peppin Crescent, Airds, NSW 2560",615000,"$615,000",house,3,1,1,,,500.0,m²,TVLSRQ,Ray White - Macarthur Group,,,15 Apr 2023,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141683072,Airds,NSW,2560,8 Boonoke Place,"8 Boonoke Place, Airds, NSW 2560",650000,"$650,000",house,3,1,1,,,555.0,m²,TVLSRQ,Ray White - Macarthur Group,,,14 Apr 2023,house,,555.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141536564,Airds,NSW,2560,272 Riverside Drive,"272 Riverside Drive, Airds, NSW 2560",705100,"$705,100",house,3,1,1,,,1125.0,m²,TVLSRQ,Ray White - Macarthur Group,,,18 Mar 2023,house,,1125.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141536448,Airds,NSW,2560,11 Peppin Crescent,"11 Peppin Crescent, Airds, NSW 2560",627000,"$627,000",house,3,1,1,,,622.0,m²,TVLSRQ,Ray White - Macarthur Group,,,18 Mar 2023,house,,622.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141536288,Airds,NSW,2560,5 Stanford Way,"5 Stanford Way, Airds, NSW 2560",610100,"$610,100",house,3,1,1,,,511.0,m²,TVLSRQ,Ray White - Macarthur Group,,,18 Mar 2023,house,,511.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-141536520,Airds,NSW,2560,44 Merino Crescent,"44 Merino Crescent, Airds, NSW 2560",597000,"$597,000",house,3,1,1,,,678.0,m²,TVLSRQ,Ray White - Macarthur Group,,,18 Mar 2023,house,,678.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-140943008,Airds,NSW,2560,10 Atkinson Place,"10 Atkinson Place, Airds, NSW 2560",720000,"$720,000",house,3,1,1,,,854.0,m²,TVLSRQ,Ray White - Macarthur Group,,,10 Dec 2022,house,,854.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-140943028,Airds,NSW,2560,44 Peppin Crescent,"44 Peppin Crescent, Airds, NSW 2560",653000,"$653,000",house,3,1,1,,,598.0,m²,TVLSRQ,Ray White - Macarthur Group,,,10 Dec 2022,house,,598.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-140942988,Airds,NSW,2560,6 Wanganella Way,"6 Wanganella Way, Airds, NSW 2560",595000,"$595,000",house,3,1,1,,,422.0,m²,TVLSRQ,Ray White - Macarthur Group,,,10 Dec 2022,house,,422.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-140943468,Airds,NSW,2560,256 Riverside Drive,"256 Riverside Drive, Airds, NSW 2560",567000,"$567,000",house,3,1,1,,,693.1,m²,TVLSRQ,Ray White - Macarthur Group,,,10 Dec 2022,house,,693.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-140760087,Airds,NSW,2560,16 Greengate Road,"16 Greengate Road, Airds, NSW 2560",673000,"$673,000",house,3,1,1,,,645.9,m²,TVLSRQ,Ray White - Macarthur Group,,,21 Nov 2022,house,,645.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-airds-140760259,Airds,NSW,2560,4 Yarrawin Way,"4 Yarrawin Way, Airds, NSW 2560",570000,"$570,000",house,3,1,1,,,432.0,m²,TVLSRQ,Ray White - Macarthur Group,,,21 Nov 2022,house,,432.0
