badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-141190824,Alfords Point,NSW,2234,5 Callistemon Close,"5 Callistemon Close, Alfords Point, NSW 2234",1591000,"$1,591,000",house,3,2,2,,,760.6,m²,HKPLTX,KORE Shire Partners - MENAI,,,04 Feb 2023,house,,760.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-137274854,Alfords Point,NSW,2234,48 Casuarina Road,"48 Casuarina Road, Alfords Point, NSW 2234",1520000,"$1,520,000",house,3,2,2,,,859.1,m²,HKPLTX,KORE Shire Partners - MENAI,,,24 Sep 2021,house,,859.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-134554746,Alfords Point,NSW,2234,15 Sheoak Place,"15 Sheoak Place, Alfords Point, NSW 2234",1185000,"$1,185,000",house,3,2,3,,,678.0,m²,THNMEN,Ray White Sutherland Shire - Menai,,,14 Oct 2020,house,,678.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-132627242,Alfords Point,NSW,2234,9 Satinwood Close,"9 Satinwood Close, Alfords Point, NSW 2234",879000,"$879,000",house,3,1,1,,,629.0,m²,THNMEN,Ray White Sutherland Shire - Menai,,,24 Jan 2020,house,,629.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-128747322,Alfords Point,NSW,2234,11 Coachwood Crescent,"11 Coachwood Crescent, Alfords Point, NSW 2234",1130000,"$1,130,000",house,3,2,2,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,04 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-126089778,Alfords Point,NSW,2234,15 Burrawang Place,"15 Burrawang Place, Alfords Point, NSW 2234",1340000,"$1,340,000",house,3,3,2,,,858.0,m²,HKPLTX,KORE Shire Partners - MENAI,,,26 Aug 2017,house,,858.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-125923982,Alfords Point,NSW,2234,8 Blackwattle Place,"8 Blackwattle Place, Alfords Point, NSW 2234",1240000,"$1,240,000",house,3,2,2,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,05 Aug 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-125913114,Alfords Point,NSW,2234,22 Jarrah Close,"22 Jarrah Close, Alfords Point, NSW 2234",1045000,"$1,045,000",house,3,2,2,,,758.0,m²,XCEMEN,Century 21 - Realty One,,,04 Aug 2017,house,,758.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-124662702,Alfords Point,NSW,2234,14 Casuarina Road,"14 Casuarina Road, Alfords Point, NSW 2234",1155000,"$1,155,000",house,3,2,2,,,666.0,m²,HKPLTX,KORE Shire Partners - MENAI,,,28 Feb 2017,house,,666.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-123893522,Alfords Point,NSW,2234,6 Lavender Place,"6 Lavender Place, Alfords Point, NSW 2234",1382000,"$1,382,000",house,3,3,12,,,1046.0,m²,XCEMEN,Century 21 - Realty One,,,12 Nov 2016,house,,1046.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-120904037,Alfords Point,NSW,2234,9 Satinwood Close,"9 Satinwood Close, Alfords Point, NSW 2234",820000,"$820,000",house,3,1,1,,,-1.0,,PBZQZT,Stone - Gymea,,,15 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-138000510,Alfords Point,NSW,2234,13 Karri Place,"13 Karri Place, Alfords Point, NSW 2234",1491000,"$1,491,000",house,3,2,2,,,688.6,m²,HKPLTX,KORE Shire Partners - MENAI,,,01 Nov 2021,house,,688.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-122359126,Alfords Point,NSW,2234,5 Nicholi Place,"5 Nicholi Place, Alfords Point, NSW 2234",1095000,"$1,095,000",house,3,1,2,,,765.0,m²,,,,,19 Apr 2016,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-120797453,Alfords Point,NSW,2234,8 Ironbark Close,"8 Ironbark Close, Alfords Point, NSW 2234",940000,"$940,000",house,3,2,2,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,23 Oct 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-119025055,Alfords Point,NSW,2234,4 Belinda Road,"4 Belinda Road, Alfords Point, NSW 2234",985000,"$985,000",house,3,1,4,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,27 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-117996611,Alfords Point,NSW,2234,1 Robinia Place,"1 Robinia Place, Alfords Point, NSW 2234",817000,"$817,000",house,3,2,1,,,677.6,m²,XLJPAF,LJ Hooker - Padstow  ,,,20 Oct 2014,house,,677.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-117314963,Alfords Point,NSW,2234,1A Cameron Place,"1A Cameron Place, Alfords Point, NSW 2234",655000,"$655,000",house,3,1,1,,,494.0,m²,,,,,14 Jul 2014,house,,494.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-108819746,Alfords Point,NSW,2234,8 Satinwood Close,"8 Satinwood Close, Alfords Point, NSW 2234",761000,"$761,000",house,3,2,0,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,29 Jan 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-115258923,Alfords Point,NSW,2234,28 Brushwood Drive,"28 Brushwood Drive, Alfords Point, NSW 2234",735000,"$735,000",house,3,2,2,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,18 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-114165807,Alfords Point,NSW,2234,25 Royal Oak Drive,"25 Royal Oak Drive, Alfords Point, NSW 2234",735020,"$735,020",house,3,2,2,,,762.0,m²,,,,,19 Jul 2013,house,,762.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-113592559,Alfords Point,NSW,2234,23 Jarrah Close,"23 Jarrah Close, Alfords Point, NSW 2234",697000,"$697,000",house,3,1,2,,,-1.0,,XNFRAM,PRD -  Ramsgate Beach | Sans Souci,,,18 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-108750576,Alfords Point,NSW,2234,7 Ironbark Close,"7 Ironbark Close, Alfords Point, NSW 2234",630000,"$630,000",house,3,1,2,,,986.0,m²,XCELIV,Century 21 Combined - Liverpool,,,07 Dec 2011,house,,986.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-alfords+point-106357744,Alfords Point,NSW,2234,83 Brushwood Drive,"83 Brushwood Drive, Alfords Point, NSW 2234",700000,"$700,000",house,3,2,1,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,08 Mar 2010,house,,-1.0
