badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-135082142,Allambie Heights,NSW,2100,25 Lyly Road,"25 Lyly Road, Allambie Heights, NSW 2100",,Contact agent,house,1,1,0,,,738.0,m²,QLALUO,JDH Real Estate - Northern Beaches,,,09 Dec 2020,house,,738.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-106459772,Allambie Heights,NSW,2100,1 Larissa Road,"1 Larissa Road, Allambie Heights, NSW 2100",625000,"$625,000",house,1,1,0,,,-1.0,,,,,,20 Aug 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-104647893,Allambie Heights,NSW,2100,1 Goondari Rd,"1 Goondari Rd, Allambie Heights, NSW 2100",,Contact agent,house,1,1,2,,,-1.0,,,,,,09 May 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-139573599,Allambie Heights,NSW,2100,45 Allambie Road,"45 Allambie Road, Allambie Heights, NSW 2100",1625000,"$1,625,000",house,2,1,2,,,815.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,26 Aug 2022,house,,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-139321879,Allambie Heights,NSW,2100,11 Palermo Place,"11 Palermo Place, Allambie Heights, NSW 2100",2000000,"$2,000,000",house,2,1,1,,,556.0,m²,QLALUO,JDH Real Estate - Northern Beaches,,,03 Jun 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-133093398,Allambie Heights,NSW,2100,57 Smith Avenue,"57 Smith Avenue, Allambie Heights, NSW 2100",1410000,"$1,410,000",house,2,1,2,,,470.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,06 Mar 2020,house,,470.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-131622950,Allambie Heights,NSW,2100,9 Bate Avenue,"9 Bate Avenue, Allambie Heights, NSW 2100",1605000,"$1,605,000",house,2,2,1,,,895.7,m²,XRWHAR,Ray White - Freshwater,,,10 Aug 2019,house,,895.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-128608490,Allambie Heights,NSW,2100,20 Kentwell Road,"20 Kentwell Road, Allambie Heights, NSW 2100",1672500,"$1,672,500",house,2,1,2,,,968.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,07 Jul 2018,house,,968.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-128315542,Allambie Heights,NSW,2100,2/23 Kentwell Road,"2/23 Kentwell Road, Allambie Heights, NSW 2100",985000,"$985,000",house,2,1,1,,,-1.0,,PRNSEA,Belle Property - Seaforth  ,,,16 May 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-126187342,Allambie Heights,NSW,2100,447 Condamine Street,"447 Condamine Street, Allambie Heights, NSW 2100",1296000,"$1,296,000",house,2,2,1,99,m²,480.0,m²,WBDWAR,Laing+Simmons - Freshwater,,,13 Sep 2017,house,99,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-118031471,Allambie Heights,NSW,2100,63 Allambie Road,"63 Allambie Road, Allambie Heights, NSW 2100",1060000,"$1,060,000",house,2,1,1,,,1113.0,m²,SKYFRE,Skyline Real Estate - FRENCHS FOREST,,,22 Oct 2014,house,,1113.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-135091842,Allambie Heights,NSW,2100,20 Kentwell Road,"20 Kentwell Road, Allambie Heights, NSW 2100",2020000,"$2,020,000",house,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,10 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-125427990,Allambie Heights,NSW,2100,13 Orara Road,"13 Orara Road, Allambie Heights, NSW 2100",1610000,"$1,610,000",house,2,1,0,116,m²,542.0,m²,LOTCHY,Shane Spence Real Estate,,,03 Jun 2017,house,116,542.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-121131110,Allambie Heights,NSW,2100,11A  Goondari Road,"11A  Goondari Road, Allambie Heights, NSW 2100",855000,"$855,000",house,2,1,1,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,21 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-120499037,Allambie Heights,NSW,2100,13 Wandella Road,"13 Wandella Road, Allambie Heights, NSW 2100",1320000,"$1,320,000",house,2,1,1,,,556.0,m²,PPSRQM,One Agency Hazlett & Poole,,,28 Sep 2015,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-119579595,Allambie Heights,NSW,2100,2/32-34 Kentwell Road,"2/32-34 Kentwell Road, Allambie Heights, NSW 2100",885000,"$885,000",house,2,2,1,,,-1.0,,XRHBAN,Raine & Horne - Manly,,,13 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-118827671,Allambie Heights,NSW,2100,36 Lyly Road,"36 Lyly Road, Allambie Heights, NSW 2100",905888,"$905,888",house,2,1,2,,,815.6,m²,QJWEGU,Clarke & Humel Property - Manly,,,30 Jan 2015,house,,815.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-117999119,Allambie Heights,NSW,2100,3a Yuruga Place,"3a Yuruga Place, Allambie Heights, NSW 2100",1190000,"$1,190,000",house,2,1,2,,,523.0,m²,PRNSEA,Belle Property - Seaforth  ,,,11 Oct 2014,house,,523.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-110922303,Allambie Heights,NSW,2100,22 Allambie Road,"22 Allambie Road, Allambie Heights, NSW 2100",745000,"$745,000",house,2,1,0,,,993.0,m²,XMHMAN,Stone Real Estate - Manly,,,10 Oct 2012,house,,993.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-108976481,Allambie Heights,NSW,2100,,,680046,"$680,046",house,2,1,1,,,-1.0,,RCEDEE,Ratcliff Mathews - Dee Why,,,11 Jan 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-107277102,Allambie Heights,NSW,2100,17 Binalong Avenue,"17 Binalong Avenue, Allambie Heights, NSW 2100",842000,"$842,000",house,2,1,1,,,645.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,20 Apr 2011,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-106752023,Allambie Heights,NSW,2100,45 Pozieres Parade,"45 Pozieres Parade, Allambie Heights, NSW 2100",750000,"$750,000",house,2,1,2,,,480.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,30 Aug 2010,house,,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-106404978,Allambie Heights,NSW,2100,,,803000,"$803,000",house,2,1,1,,,-1.0,,RCEDEE,Ratcliff Mathews - Dee Why,,,01 Apr 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-106079415,Allambie Heights,NSW,2100,,,688000,"$688,000",house,2,1,0,,,-1.0,,RCEDEE,Ratcliff Mathews - Dee Why,,,06 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-105413679,Allambie Heights,NSW,2100,19 Sanananda Avenue,"19 Sanananda Avenue, Allambie Heights, NSW 2100",740000,"$740,000",house,2,1,1,,,564.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,16 Mar 2009,house,,564.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-138570507,Allambie Heights,NSW,2100,77 Allambie Road,"77 Allambie Road, Allambie Heights, NSW 2100",1560000,"$1,560,000",house,2,1,2,,,658.0,m²,CLHQPJ,Raine & Horne Mona Vale,,,30 Mar 2022,house,,658.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-138353287,Allambie Heights,NSW,2100,25 Fishbourne Road,"25 Fishbourne Road, Allambie Heights, NSW 2100",2030000,"$2,030,000",house,2,1,1,,,512.2,m²,XFNFRE,Belle Property - Frenchs Forest,,,25 Feb 2022,house,,512.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-135633094,Allambie Heights,NSW,2100,3 Allambie Road,"3 Allambie Road, Allambie Heights, NSW 2100",2277000,"$2,277,000",house,2,2,3,,,873.0,m²,QDVLNY,McGrath - Manly,,,27 Mar 2021,house,,873.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-135280786,Allambie Heights,NSW,2100,2/84A Allambie Road,"2/84A Allambie Road, Allambie Heights, NSW 2100",960000,"$960,000",house,2,1,2,,,-1.0,,QDVLNY,McGrath - Manly,,,19 Jan 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allambie+heights-126499130,Allambie Heights,NSW,2100,142 Allambie Road,"142 Allambie Road, Allambie Heights, NSW 2100",1265000,"$1,265,000",house,2,1,2,,,443.0,m²,XLJPAN,LJ Hooker - Palm Beach,,,13 Oct 2017,house,,443.0
