badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-137427042,Allawah,NSW,2218,83 Bellevue Parade,"83 Bellevue Parade, Allawah, NSW 2218",1070000,"$1,070,000",house,2,1,2,,,241.0,m²,ARKENS,McGrath - South Hurstville,,,05 Feb 2022,house,,241.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-126016210,Allawah,NSW,2218,67 St Georges Parade,"67 St Georges Parade, Allawah, NSW 2218",1100000,"$1,100,000",house,2,2,2,,,-1.0,,HEETEE,Belle Property - St George,,,04 Aug 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-123461214,Allawah,NSW,2218,73A Woids Avenue,"73A Woids Avenue, Allawah, NSW 2218",1050000,"$1,050,000",house,2,1,0,,,-1.0,,HEETEE,Belle Property - St George,,,18 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-121736646,Allawah,NSW,2218,34 Woids Avenue,"34 Woids Avenue, Allawah, NSW 2218",915000,"$915,000",house,2,1,1,,,234.0,m²,ARKENS,McGrath - South Hurstville,,,20 Feb 2016,house,,234.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-119360595,Allawah,NSW,2218,119 St Georges Parade,"119 St Georges Parade, Allawah, NSW 2218",1160000,"$1,160,000",house,2,1,0,,,-1.0,,XRWXCP,Ray White - Hurstville,,,16 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-119126179,Allawah,NSW,2218,21a Lancelot Street,"21a Lancelot Street, Allawah, NSW 2218",852000,"$852,000",house,2,1,2,,,315.0,m²,ARKENS,McGrath - South Hurstville,,,14 Mar 2015,house,,315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-114689227,Allawah,NSW,2218,152 St Georges Parade,"152 St Georges Parade, Allawah, NSW 2218",780000,"$780,000",house,2,1,1,,,600.0,m²,ARKENS,McGrath - South Hurstville,,,21 Sep 2013,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-allawah-112349403,Allawah,NSW,2218,3/16-18 Rutland Street,"3/16-18 Rutland Street, Allawah, NSW 2218",500000,"$500,000",house,2,2,1,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,15 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-allawah-108629251,Allawah,NSW,2218,36 Woids Ave,"36 Woids Ave, Allawah, NSW 2218",560000,"$560,000",duplex-semi-detached,2,1,0,,,-1.0,,,,,,22 Dec 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-allawah-107481377,Allawah,NSW,2218,21A Lancelot Street,"21A Lancelot Street, Allawah, NSW 2218",580000,"$580,000",duplex-semi-detached,2,1,2,,,-1.0,,ACOKOG,Argy Property - Kogarah,,,08 Dec 2010,house,,-1.0
