badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-134604002,Arcadia Vale,NSW,2283,64 Arcadia Street,"64 Arcadia Street, Arcadia Vale, NSW 2283",355000,"$355,000",house,1,1,0,,,841.0,m²,AREENA,LJ Hooker Lake Macquarie - Wangi Wangi,,,17 Nov 2020,house,,841.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-128809070,Arcadia Vale,NSW,2283,15 Brighton Street,"15 Brighton Street, Arcadia Vale, NSW 2283",360000,"$360,000",house,1,1,0,,,654.0,m²,XFNTOT,Avery Property Professionals  -   ,,,04 Aug 2018,house,,654.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-128858954,Arcadia Vale,NSW,2283,95 Ilford Avenue,"95 Ilford Avenue, Arcadia Vale, NSW 2283",1025000,"$1,025,000",house,1,2,2,,,-1.0,,OKRIYO,McGrath Toukley - TOUKLEY,,,20 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-111711103,Arcadia Vale,NSW,2283,15 Brighton Street,"15 Brighton Street, Arcadia Vale, NSW 2283",226000,"$226,000",house,1,1,0,,,654.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,09 Oct 2012,house,,654.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-107421491,Arcadia Vale,NSW,2283,,,181000,"$181,000",house,1,1,1,,,550.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,08 Sep 2011,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-105970761,Arcadia Vale,NSW,2283,101 Arcadia STREET,"101 Arcadia STREET, Arcadia Vale, NSW 2283",252500,"$252,500",house,1,1,1,,,619.0,m²,XFNTOT,Avery Property Professionals  -   ,,,30 Mar 2010,house,,619.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-123679898,Arcadia Vale,NSW,2283,,,317000,"$317,000",house,1,1,1,,,486.9,m²,NTWOYA,Love Realty - Newcastle/ Lake Macquarie,,,06 Jul 2017,house,,486.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-104728396,Arcadia Vale,NSW,2283,89 Donnelly Road,"89 Donnelly Road, Arcadia Vale, NSW 2283",147000,"$147,000",house,1,1,1,,,2245.0,m²,XRWTOR,Ray White - Toronto,,,11 Jul 2008,house,,2245.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-111986223,Arcadia Vale,NSW,2283,4 Fern Street,"4 Fern Street, Arcadia Vale, NSW 2283",,Contact agent,house,1,1,1,,,504.0,m²,XFNTOT,Avery Property Professionals  -   ,,,,house,,504.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-141332012,Arcadia Vale,NSW,2283,17 Arcadia Street,"17 Arcadia Street, Arcadia Vale, NSW 2283",587500,"$587,500",house,2,2,1,95,m²,581.0,m²,UJUOKQ,The Agency - Newcastle,,,03 Mar 2023,house,95,581.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-140460991,Arcadia Vale,NSW,2283,47 Glade Street,"47 Glade Street, Arcadia Vale, NSW 2283",580000,"$580,000",house,2,1,2,,,505.9,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,14 Oct 2022,house,,505.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-arcadia+vale-137989330,Arcadia Vale,NSW,2283,104a Ilford Avenue,"104a Ilford Avenue, Arcadia Vale, NSW 2283",645000,"$645,000",house,2,1,0,,,718.0,m²,XRWTOR,Ray White - Toronto,,,01 Jun 2022,house,,718.0
