badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-125243670,Ashbury,NSW,2193,4 Roslyn Street,"4 Roslyn Street, Ashbury, NSW 2193",1380000,"$1,380,000",house,1,1,0,,,569.0,m²,ZZZAEN,Century 21 Innovative Realty - Revesby,,,16 May 2017,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-136349798,Ashbury,NSW,2193,30 Trevenar Street,"30 Trevenar Street, Ashbury, NSW 2193",,Contact agent,house,1,1,0,,,6688.0,m²,XLJLEI,MONTANO GROUP - LEICHHARDT,,,21 May 2021,house,,6688.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-139719427,Ashbury,NSW,2193,70a Hay Street,"70a Hay Street, Ashbury, NSW 2193",1192500,"$1,192,500",house,2,1,2,,,270.3,m²,XRHSUM,Hudson McHugh - Summer Hill,,,16 Sep 2022,house,,270.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-136328162,Ashbury,NSW,2193,195 Milton Street,"195 Milton Street, Ashbury, NSW 2193",1538000,"$1,538,000",house,2,1,1,,,234.0,m²,LCZVJE,Adrian William,,,12 Jun 2021,house,,234.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-135484986,Ashbury,NSW,2193,28 Lasswade Street,"28 Lasswade Street, Ashbury, NSW 2193",2010000,"$2,010,000",house,2,1,2,,,569.0,m²,RILCRO,Rich and Oliva - Real Estate ,,,13 Mar 2021,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-135484870,Ashbury,NSW,2193,5 Woodlands Road,"5 Woodlands Road, Ashbury, NSW 2193",1345000,"$1,345,000",house,2,1,0,,,284.0,m²,RILCRO,Rich and Oliva - Real Estate ,,,13 Mar 2021,house,,284.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-134061182,Ashbury,NSW,2193,58 First Street,"58 First Street, Ashbury, NSW 2193",1230000,"$1,230,000",house,2,1,1,,,461.5,m²,RILCRO,Rich and Oliva - Real Estate ,,,22 Aug 2020,house,,461.5
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ashbury-133491578,Ashbury,NSW,2193,136 Milton Street,"136 Milton Street, Ashbury, NSW 2193",1100000,"$1,100,000",duplex-semi-detached,2,1,1,,,-1.0,,UBNVBQ,Ray White - Belmore,,,23 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ashbury-132361222,Ashbury,NSW,2193,25 King Street,"25 King Street, Ashbury, NSW 2193",1210000,"$1,210,000",duplex-semi-detached,2,1,1,,,342.6,m²,RILCRO,Rich and Oliva - Real Estate ,,,13 Nov 2019,house,,342.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-132008454,Ashbury,NSW,2193,193 Milton Street,"193 Milton Street, Ashbury, NSW 2193",1200000,"$1,200,000",house,2,1,2,,,234.0,m²,CAZANN,Callagher Estate Agents - Annandale,,,04 Nov 2019,house,,234.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-131823402,Ashbury,NSW,2193,6 Melville Street,"6 Melville Street, Ashbury, NSW 2193",1380000,"$1,380,000",house,2,1,1,,,556.4,m²,ABCFIV,Time Realty - Five Dock,,,21 Sep 2019,house,,556.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-130667986,Ashbury,NSW,2193,17 Woodlands Road,"17 Woodlands Road, Ashbury, NSW 2193",1100000,"$1,100,000",house,2,1,1,,,304.0,m²,CAZANN,Callagher Estate Agents - Annandale,,,20 Mar 2019,house,,304.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-126498362,Ashbury,NSW,2193,39 Second Street,"39 Second Street, Ashbury, NSW 2193",1435000,"$1,435,000",house,2,1,2,,,-1.0,,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,21 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-126437606,Ashbury,NSW,2193,14 First Street,"14 First Street, Ashbury, NSW 2193",1310000,"$1,310,000",house,2,2,0,,,322.0,m²,RILCRO,Rich and Oliva - Real Estate ,,,14 Oct 2017,house,,322.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-126214426,Ashbury,NSW,2193,9 Second Street,"9 Second Street, Ashbury, NSW 2193",1260000,"$1,260,000",house,2,1,0,,,323.0,m²,RILCRO,Rich and Oliva - Real Estate ,,,16 Sep 2017,house,,323.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ashbury-123848962,Ashbury,NSW,2193,193 Milton Street,"193 Milton Street, Ashbury, NSW 2193",1011000,"$1,011,000",duplex-semi-detached,2,1,2,,,284.0,m²,RILCRO,Rich and Oliva - Real Estate ,,,12 Nov 2016,house,,284.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-122505974,Ashbury,NSW,2193,19 Roslyn Street,"19 Roslyn Street, Ashbury, NSW 2193",1210000,"$1,210,000",house,2,1,2,,,434.0,m²,RILCRO,Rich and Oliva - Real Estate ,,,23 May 2016,house,,434.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ashbury-121162578,Ashbury,NSW,2193,54 Hanks Street,"54 Hanks Street, Ashbury, NSW 2193",1230000,"$1,230,000",duplex-semi-detached,2,2,1,,,-1.0,,RILCRO,Rich and Oliva - Real Estate ,,,16 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-137290430,Ashbury,NSW,2193,30 Fourth Street,"30 Fourth Street, Ashbury, NSW 2193",1752000,"$1,752,000",house,2,1,0,,,-1.0,,XRHASI,Raine & Horne - Ashfield,,,13 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-ashbury-125412134,Ashbury,NSW,2193,70A Hay St,"70A Hay St, Ashbury, NSW 2193",1010000,"$1,010,000",duplex-semi-detached,2,1,1,,,270.3,m²,PJBPXW,Bobb Property Group - Punchbowl,,,05 Jun 2017,house,,270.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-120334057,Ashbury,NSW,2193,14 First Street,"14 First Street, Ashbury, NSW 2193",1130000,"$1,130,000",house,2,1,0,,,-1.0,,TAEEVM,LJ Hooker - Campsie,,,22 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashbury-120072873,Ashbury,NSW,2193,15 Trevenar Street,"15 Trevenar Street, Ashbury, NSW 2193",1190000,"$1,190,000",house,2,1,1,,,-1.0,,SKGBAF,Belle Property - Newtown,,,18 Jul 2015,house,,-1.0
