badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-107306419,Ashcroft,NSW,2168,,,5000,"Range:  - $5,000",house,1,3,6,,,781.0,m²,,,,,29 Apr 2011,house,,781.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-140826892,Ashcroft,NSW,2168,34 Stanwell Crescent,"34 Stanwell Crescent, Ashcroft, NSW 2168",730000,"$730,000",house,2,1,2,,,878.9,m²,XCELIV,Century 21 Combined - Liverpool,,,14 Dec 2022,house,,878.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-120008237,Ashcroft,NSW,2168,,,500000,"$500,000",house,2,1,0,,,594.0,m²,,,,,14 Jun 2015,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-119727663,Ashcroft,NSW,2168,180 Elizabeth Drive,"180 Elizabeth Drive, Ashcroft, NSW 2168",881000,"$881,000",house,2,1,1,,,-1.0,,,,,,13 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-117612395,Ashcroft,NSW,2168,2 Marum Street,"2 Marum Street, Ashcroft, NSW 2168",405000,"$405,000",house,2,1,0,,,550.1,m²,,,,,20 Aug 2014,house,,550.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-114237927,Ashcroft,NSW,2168,91 Maxwells Ave,"91 Maxwells Ave, Ashcroft, NSW 2168",430000,"$430,000",house,2,1,2,,,-1.0,,COILIV,Community First Real Estate - Liverpool,,,02 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-105029300,Ashcroft,NSW,2168,6 Curlewis Street,"6 Curlewis Street, Ashcroft, NSW 2168",,Contact agent,house,2,1,1,,,-1.0,,KSVRHL,Armishaw & Santoro Realty - LIVERPOOL,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-141762288,Ashcroft,NSW,2168,50 Sheriff Street,"50 Sheriff Street, Ashcroft, NSW 2168",805000,"$805,000",house,3,1,1,,,670.0,m²,PMCTLJ,Marando Real Estate South West - South West,,,18 Apr 2023,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-141508880,Ashcroft,NSW,2168,29 Sadleir Avenue,"29 Sadleir Avenue, Ashcroft, NSW 2168",776000,"$776,000",house,3,1,1,,,632.0,m²,COILIV,Community First Real Estate - Liverpool,,,18 Mar 2023,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ashcroft-141000348,Ashcroft,NSW,2168,14 Wilberforce Street,"14 Wilberforce Street, Ashcroft, NSW 2168",805000,"$805,000",house,3,2,2,,,607.0,m²,STALIL,Prudential Real Estate - Liverpool,,,20 Jan 2023,house,,607.0
