badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-116277063,Austinmer,NSW,2515,7A Mountain Road,"7A Mountain Road, Austinmer, NSW 2515",570000,"$570,000",house,1,1,0,,,-1.0,,RRQEVW,Dignam Real Estate,,,20 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-106114586,Austinmer,NSW,2515,28 Asquith Street,"28 Asquith Street, Austinmer, NSW 2515",,Contact agent,house,1,1,0,,,-1.0,,UTFACO,Molenaar + McNeice,,,05 Jan 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-138628519,Austinmer,NSW,2515,8 Balfour Road,"8 Balfour Road, Austinmer, NSW 2515",2140000,"$2,140,000",house,2,1,1,,,694.0,m²,UTFACO,Molenaar + McNeice,,,28 Mar 2022,house,,694.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-135644690,Austinmer,NSW,2515,12 Kennedy Road,"12 Kennedy Road, Austinmer, NSW 2515",2500000,"$2,500,000",house,2,1,4,,,733.0,m²,MBSDRI,McGrath - Thirroul,,,06 Apr 2021,house,,733.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-129578894,Austinmer,NSW,2515,75-77 Asquith Street,"75-77 Asquith Street, Austinmer, NSW 2515",850000,"$850,000",house,2,1,1,,,1246.0,m²,ROKTHI,Seacliff Property - THIRROUL,,,10 Nov 2018,house,,1246.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-128589286,Austinmer,NSW,2515,20 Balfour Road,"20 Balfour Road, Austinmer, NSW 2515",1140000,"$1,140,000",house,2,1,1,,,841.0,m²,MBSDRI,McGrath - Thirroul,,,21 Aug 2018,house,,841.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-125874466,Austinmer,NSW,2515,31 Mountain Road,"31 Mountain Road, Austinmer, NSW 2515",1050000,"$1,050,000",house,2,1,1,,,531.0,m²,MBSDRI,McGrath - Thirroul,,,01 Sep 2017,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-124847078,Austinmer,NSW,2515,"Penthouse 303, 1 Yuruga Street","Penthouse 303, 1 Yuruga Street, Austinmer, NSW 2515",1260000,"$1,260,000",house,2,1,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,24 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-123823666,Austinmer,NSW,2515,48 Railway Avenue,"48 Railway Avenue, Austinmer, NSW 2515",1200000,"$1,200,000",house,2,1,1,,,-1.0,,MBSDRI,McGrath - Thirroul,,,05 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-121815346,Austinmer,NSW,2515,44 Balfour Road,"44 Balfour Road, Austinmer, NSW 2515",847500,"$847,500",house,2,1,2,,,556.0,m²,MBSDRI,McGrath - Thirroul,,,27 Feb 2016,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-137001430,Austinmer,NSW,2515,2 Balfour Road,"2 Balfour Road, Austinmer, NSW 2515",1670000,"$1,670,000",house,2,1,2,,,695.0,m²,RRQEVW,Dignam Real Estate,,,18 Aug 2021,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-130850334,Austinmer,NSW,2515,40 Moore Street,"40 Moore Street, Austinmer, NSW 2515",1400000,"$1,400,000",house,2,1,0,136,m²,235.7,m²,RRQEVW,Dignam Real Estate,,,08 Jul 2019,house,136,235.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-austinmer-118319359,Austinmer,NSW,2515,,,1150000,"$1,150,000",house,2,1,0,,,-1.0,,JPWHWX,Urban Property - Thirroul,,,22 Jul 2015,house,,-1.0
