badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-107589237,Balgowlah,NSW,2093,341 Sydney Rd,"341 Sydney Rd, Balgowlah, NSW 2093",390000,"$390,000",house,0,1,1,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,31 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-north+balgowlah-104819160,North Balgowlah,NSW,2093,35 Serpentine Cres,"35 Serpentine Cres, North Balgowlah, NSW 2093",,Contact agent,residential-other,0,1,0,,,910.0,m²,,,,,11 Dec 2008,house,,910.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-113587291,Manly Vale,NSW,2093,343 Condamine Street,"343 Condamine Street, Manly Vale, NSW 2093",1350000,"$1,350,000",house,1,1,0,500,m²,480.0,m²,,,,,06 Sep 2013,house,500,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-114257771,Manly Vale,NSW,2093,8/8 Fairway Close,"8/8 Fairway Close, Manly Vale, NSW 2093",355000,"$355,000",house,1,1,1,62,m²,-1.0,,XRHBAN,Raine & Horne - Manly,,,17 Jul 2013,house,62,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+balgowlah-107523662,North Balgowlah,NSW,2093,1/130 Clontarf Street,"1/130 Clontarf Street, North Balgowlah, NSW 2093",700000,"$700,000",house,1,1,0,,,1248.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,15 May 2012,house,,1248.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-105503836,Manly Vale,NSW,2093,51 Innes Road,"51 Innes Road, Manly Vale, NSW 2093",710000,"$710,000",house,1,1,1,,,494.0,m²,,,,,12 Feb 2009,house,,494.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-105228687,Manly Vale,NSW,2093,11/2a Campbell Parade,"11/2a Campbell Parade, Manly Vale, NSW 2093",505000,"$505,000",house,1,1,3,58,m²,111.0,m²,,,,,10 Nov 2008,house,58,111.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-133503806,Manly Vale,NSW,2093,1/59 Campbell Parade,"1/59 Campbell Parade, Manly Vale, NSW 2093",,Contact agent,house,1,1,1,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,15 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-120573029,Balgowlah,NSW,2093,81-83  Griffiths Street,"81-83  Griffiths Street, Balgowlah, NSW 2093",,Contact agent,house,1,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,18 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-112619119,Clontarf,NSW,2093,19 Beatrice Street,"19 Beatrice Street, Clontarf, NSW 2093",,Contact agent,house,1,1,0,,,-1.0,,,,,,14 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-north+balgowlah-139454851,North Balgowlah,NSW,2093,16 Illalong Avenue,"16 Illalong Avenue, North Balgowlah, NSW 2093",2480000,"$2,480,000",house,2,1,1,,,-1.0,,PRNSEA,Belle Property - Seaforth  ,,,21 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-138483295,Manly Vale,NSW,2093,15/7 Fairway Close,"15/7 Fairway Close, Manly Vale, NSW 2093",1235000,"$1,235,000",house,2,1,1,,,-1.0,,PRNSEA,Belle Property - Seaforth  ,,,22 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-137212030,Manly Vale,NSW,2093,138 Kenneth Road,"138 Kenneth Road, Manly Vale, NSW 2093",2100000,"$2,100,000",house,2,1,1,,,292.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,14 Sep 2021,house,,292.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-manly+vale-137117766,Manly Vale,NSW,2093,25 Marinella Street,"25 Marinella Street, Manly Vale, NSW 2093",2600000,"$2,600,000",house,2,2,1,,,245.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,31 Aug 2021,house,,245.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-136237394,Balgowlah,NSW,2093,285 Sydney Road,"285 Sydney Road, Balgowlah, NSW 2093",1950000,"$1,950,000",house,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,21 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-135851618,Balgowlah,NSW,2093,72 Seaview Street,"72 Seaview Street, Balgowlah, NSW 2093",2624000,"$2,624,000",house,2,1,1,,,341.0,m²,QDVLNY,McGrath - Manly,,,17 Apr 2021,house,,341.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-135804450,Balgowlah,NSW,2093,15 Lombard Street,"15 Lombard Street, Balgowlah, NSW 2093",2320000,"$2,320,000",house,2,1,0,,,251.1,m²,WPBMRK,The Agency - Northern Beaches,,,10 Apr 2021,house,,251.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-135771790,Balgowlah,NSW,2093,3/87 West Street,"3/87 West Street, Balgowlah, NSW 2093",1850000,"$1,850,000",house,2,2,2,,,164.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,10 Apr 2021,house,,164.0
