badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-107589237,Balgowlah,NSW,2093,341 Sydney Rd,"341 Sydney Rd, Balgowlah, NSW 2093",390000,"$390,000",house,0,1,1,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,31 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-120573029,Balgowlah,NSW,2093,81-83  Griffiths Street,"81-83  Griffiths Street, Balgowlah, NSW 2093",,Contact agent,house,1,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,18 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-136237394,Balgowlah,NSW,2093,285 Sydney Road,"285 Sydney Road, Balgowlah, NSW 2093",1950000,"$1,950,000",house,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,21 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-135851618,Balgowlah,NSW,2093,72 Seaview Street,"72 Seaview Street, Balgowlah, NSW 2093",2624000,"$2,624,000",house,2,1,1,,,341.0,m²,QDVLNY,McGrath - Manly,,,17 Apr 2021,house,,341.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-135804450,Balgowlah,NSW,2093,15 Lombard Street,"15 Lombard Street, Balgowlah, NSW 2093",2320000,"$2,320,000",house,2,1,0,,,251.1,m²,WPBMRK,The Agency - Northern Beaches,,,10 Apr 2021,house,,251.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-135771790,Balgowlah,NSW,2093,3/87 West Street,"3/87 West Street, Balgowlah, NSW 2093",1850000,"$1,850,000",house,2,2,2,,,164.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,10 Apr 2021,house,,164.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-balgowlah-131713870,Balgowlah,NSW,2093,1/9 Boyle Street,"1/9 Boyle Street, Balgowlah, NSW 2093",1670000,"$1,670,000",duplex-semi-detached,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,30 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-balgowlah-131702706,Balgowlah,NSW,2093,1/22 Waratah Street,"1/22 Waratah Street, Balgowlah, NSW 2093",1270000,"$1,270,000",duplex-semi-detached,2,1,1,,,-1.0,,XMHMAN,Stone Real Estate - Manly,,,21 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-128762486,Balgowlah,NSW,2093,80 Seaview Street,"80 Seaview Street, Balgowlah, NSW 2093",1745000,"$1,745,000",house,2,2,2,,,341.0,m²,AMCFOR,Raine & Horne Forestville - Frenchs Forest,,,30 Jul 2018,house,,341.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-128876162,Balgowlah,NSW,2093,8 Kitchener Street,"8 Kitchener Street, Balgowlah, NSW 2093",1470000,"$1,470,000",house,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,25 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balgowlah-127527778,Balgowlah,NSW,2093,10 Lodge Street,"10 Lodge Street, Balgowlah, NSW 2093",1950000,"$1,950,000",house,2,1,2,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,03 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-balgowlah-126727986,Balgowlah,NSW,2093,1/1 White Street,"1/1 White Street, Balgowlah, NSW 2093",1340000,"$1,340,000",duplex-semi-detached,2,1,1,,,-1.0,,XMHMAN,Stone Real Estate - Manly,,,11 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-balgowlah-125893454,Balgowlah,NSW,2093,1/4 Westlake Place,"1/4 Westlake Place, Balgowlah, NSW 2093",1355000,"$1,355,000",duplex-semi-detached,2,1,2,130,m²,-1.0,,KLASEA,Stone Real Estate Seaforth - Seaforth,,,31 Jul 2017,house,130,-1.0
