badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-126474102,Balmoral,NSW,2571,59 Railway Parade,"59 Railway Parade, Balmoral, NSW 2571",552800,"$552,800",house,2,1,0,,,-1.0,,XRWXEC,Ray White - Picton,,,29 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-108718366,Balmoral,NSW,2571,79 Railway Parade,"79 Railway Parade, Balmoral, NSW 2571",239000,"$239,000",house,2,1,1,,,-1.0,,PPUTAH,Carpenter Partners Real Estate - Tahmoor,,,21 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-107620522,Balmoral,NSW,2571,67 Railway Parade,"67 Railway Parade, Balmoral, NSW 2571",215000,"$215,000",house,2,1,0,,,2186.0,m²,ZPCAFL,Richardson & Wrench Tahmoor - Tahmoor,,,02 Sep 2011,house,,2186.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral+village-105809961,Balmoral Village,NSW,2571,,,320000,"Range: $270,000 - $320,000",house,2,1,8,102,m²,1012.0,m²,ZPCAFL,Richardson & Wrench Tahmoor - Tahmoor,,,30 Jun 2009,house,102,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-141007240,Balmoral,NSW,2571,31 Railway Parade,"31 Railway Parade, Balmoral, NSW 2571",905000,"$905,000",house,3,1,2,,,1675.0,m²,PPUTAH,Carpenter Partners Real Estate - Tahmoor,,,03 Feb 2023,house,,1675.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-138944943,Balmoral,NSW,2571,16 River Street,"16 River Street, Balmoral, NSW 2571",1700000,"$1,700,000",house,3,2,2,,,4.86,ha,PPUTAH,Carpenter Partners Real Estate - Tahmoor,,,08 Jun 2022,house,,48600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-137331762,Balmoral,NSW,2571,58 Railway Parade,"58 Railway Parade, Balmoral, NSW 2571",810000,"$810,000",house,3,2,2,,,1150.0,m²,PFPAAY,KLM Property Group - Picton ,,,14 Mar 2022,house,,1150.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-134922138,Balmoral,NSW,2571,65 Railway Parade,"65 Railway Parade, Balmoral, NSW 2571",630000,"$630,000",house,3,1,2,,,2395.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,18 Jan 2021,house,,2395.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-balmoral-134538958,Balmoral,NSW,2571,36 Kingfisher Avenue,"36 Kingfisher Avenue, Balmoral, NSW 2571",880000,"$880,000",acreage,3,3,2,,,7144.0,m²,WPLQEB,The Realty Group - Macarthur,,,23 Nov 2020,house,,7144.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-128449130,Balmoral,NSW,2571,616 Wilson Drive,"616 Wilson Drive, Balmoral, NSW 2571",875000,"$875,000",house,3,2,2,,,2.19,ha,XFNPIC,Gerard Smith First National - Picton,,,10 Oct 2019,house,,21900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-129784042,Balmoral,NSW,2571,560 Wilson Drive,"560 Wilson Drive, Balmoral, NSW 2571",1150000,"$1,150,000",house,3,3,1,,,2.41,ha,PPUTAH,Carpenter Partners Real Estate - Tahmoor,,,12 Feb 2019,house,,24100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-122726390,Balmoral,NSW,2571,31 Railway Parade,"31 Railway Parade, Balmoral, NSW 2571",526000,"$526,000",house,3,1,2,,,1560.0,m²,TLQHKK,Exclusive Estate Agents - PICTON,,,24 Jun 2016,house,,1560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-120850361,Balmoral,NSW,2571,752 Wilson Drive,"752 Wilson Drive, Balmoral, NSW 2571",810000,"$810,000",house,3,2,2,,,2.63,ha,XFNPIC,Gerard Smith First National - Picton,,,04 Nov 2015,house,,26300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-balmoral-125158186,Balmoral,NSW,2571,21 Railway Parade,"21 Railway Parade, Balmoral, NSW 2571",530000,"$530,000",acreage,3,1,5,,,2368.0,m²,,,,,05 May 2017,house,,2368.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-124714494,Balmoral,NSW,2571,7 William Street,"7 William Street, Balmoral, NSW 2571",940000,"$940,000",house,3,2,5,,,2.02,ha,PZXJVB,Peter Hunt Real Estate - THIRLMERE,,,15 Mar 2017,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral+village-114955499,Balmoral Village,NSW,2571,365 Seabrook Road,"365 Seabrook Road, Balmoral Village, NSW 2571",565000,"$565,000",house,3,1,2,,,12.95,ha,XFNPIC,Gerard Smith First National - Picton,,,20 Feb 2014,house,,129500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-108759876,Balmoral,NSW,2571,8 Parklands Glade,"8 Parklands Glade, Balmoral, NSW 2571",535000,"$535,000",house,3,2,3,,,-1.0,,PPUTAH,Carpenter Partners Real Estate - Tahmoor,,,09 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-107407429,Balmoral,NSW,2571,616 Wilson Drive,"616 Wilson Drive, Balmoral, NSW 2571",550000,"$550,000",house,3,1,1,,,-1.0,,XCEMTT,CARLTON REAL ESTATE - MITTAGONG ,,,28 Sep 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-balmoral-105923505,Balmoral,NSW,2571,,,495000,"$495,000",residential-other,3,1,3,,,-1.0,,PPUTAH,Carpenter Partners Real Estate - Tahmoor,,,09 Jan 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-105996362,Balmoral,NSW,2571,636 Wilson Drive,"636 Wilson Drive, Balmoral, NSW 2571",390000,"$390,000",house,3,2,4,,,2.28,ha,MISRCO,Richardson and Wrench - Southern Highlands,,,06 Nov 2009,house,,22799.999999999996
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-105686075,Balmoral,NSW,2571,10 Parklands Glade,"10 Parklands Glade, Balmoral, NSW 2571",352000,"$352,000",house,3,2,3,,,-1.0,,XCEMTT,CARLTON REAL ESTATE - MITTAGONG ,,,05 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-balmoral-105722195,Balmoral,NSW,2571,895 'Havering' Wilson Drive,"895 'Havering' Wilson Drive, Balmoral, NSW 2571",475000,"$475,000",acreage,3,1,0,,,-1.0,,XCEMTT,CARLTON REAL ESTATE - MITTAGONG ,,,14 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-141574464,Balmoral,NSW,2571,2 Victoria Street,"2 Victoria Street, Balmoral, NSW 2571",,Contact agent,house,3,1,3,,,5.67,ha,XFNPIC,Gerard Smith First National - Picton,,,22 Mar 2023,house,,56700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-137936614,Balmoral,NSW,2571,61 RAILWAY PARADE,"61 RAILWAY PARADE, Balmoral, NSW 2571",920000,"$920,000",house,3,1,0,,,4146.0,m²,ELDPIC,Elders Real Estate  - Picton ,,,04 Feb 2022,house,,4146.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-balmoral-120988182,Balmoral,NSW,2571,616 Wilson Drive,"616 Wilson Drive, Balmoral, NSW 2571",,Contact agent,acreage,3,1,6,,,2.19,ha,FFGQWF,Smyth Property Group - BOWRAL,,,16 Dec 2015,house,,21900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-103986250,Balmoral,NSW,2571,,,370000,"$370,000",house,3,2,2,,,1214.0,m²,ZPCAFL,Richardson & Wrench Tahmoor - Tahmoor,,,22 Apr 2009,house,,1214.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-117270139,Balmoral,NSW,2571,374 WILSON DRIVE,"374 WILSON DRIVE, Balmoral, NSW 2571",,Contact agent,house,3,1,7,,,974.0,m²,,,,,,house,,974.0
