badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-113637219,Balmoral,NSW,2283,,,375000,"$375,000",house,1,1,1,,,-1.0,,XRWTOR,Ray White - Toronto,,,27 Aug 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-108349096,Balmoral,NSW,2283,,,695000,"$695,000",house,2,2,2,,,822.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,09 Mar 2012,house,,822.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-106702576,Balmoral,NSW,2283,,,220000,"$220,000",house,2,1,1,,,934.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,01 Sep 2010,house,,934.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-140727263,Balmoral,NSW,2283,35 Oakwood Road,"35 Oakwood Road, Balmoral, NSW 2283",620000,"$620,000",house,2,1,1,,,349.1,m²,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,05 Dec 2022,house,,349.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-132688354,Balmoral,NSW,2283,85 Letchworth Parade,"85 Letchworth Parade, Balmoral, NSW 2283",450000,"$450,000",house,2,1,1,,,759.0,m²,ASAYKQ,Belle Property Lake Macquarie - Charlestown,,,22 Jan 2020,house,,759.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-118709359,Balmoral,NSW,2283,,,318000,"$318,000",house,2,2,1,,,733.5,m²,NTWOYA,Love Realty - Newcastle/ Lake Macquarie,,,10 Feb 2015,house,,733.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-110637405,Balmoral,NSW,2283,,,299990,"$299,990",house,2,1,1,,,-1.0,,XRWTOR,Ray White - Toronto,,,23 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-108022606,Balmoral,NSW,2283,,,305000,"$305,000",house,2,1,0,,,834.0,m²,XRWTOR,Ray White - Toronto,,,24 Oct 2011,house,,834.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-106468078,Balmoral,NSW,2283,17 Letchworth Road,"17 Letchworth Road, Balmoral, NSW 2283",279000,"$279,000",house,2,1,1,,,743.0,m²,XRHMOT,PRD  - Real Estate,,,28 Jul 2010,house,,743.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-123505266,Balmoral,NSW,2283,,,,Contact agent,house,2,1,0,,,834.7,m²,XRHMOT,PRD  - Real Estate,,,28 Aug 2007,house,,834.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-140336815,Balmoral,NSW,2283,15 Woodlands Avenue,"15 Woodlands Avenue, Balmoral, NSW 2283",660000,"$660,000",house,3,1,1,,,1043.0,m²,XFNTOT,Avery Property Professionals  -   ,,,07 Oct 2022,house,,1043.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-139605715,Balmoral,NSW,2283,84 Clydebank Road,"84 Clydebank Road, Balmoral, NSW 2283",655000,"$655,000",house,3,2,1,,,733.0,m²,XFNTOT,Avery Property Professionals  -   ,,,29 Aug 2022,house,,733.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-139858451,Balmoral,NSW,2283,1 Kingsland Avenue,"1 Kingsland Avenue, Balmoral, NSW 2283",651500,"$651,500",house,3,1,1,,,709.0,m²,XFNTOT,Avery Property Professionals  -   ,,,09 Aug 2022,house,,709.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-138051690,Balmoral,NSW,2283,10 Hastings Road,"10 Hastings Road, Balmoral, NSW 2283",775000,"$775,000",house,3,1,2,,,735.0,m²,XRWTOR,Ray White - Toronto,,,11 Jan 2022,house,,735.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-136505238,Balmoral,NSW,2283,28 Hastings Road,"28 Hastings Road, Balmoral, NSW 2283",668000,"$668,000",house,3,2,2,,,739.0,m²,XRWTOR,Ray White - Toronto,,,21 Jul 2021,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-136542998,Balmoral,NSW,2283,37 Letchworth Parade,"37 Letchworth Parade, Balmoral, NSW 2283",827000,"$827,000",house,3,1,1,,,841.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,15 Jul 2021,house,,841.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-135270090,Balmoral,NSW,2283,13 Kingsland Avenue,"13 Kingsland Avenue, Balmoral, NSW 2283",668000,"$668,000",house,3,1,2,,,734.0,m²,GPKKAM,Spillane Property - Newcastle,,,10 Feb 2021,house,,734.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-133896298,Balmoral,NSW,2283,33 Clydebank Road,"33 Clydebank Road, Balmoral, NSW 2283",580000,"$580,000",house,3,2,2,,,773.9,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,12 Nov 2020,house,,773.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-131423054,Balmoral,NSW,2283,21 Letchworth Parade,"21 Letchworth Parade, Balmoral, NSW 2283",558000,"$558,000",house,3,2,3,,,695.0,m²,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,08 Jul 2019,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-127574482,Balmoral,NSW,2283,32 HASTINGS ROAD,"32 HASTINGS ROAD, Balmoral, NSW 2283",570000,"$570,000",house,3,1,4,,,-1.0,,VZUYFE,First National Real Estate - Toronto,,,15 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-balmoral-127175066,Balmoral,NSW,2283,20 Kingsland Avenue,"20 Kingsland Avenue, Balmoral, NSW 2283",560000,"$560,000",house,3,1,2,,,-1.0,,VZUYFE,First National Real Estate - Toronto,,,17 Jan 2018,house,,-1.0
