badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-106683042,Bangor,NSW,2234,5/20-26 Arana,"5/20-26 Arana, Bangor, NSW 2234",,Contact agent,house,1,1,0,,,-1.0,,XCEMEN,Century 21 - Realty One,,,07 Sep 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-116325515,Bangor,NSW,2234,6/4-10 Dandarbong,"6/4-10 Dandarbong, Bangor, NSW 2234",600000,"$600,000",house,2,1,1,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,12 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-108555441,Bangor,NSW,2234,14/43 Menai Road,"14/43 Menai Road, Bangor, NSW 2234",499000,"$499,000",house,2,2,2,,,-1.0,,XCEMEN,Century 21 - Realty One,,,23 Jan 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-105449644,Bangor,NSW,2234,9 Billa Road,"9 Billa Road, Bangor, NSW 2234",515000,"$515,000",house,2,2,2,,,-1.0,,XFNGYM,Strong Property - GYMEA,,,07 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-141823800,Bangor,NSW,2234,109 Akuna Avenue,"109 Akuna Avenue, Bangor, NSW 2234",1255000,"$1,255,000",house,3,2,2,,,608.0,m²,THNMEN,Ray White Sutherland Shire - Menai,,,18 Apr 2023,house,,608.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-141576372,Bangor,NSW,2234,98 Akuna Avenue,"98 Akuna Avenue, Bangor, NSW 2234",1270000,"$1,270,000",house,3,1,1,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,30 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-141426060,Bangor,NSW,2234,4 Breeza Place,"4 Breeza Place, Bangor, NSW 2234",1200000,"$1,200,000",house,3,1,2,,,-1.0,,THNMEN,Ray White Sutherland Shire - Menai,,,04 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-141351872,Bangor,NSW,2234,45 Akuna Avenue,"45 Akuna Avenue, Bangor, NSW 2234",1075000,"$1,075,000",house,3,1,1,,,584.0,m²,NHKHPA,One Agency - Menai/Sutherland,,,25 Feb 2023,house,,584.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-141039260,Bangor,NSW,2234,6 Kawana Place,"6 Kawana Place, Bangor, NSW 2234",1225000,"$1,225,000",house,3,2,2,,,542.0,m²,NHKHPA,One Agency - Menai/Sutherland,,,20 Dec 2022,house,,542.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bangor-140610839,Bangor,NSW,2234,5 Illaroo Street,"5 Illaroo Street, Bangor, NSW 2234",1550000,"$1,550,000",house,3,2,3,,,589.1,m²,HKPLTX,KORE Shire Partners - MENAI,,,02 Dec 2022,house,,589.1
