badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-141762500,Banksia,NSW,2216,37 Farr Street,"37 Farr Street, Banksia, NSW 2216",1350000,"$1,350,000",house,2,1,0,,,248.0,m²,GDUBSK,Stone Property Management  - Rockdale,,,28 Mar 2023,house,,248.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-140942008,Banksia,NSW,2216,10 Gibbes Street,"10 Gibbes Street, Banksia, NSW 2216",1256000,"$1,256,000",house,2,1,2,,,240.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,13 Dec 2022,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-140883212,Banksia,NSW,2216,24 Gibbes Street,"24 Gibbes Street, Banksia, NSW 2216",1251000,"$1,251,000",house,2,1,1,240.2,m²,-1.0,,MDCXAH,McGrath - Brighton Le Sands,,,10 Dec 2022,house,240.2,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-140120159,Banksia,NSW,2216,31  Gibbes Street,"31  Gibbes Street, Banksia, NSW 2216",1190000,"$1,190,000",house,2,1,2,,,367.0,m²,GDUBSK,Stone Property Management  - Rockdale,,,10 Sep 2022,house,,367.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-138975631,Banksia,NSW,2216,37 Godfrey Street,"37 Godfrey Street, Banksia, NSW 2216",1110000,"$1,110,000",house,2,1,0,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,02 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-136167754,Banksia,NSW,2216,9A Tabrett St,"9A Tabrett St, Banksia, NSW 2216",1080000,"$1,080,000",house,2,1,0,,,270.0,m²,ZLSDDE,Tringas Property Group - Kyeemagh,,,22 May 2021,house,,270.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-135812974,Banksia,NSW,2216,6 Gardiner Avenue,"6 Gardiner Avenue, Banksia, NSW 2216",1115000,"$1,115,000",house,2,1,1,,,392.0,m²,KFCDBR,LJ Hooker - Rockdale,,,17 Apr 2021,house,,392.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-135283658,Banksia,NSW,2216,14 Gibbes Street,"14 Gibbes Street, Banksia, NSW 2216",1120000,"$1,120,000",house,2,1,0,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,20 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-134915310,Banksia,NSW,2216,10 Langer Street,"10 Langer Street, Banksia, NSW 2216",1115000,"$1,115,000",house,2,2,1,,,-1.0,,XRWROF,Ray White - Rockdale,,,15 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-134748982,Banksia,NSW,2216,37 Farr Street,"37 Farr Street, Banksia, NSW 2216",1110000,"$1,110,000",house,2,1,0,,,240.0,m²,XLJSAO,McGrath - Sans Souci,,,28 Nov 2020,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-134636294,Banksia,NSW,2216,76 Tabrett Street,"76 Tabrett Street, Banksia, NSW 2216",1190000,"$1,190,000",house,2,1,1,,,446.0,m²,XRWROF,Ray White - Rockdale,,,03 Nov 2020,house,,446.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-133694902,Banksia,NSW,2216,10 Gibbes Street,"10 Gibbes Street, Banksia, NSW 2216",1000000,"$1,000,000",house,2,1,2,,,240.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,27 Jun 2020,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-133441174,Banksia,NSW,2216,7 Gibbes Street,"7 Gibbes Street, Banksia, NSW 2216",1000000,"$1,000,000",house,2,2,0,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,18 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-132787166,Banksia,NSW,2216,56 Bowmer Street,"56 Bowmer Street, Banksia, NSW 2216",1000000,"$1,000,000",house,2,1,0,,,309.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,15 Feb 2020,house,,309.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-131938578,Banksia,NSW,2216,10 Judd Street,"10 Judd Street, Banksia, NSW 2216",1006000,"$1,006,000",house,2,1,1,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,12 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-132036598,Banksia,NSW,2216,11 Godfrey Street,"11 Godfrey Street, Banksia, NSW 2216",900000,"$900,000",house,2,1,1,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,02 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-131216954,Banksia,NSW,2216,23  Bowmer Street,"23  Bowmer Street, Banksia, NSW 2216",985000,"$985,000",house,2,1,0,,,315.0,m²,GDUBSK,Stone Property Management  - Rockdale,,,25 Aug 2019,house,,315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-130515198,Banksia,NSW,2216,39 Farr Street,"39 Farr Street, Banksia, NSW 2216",805000,"$805,000",house,2,1,0,,,240.0,m²,XLJSAO,McGrath - Sans Souci,,,07 May 2019,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-128245402,Banksia,NSW,2216,18 Gibbes Street,"18 Gibbes Street, Banksia, NSW 2216",920000,"$920,000",house,2,1,0,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,14 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-127078474,Banksia,NSW,2216,25 Gibbes Street,"25 Gibbes Street, Banksia, NSW 2216",1047500,"$1,047,500",house,2,1,1,,,240.0,m²,,,,,15 Mar 2018,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-127470374,Banksia,NSW,2216,5 Farr Street,"5 Farr Street, Banksia, NSW 2216",949000,"$949,000",house,2,1,0,,,245.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,25 Feb 2018,house,,245.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-125432058,Banksia,NSW,2216,26 Gibbes Street,"26 Gibbes Street, Banksia, NSW 2216",1205000,"$1,205,000",house,2,1,0,,,-1.0,,RIQXAS,Prestige Property Group Realty - ARNCLIFFE,,,07 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-122895378,Banksia,NSW,2216,43 Highclere Avenue,"43 Highclere Avenue, Banksia, NSW 2216",1050000,"$1,050,000",house,2,1,2,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,29 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-122673418,Banksia,NSW,2216,23 Gibbes Street,"23 Gibbes Street, Banksia, NSW 2216",912000,"$912,000",house,2,1,0,,,-1.0,,MDCXAH,McGrath - Brighton Le Sands,,,03 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-121822678,Banksia,NSW,2216,22 Bowmer Street,"22 Bowmer Street, Banksia, NSW 2216",940000,"$940,000",house,2,1,1,,,-1.0,,XLJPAF,LJ Hooker - Padstow  ,,,24 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-120375713,Banksia,NSW,2216,54 Judd Street,"54 Judd Street, Banksia, NSW 2216",1220000,"$1,220,000",house,2,1,2,,,-1.0,,MDCXAH,McGrath - Brighton Le Sands,,,29 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-127980274,Banksia,NSW,2216,56 Highclere Avenue,"56 Highclere Avenue, Banksia, NSW 2216",982000,"$982,000",house,2,1,2,,,-1.0,,XRWROF,Ray White - Rockdale,,,24 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-126087550,Banksia,NSW,2216,50 Judd Street,"50 Judd Street, Banksia, NSW 2216",1285000,"$1,285,000",house,2,2,2,,,-1.0,,XRWROF,Ray White - Rockdale,,,07 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-122869702,Banksia,NSW,2216,9A Tabrett Street,"9A Tabrett Street, Banksia, NSW 2216",875000,"$875,000",house,2,1,2,,,-1.0,,XRWROF,Ray White - Rockdale,,,14 Jul 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-116205527,Banksia,NSW,2216,60 Tabrett Street,"60 Tabrett Street, Banksia, NSW 2216",1060000,"$1,060,000",house,2,1,2,,,360.0,m²,LGCXPP,Raine & Horne - Kogarah,,,28 May 2016,house,,360.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-banksia-119704623,Banksia,NSW,2216,42 Tabrett Street,"42 Tabrett Street, Banksia, NSW 2216",917000,"$917,000",duplex-semi-detached,2,1,2,,,-1.0,,QKUDWB,Century 21 Bayview - Brighton Le Sands | Dolls Point,,,01 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-banksia-117785619,Banksia,NSW,2216,15 & 15A Railway Street,"15 & 15A Railway Street, Banksia, NSW 2216",1030000,"$1,030,000",residential-other,2,3,1,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,03 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-118066263,Banksia,NSW,2216,21 Godfrey Street,"21 Godfrey Street, Banksia, NSW 2216",770000,"$770,000",house,2,2,0,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,01 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-117952871,Banksia,NSW,2216,2 Gardiner Ave,"2 Gardiner Ave, Banksia, NSW 2216",810000,"$810,000",house,2,2,1,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,18 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-117883819,Banksia,NSW,2216,41 Godfrey Street,"41 Godfrey Street, Banksia, NSW 2216",840000,"$840,000",house,2,1,0,,,316.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,02 Oct 2014,house,,316.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-117605811,Banksia,NSW,2216,33 Tabrett Street,"33 Tabrett Street, Banksia, NSW 2216",870000,"$870,000",house,2,1,3,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,01 Sep 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-117268395,Banksia,NSW,2216,37 Farr Street,"37 Farr Street, Banksia, NSW 2216",877000,"$877,000",house,2,1,0,,,240.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,19 Jul 2014,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-113759547,Banksia,NSW,2216,13 Richmond Street,"13 Richmond Street, Banksia, NSW 2216",802000,"$802,000",house,2,1,1,,,-1.0,,XRWROF,Ray White - Rockdale,,,06 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-112763267,Banksia,NSW,2216,49 Godfrey Street,"49 Godfrey Street, Banksia, NSW 2216",600000,"$600,000",house,2,1,0,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,02 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-111696887,Banksia,NSW,2216,39 Bowmer Street,"39 Bowmer Street, Banksia, NSW 2216",515000,"$515,000",house,2,1,1,,,-1.0,,XNTROC,Richardson & Wrench Wolli Creek,,,31 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-111878211,Banksia,NSW,2216,23 Gibbes Street,"23 Gibbes Street, Banksia, NSW 2216",590000,"$590,000",house,2,1,0,,,291.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,25 Oct 2012,house,,291.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-111291687,Banksia,NSW,2216,30 Railway Street,"30 Railway Street, Banksia, NSW 2216",578000,"$578,000",house,2,1,0,,,-1.0,,RIQXAS,Prestige Property Group Realty - ARNCLIFFE,,,19 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-banksia-108174956,Banksia,NSW,2216,16 Hattersley Street,"16 Hattersley Street, Banksia, NSW 2216",495000,"$495,000",duplex-semi-detached,2,1,0,,,202.0,m²,RIQXAS,Prestige Property Group Realty - ARNCLIFFE,,,04 Nov 2011,house,,202.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-107624183,Banksia,NSW,2216,4 Arana Close,"4 Arana Close, Banksia, NSW 2216",650000,"$650,000",house,2,1,1,,,436.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,17 Sep 2011,house,,436.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-107604986,Banksia,NSW,2216,1/9 Banksia Avenue,"1/9 Banksia Avenue, Banksia, NSW 2216",560000,"$560,000",house,2,2,2,,,-1.0,,XRWROF,Ray White - Rockdale,,,12 Sep 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-107199418,Banksia,NSW,2216,32 Highclere Avenue,"32 Highclere Avenue, Banksia, NSW 2216",699000,"$699,000",house,2,2,2,,,-1.0,,XRWROF,Ray White - Rockdale,,,21 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-107175985,Banksia,NSW,2216,33 Tabrett Street,"33 Tabrett Street, Banksia, NSW 2216",640000,"$640,000",house,2,1,4,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,14 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-107176347,Banksia,NSW,2216,5 Curtis Street,"5 Curtis Street, Banksia, NSW 2216",640000,"$640,000",house,2,1,0,,,-1.0,,XNTROC,Richardson & Wrench Wolli Creek,,,09 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-banksia-106508172,Banksia,NSW,2216,24 Farr Street,"24 Farr Street, Banksia, NSW 2216",542000,"$542,000",duplex-semi-detached,2,1,0,,,-1.0,,XRWXEK,Stone Real Estate - Sans Souci,,,28 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-105819267,Banksia,NSW,2216,20 GIBBES STREET,"20 GIBBES STREET, Banksia, NSW 2216",497000,"$497,000",house,2,1,1,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,23 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-105728247,Banksia,NSW,2216,31 Bowmer Street,"31 Bowmer Street, Banksia, NSW 2216",541500,"$541,500",house,2,1,0,,,315.0,m²,ARKENS,McGrath - South Hurstville,,,22 May 2009,house,,315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-105714252,Banksia,NSW,2216,12 Gibbes Street,"12 Gibbes Street, Banksia, NSW 2216",479000,"$479,000",house,2,1,1,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,12 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-140459547,Banksia,NSW,2216,4A Bowmer Street,"4A Bowmer Street, Banksia, NSW 2216",,Contact agent,house,2,1,2,,,278.0,m²,GDUBSK,Stone Property Management  - Rockdale,,,25 Oct 2022,house,,278.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-140036743,Banksia,NSW,2216,40 Tabrett Street,"40 Tabrett Street, Banksia, NSW 2216",1095000,"$1,095,000",house,2,1,1,,,-1.0,,XRWROF,Ray White - Rockdale,,,12 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-136991662,Banksia,NSW,2216,47 Godfrey Street,"47 Godfrey Street, Banksia, NSW 2216",1357000,"$1,357,000",house,2,2,0,,,315.21,m²,GSNMOO,Caruana Real Estate - Sans Souci,,,17 Aug 2021,house,,315.21
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-134849826,Banksia,NSW,2216,30 Short Street,"30 Short Street, Banksia, NSW 2216",1163500,"$1,163,500",house,2,1,2,,,-1.0,,MDCXAH,McGrath - Brighton Le Sands,,,04 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-134574294,Banksia,NSW,2216,34 Railway Street,"34 Railway Street, Banksia, NSW 2216",1065999,"$1,065,999",house,2,1,1,,,266.0,m²,HEETEE,Belle Property - St George,,,23 Oct 2020,house,,266.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-132505302,Banksia,NSW,2216,30 Railway Street,"30 Railway Street, Banksia, NSW 2216",995000,"$995,000",house,2,1,0,,,-1.0,,TVEVWJ,Upside Realty - NSW,,,25 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-131606250,Banksia,NSW,2216,84 Hattersley Street,"84 Hattersley Street, Banksia, NSW 2216",,Contact agent,house,2,1,0,,,215.0,m²,BWZQTE,Highland - Sutherland Shire & St George,,,13 Sep 2019,house,,215.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-130770134,Banksia,NSW,2216,31 Gibbes Street,"31 Gibbes Street, Banksia, NSW 2216",940000,"$940,000",house,2,1,3,,,366.7,m²,HEETEE,Belle Property - St George,,,01 Apr 2019,house,,366.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-130419454,Banksia,NSW,2216,52 Tabrett Street,"52 Tabrett Street, Banksia, NSW 2216",925000,"$925,000",house,2,1,1,,,-1.0,,GDUBSK,Stone Property Management  - Rockdale,,,31 Mar 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-126964446,Banksia,NSW,2216,25 Tabrett Street,"25 Tabrett Street, Banksia, NSW 2216",1100000,"$1,100,000",house,2,2,2,,,-1.0,,XRWROF,Ray White - Rockdale,,,19 Jan 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-126496542,Banksia,NSW,2216,11 Wolli Creek Road,"11 Wolli Creek Road, Banksia, NSW 2216",920000,"$920,000",house,2,1,1,,,-1.0,,,,,,23 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-124924318,Banksia,NSW,2216,37 Tabrett Street,"37 Tabrett Street, Banksia, NSW 2216",1010000,"$1,010,000",house,2,1,1,,,-1.0,,XRWROF,Ray White - Rockdale,,,30 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-118344495,Banksia,NSW,2216,39 Tabrett St,"39 Tabrett St, Banksia, NSW 2216",,Contact agent,house,2,1,1,,,-1.0,,JZDJRB,Domain NSW Real Estate - Rockdale,,,09 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-banksia-114852875,Banksia,NSW,2216,5 Albert Street,"5 Albert Street, Banksia, NSW 2216",698000,"$698,000",house,2,1,0,,,-1.0,,THNKOG,Belle Property - St George,,,22 Oct 2013,house,,-1.0
