badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-138544899,Barangaroo,NSW,2000,503/19 Barangaroo Avenue,"503/19 Barangaroo Avenue, Barangaroo, NSW 2000",1950000,"$1,950,000",apartment,1,1,1,,,-1.0,,SJCBRX,OZ International Investment Pty Ltd - SYDNEY,,,25 Mar 2022,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-134291654,Barangaroo,NSW,2000,303/31 Barangaroo Avenue,"303/31 Barangaroo Avenue, Barangaroo, NSW 2000",1730000,"$1,730,000",apartment,1,1,0,,,-1.0,,PCLJZU,Ayre Real Estate,,,25 Aug 2020,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-134291442,Barangaroo,NSW,2000,103/29 Barangaroo Avenue,"103/29 Barangaroo Avenue, Barangaroo, NSW 2000",1565000,"$1,565,000",apartment,1,1,0,,,-1.0,,PCLJZU,Ayre Real Estate,,,29 Nov 2019,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-133116018,Barangaroo,NSW,2000,503/31 Barangaroo Avenue,"503/31 Barangaroo Avenue, Barangaroo, NSW 2000",1975000,"$1,975,000",apartment,1,1,1,,,-1.0,,PUJTDZ,CBRE Residential Agency - North Sydney,,,01 Jun 2019,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-127264858,Barangaroo,NSW,2000,601/27 Barangaroo Avenue,"601/27 Barangaroo Avenue, Barangaroo, NSW 2000",1750000,"$1,750,000",apartment,1,1,1,,,-1.0,,JAEJYU,Uniting Realty - BARDIA,,,08 Feb 2018,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-125608518,Barangaroo,NSW,2000,501/25 Barangaroo Avenue,"501/25 Barangaroo Avenue, Barangaroo, NSW 2000",1800000,"$1,800,000",apartment,1,1,1,70,m²,88.0,m²,PZMPYR,Raine & Horne - City Living,,,21 Jun 2017,unit apartment,70,88.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-123924998,Barangaroo,NSW,2000,102/15 Barangaroo Avenue,"102/15 Barangaroo Avenue, Barangaroo, NSW 2000",1350000,"$1,350,000",apartment,1,1,0,,,-1.0,,FWTIVL,Obsidian Property - Sydney ,,,07 Nov 2016,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-122101350,Barangaroo,NSW,2000,501/25 Barangaroo Avenue,"501/25 Barangaroo Avenue, Barangaroo, NSW 2000",1560000,"$1,560,000",apartment,1,1,1,,,-1.0,,CNUCPQ,Village Property Estate Agents - Sydney,,,04 Apr 2016,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-barangaroo-121436758,Barangaroo,NSW,2000,1 Globe Street,"1 Globe Street, Barangaroo, NSW 2000",1300000,"$1,300,000",apartment,1,1,0,,,-1.0,,THHNOR,The Property Business Australia - SYDNEY,,,30 Nov 2015,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-unit-nsw-barangaroo-138109630,Barangaroo,NSW,2000,403/19 Barangaroo Avenue,"403/19 Barangaroo Avenue, Barangaroo, NSW 2000",2050000,"$2,050,000",unit,1,1,1,,,-1.0,,IXAZCL,The Agency - NSW,,,10 Feb 2022,unit apartment,,-1.0
