badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-bardwell+park-107538959,Bardwell Park,NSW,2207,1/46 Slade Road,"1/46 Slade Road, Bardwell Park, NSW 2207",275000,"$275,000",residential-other,0,1,2,,,-1.0,,CRLBAR,Crown Property Group - Australia,,,29 Sep 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-137641126,Bardwell Park,NSW,2207,46 Earlwood Crescent,"46 Earlwood Crescent, Bardwell Park, NSW 2207",1591000,"$1,591,000",house,2,1,2,,,455.3,m²,LGCXPP,Raine & Horne - Kogarah,,,20 Nov 2021,house,,455.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-136251042,Bardwell Park,NSW,2207,46 Lambert  Road,"46 Lambert  Road, Bardwell Park, NSW 2207",1620000,"$1,620,000",house,2,1,1,,,575.4,m²,LGCXPP,Raine & Horne - Kogarah,,,05 Jun 2021,house,,575.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-124089666,Bardwell Park,NSW,2207,158 Slade Road,"158 Slade Road, Bardwell Park, NSW 2207",1101000,"$1,101,000",house,2,2,3,,,-1.0,,CRLBAR,Crown Property Group - Australia,,,04 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-122522810,Bardwell Park,NSW,2207,15/150 Slade Road,"15/150 Slade Road, Bardwell Park, NSW 2207",690000,"$690,000",house,2,1,1,,,-1.0,,YOYWNU,Raine & Horne - Marrickville,,,25 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-120461589,Bardwell Park,NSW,2207,8 Stotts Avenue,"8 Stotts Avenue, Bardwell Park, NSW 2207",1100000,"$1,100,000",house,2,1,3,,,-1.0,,LQCDHB,Professionals - KOGARAH,,,05 Sep 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-119861381,Bardwell Park,NSW,2207,16 May Street,"16 May Street, Bardwell Park, NSW 2207",1212000,"$1,212,000",house,2,1,2,,,518.0,m²,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,20 Jun 2015,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-119069619,Bardwell Park,NSW,2207,5/37 Slade Road,"5/37 Slade Road, Bardwell Park, NSW 2207",490000,"$490,000",house,2,1,2,,,-1.0,,XRWROF,Ray White - Rockdale,,,13 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-118496399,Bardwell Park,NSW,2207,29 Slade Road,"29 Slade Road, Bardwell Park, NSW 2207",920000,"$920,000",house,2,1,1,,,453.0,m²,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,13 Dec 2014,house,,453.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-118481927,Bardwell Park,NSW,2207,32 Bardwell Road,"32 Bardwell Road, Bardwell Park, NSW 2207",1300000,"$1,300,000",house,2,1,2,,,847.0,m²,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,21 Nov 2014,house,,847.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-118164675,Bardwell Park,NSW,2207,7 Water Street,"7 Water Street, Bardwell Park, NSW 2207",1002500,"$1,002,500",house,2,1,1,,,-1.0,,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,01 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-117776207,Bardwell Park,NSW,2207,41 Churchill Street,"41 Churchill Street, Bardwell Park, NSW 2207",857000,"$857,000",house,2,1,1,,,480.0,m²,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,13 Sep 2014,house,,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-116882415,Bardwell Park,NSW,2207,7/142 Slade Road,"7/142 Slade Road, Bardwell Park, NSW 2207",606000,"$606,000",house,2,1,1,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,07 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-116805811,Bardwell Park,NSW,2207,3 Hutchinson Street,"3 Hutchinson Street, Bardwell Park, NSW 2207",1171000,"$1,171,000",house,2,1,4,,,-1.0,,SRAHHI,Ray White - Kingsgrove | Bexley North | Beverly Hills,,,24 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-110747969,Bardwell Park,NSW,2207,11 Slade Road,"11 Slade Road, Bardwell Park, NSW 2207",715000,"$715,000",house,2,2,1,,,-1.0,,XCEEAR,Favorito Real Estate - Earlwood,,,11 Jan 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-111425563,Bardwell Park,NSW,2207,20 Slade Road,"20 Slade Road, Bardwell Park, NSW 2207",627500,"$627,500",house,2,1,2,,,-1.0,,SRAHHI,Ray White - Kingsgrove | Bexley North | Beverly Hills,,,29 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-111158707,Bardwell Park,NSW,2207,109 Slade Road,"109 Slade Road, Bardwell Park, NSW 2207",715000,"$715,000",house,2,2,1,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,23 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-111101735,Bardwell Park,NSW,2207,5 Churchill  Street,"5 Churchill  Street, Bardwell Park, NSW 2207",930000,"$930,000",house,2,1,1,,,-1.0,,,,,,18 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-107567877,Bardwell Park,NSW,2207,4 Water Street,"4 Water Street, Bardwell Park, NSW 2207",670000,"$670,000",house,2,1,1,,,-1.0,,XNTROC,Richardson & Wrench Wolli Creek,,,20 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-106973308,Bardwell Park,NSW,2207,10 Earlwood Crescent,"10 Earlwood Crescent, Bardwell Park, NSW 2207",860000,"$860,000",house,2,1,1,,,-1.0,,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,13 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-106979362,Bardwell Park,NSW,2207,13 Churchill Street,"13 Churchill Street, Bardwell Park, NSW 2207",976000,"$976,000",house,2,1,3,,,-1.0,,CAZANN,Callagher Estate Agents - Annandale,,,04 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-106252115,Bardwell Park,NSW,2207,21 Stotts Avenue,"21 Stotts Avenue, Bardwell Park, NSW 2207",755000,"$755,000",house,2,2,2,,,-1.0,,XFNEAR,CobdenHayson - Earlwood,,,25 Feb 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-106081330,Bardwell Park,NSW,2207,11 Slade Road,"11 Slade Road, Bardwell Park, NSW 2207",680000,"$680,000",house,2,2,1,,,423.0,m²,XCEEAR,Favorito Real Estate - Earlwood,,,21 Nov 2009,house,,423.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-105903613,Bardwell Park,NSW,2207,5 Edith Street,"5 Edith Street, Bardwell Park, NSW 2207",730000,"$730,000",house,2,1,1,,,417.0,m²,XCEEAR,Favorito Real Estate - Earlwood,,,29 Aug 2009,house,,417.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-139712631,Bardwell Park,NSW,2207,12 Water Street,"12 Water Street, Bardwell Park, NSW 2207",1120000,"$1,120,000",house,2,1,1,,,404.7,m²,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,11 Aug 2022,house,,404.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-132132566,Bardwell Park,NSW,2207,9 Bernard Avenue,"9 Bernard Avenue, Bardwell Park, NSW 2207",1250000,"$1,250,000",house,2,1,3,,,447.0,m²,PCUIIJ,CobdenHayson - Marrickville,,,30 Oct 2019,house,,447.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-130711442,Bardwell Park,NSW,2207,126 Slade Road,"126 Slade Road, Bardwell Park, NSW 2207",975000,"$975,000",house,2,1,1,,,900.0,m²,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,06 Apr 2019,house,,900.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-112036715,Bardwell Park,NSW,2207,72 Barnsbury Grove,"72 Barnsbury Grove, Bardwell Park, NSW 2207",831000,"$831,000",house,2,1,1,,,-1.0,,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,01 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-111543003,Bardwell Park,NSW,2207,20 Peacock Street,"20 Peacock Street, Bardwell Park, NSW 2207",900000,"$900,000",house,2,1,1,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,22 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-111759319,Bardwell Park,NSW,2207,1 Peacock Street,"1 Peacock Street, Bardwell Park, NSW 2207",830000,"$830,000",house,2,1,1,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,19 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-111759727,Bardwell Park,NSW,2207,41 Churchill Street,"41 Churchill Street, Bardwell Park, NSW 2207",685000,"$685,000",house,2,1,1,,,-1.0,,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,18 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-110439453,Bardwell Park,NSW,2207,8 Water Street,"8 Water Street, Bardwell Park, NSW 2207",780000,"$780,000",house,2,1,1,,,-1.0,,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,24 May 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-109563021,Bardwell Park,NSW,2207,38 Lambert Road,"38 Lambert Road, Bardwell Park, NSW 2207",900000,"$900,000",house,2,1,1,,,-1.0,,XRHBAS,Raine & Horne - Bardwell Park/Kingsgrove,,,17 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-107360020,Bardwell Park,NSW,2207,74 Barnsbury Grove,"74 Barnsbury Grove, Bardwell Park, NSW 2207",,Contact agent,house,2,2,1,,,-1.0,,,,,,27 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-106434006,Bardwell Park,NSW,2207,17 Slade Road,"17 Slade Road, Bardwell Park, NSW 2207",680000,"$680,000",house,2,1,1,,,-1.0,,FWYTEU,PRD -  Kingsgrove | Bexley North,,,10 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-106278105,Bardwell Park,NSW,2207,51 Barnsbury Grove,"51 Barnsbury Grove, Bardwell Park, NSW 2207",,Contact agent,house,2,1,1,,,-1.0,,,,,,15 Apr 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bardwell+park-105992309,Bardwell Park,NSW,2207,34 Churchill Street,"34 Churchill Street, Bardwell Park, NSW 2207",,Contact agent,house,2,1,1,,,-1.0,,,,,,12 Oct 2009,house,,-1.0
