badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-114131879,Baulkham Hills,NSW,2153,Lot 58/No. 46 Central Park Avenue,"Lot 58/No. 46 Central Park Avenue, Baulkham Hills, NSW 2153",905000,"$905,000",house,0,3,2,301.7,m²,-1.0,,BFQBAU,Mulpha - Norwest,,,21 Aug 2013,house,301.7,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-113881027,Baulkham Hills,NSW,2153,Lot 49/No. 42 Central Park Avenue,"Lot 49/No. 42 Central Park Avenue, Baulkham Hills, NSW 2153",899000,"$899,000",house,0,3,2,301.93,m²,-1.0,,BFQBAU,Mulpha - Norwest,,,27 Jun 2013,house,301.93,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-baulkham+hills-109956431,Baulkham Hills,NSW,2153,,,65000,"Range: $50,000 - $65,000",residential-other,0,1,0,,,-1.0,,XRHBAV,Trevor Leslie Real Estate - BAULKHAM HILLS,,,23 Jul 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-138527131,Baulkham Hills,NSW,2153,22 Coronation Road,"22 Coronation Road, Baulkham Hills, NSW 2153",1828000,"$1,828,000",house,1,1,0,,,908.0,m²,LEFBPW,Manor Real Estate,,,21 Mar 2022,house,,908.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-113121303,Baulkham Hills,NSW,2153,602 Appian Circuit,"602 Appian Circuit, Baulkham Hills, NSW 2153",640000,"$640,000",house,1,1,0,,,-1.0,,BSEEPP,Cale Property Agents - EPPING,,,22 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-107567236,Baulkham Hills,NSW,2153,,,5300000,"$5,300,000",house,1,1,2,,,-1.0,,XRWCAS,Ray White - Castle Hill ,,,01 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-127859926,Baulkham Hills,NSW,2153,22 Coronation Road,"22 Coronation Road, Baulkham Hills, NSW 2153",1320000,"$1,320,000",house,1,1,1,,,-1.0,,KEKTHO,Soames Real Estate - THORNLEIGH,,,07 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-115450823,Baulkham Hills,NSW,2153,"614 Appian Circuit,","614 Appian Circuit,, Baulkham Hills, NSW 2153",,Contact agent,house,1,1,0,,,-1.0,,BSEEPP,Cale Property Agents - EPPING,,,29 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-baulkham+hills-106012695,Baulkham Hills,NSW,2153,293 Windsor Road,"293 Windsor Road, Baulkham Hills, NSW 2153",370000,"$370,000",residential-other,1,1,0,,,713.0,m²,XRHBAV,Trevor Leslie Real Estate - BAULKHAM HILLS,,,09 Mar 2010,house,,713.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-141223324,Baulkham Hills,NSW,2153,66 Ula Crescent,"66 Ula Crescent, Baulkham Hills, NSW 2153",1455000,"$1,455,000",house,2,1,1,,,751.0,m²,RZBBAU,Response Real Estate - Baulkham Hills,,,11 Feb 2023,house,,751.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-139540243,Baulkham Hills,NSW,2153,11 Kentwell Street,"11 Kentwell Street, Baulkham Hills, NSW 2153",1340000,"$1,340,000",house,2,1,2,,,710.0,m²,WAFBAU,Walsh & Sullivan First National - Winston Hills/Northmead,,,25 Jun 2022,house,,710.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-139109911,Baulkham Hills,NSW,2153,2A Junction Road,"2A Junction Road, Baulkham Hills, NSW 2153",1090000,"$1,090,000",house,2,1,0,,,502.0,m²,XRWBAU,Ray White - Baulkham Hills,,,03 Jun 2022,house,,502.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-139232147,Baulkham Hills,NSW,2153,12 Hilda Road,"12 Hilda Road, Baulkham Hills, NSW 2153",1405000,"$1,405,000",house,2,1,2,,,712.0,m²,DRIVQB,DKB Real Estate,,,31 May 2022,house,,712.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-baulkham+hills-136423186,Baulkham Hills,NSW,2153,27 Linton Street,"27 Linton Street, Baulkham Hills, NSW 2153",1500000,"$1,500,000",house,2,1,2,,,696.0,m²,XRWBAU,Ray White - Baulkham Hills,,,26 Jun 2021,house,,696.0
