badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-belmore-105219447,Belmore,NSW,2195,529 Burwood Road,"529 Burwood Road, Belmore, NSW 2195",990000,"$990,000",warehouse,0,2,2,,,1714.0,m²,KNALAK,Knapton & Co Pty Limited - Lakemba,,,28 Apr 2009,house,,1714.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-belmore-116435023,Belmore,NSW,2192,594 Canterbury Rd,"594 Canterbury Rd, Belmore, NSW 2192",635000,"$635,000",terrace,0,1,3,,,172.0,m²,CACCAM,Joshua & Ken Nam Realty - Campsie,,,01 Oct 2014,house,,172.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-137386982,Belmore,NSW,2192,G02/749 Canterbury Road,"G02/749 Canterbury Road, Belmore, NSW 2192",515000,"$515,000",house,1,1,1,,,-1.0,,TAEEVM,LJ Hooker - Campsie,,,29 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-belmore-118139695,Belmore,NSW,2192,53 Chelmsford Avenue,"53 Chelmsford Avenue, Belmore, NSW 2192",611000,"$611,000",duplex-semi-detached,1,1,1,,,-1.0,,RQFGWA,Professionals - Belmore,,,08 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-114736907,Belmore,NSW,2192,17 & 17A Hugh Street,"17 & 17A Hugh Street, Belmore, NSW 2192",923000,"$923,000",house,1,1,0,,,-1.0,,XFNBEO,LJ Hooker - Belmore,,,30 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-106869265,Belmore,NSW,2192,13 Minnie Street,"13 Minnie Street, Belmore, NSW 2192",950000,"$950,000",house,1,1,0,,,-1.0,,XFNBEO,LJ Hooker - Belmore,,,15 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-belmore-115170519,Belmore,NSW,2192,442 Burwood Road,"442 Burwood Road, Belmore, NSW 2192",,Contact agent,warehouse,1,1,0,,,-1.0,,ABCBAP,Ray White - Bankstown,,,13 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-125979362,Belmore,NSW,2192,96 Kingsgrove Road,"96 Kingsgrove Road, Belmore, NSW 2192",,Contact agent,house,1,1,3,,,-1.0,,,,,,04 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-114283079,Belmore,NSW,2192,30 Redman  Parade,"30 Redman  Parade, Belmore, NSW 2192",,Contact agent,house,1,2,2,,,-1.0,,,,,,06 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-106915346,Belmore,NSW,2192,7/42 Harp Street,"7/42 Harp Street, Belmore, NSW 2192",,Contact agent,house,1,1,1,168,m²,168.0,m²,,,,,07 Dec 2012,house,168,168.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-103348593,Belmore,NSW,2192,,,300000,"$300,000",house,1,1,1,,,-1.0,,XFNBEO,LJ Hooker - Belmore,,,03 Oct 2006,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-belmore-103689179,Belmore,NSW,2192,,,,Contact agent,duplex-semi-detached,1,1,1,,,-1.0,,XFNBEO,LJ Hooker - Belmore,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-141566512,Belmore,NSW,2192,299 Burwood Road,"299 Burwood Road, Belmore, NSW 2192",990000,"$990,000",house,2,1,2,,,246.6,m²,YGUSMA,Mayfair Real Estate Australia -  Belmore,,,25 Mar 2023,house,,246.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-141322720,Belmore,NSW,2192,3 Cobden Street,"3 Cobden Street, Belmore, NSW 2192",880000,"$880,000",house,2,1,2,,,-1.0,,TAEEVM,LJ Hooker - Campsie,,,25 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-belmore-139916347,Belmore,NSW,2192,21 Plimsoll Street,"21 Plimsoll Street, Belmore, NSW 2192",1230000,"$1,230,000",house,2,1,1,,,450.0,m²,RQFGWA,Professionals - Belmore,,,30 Jul 2022,house,,450.0
