badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-121012634,Berowra,NSW,2081,7A Rickard Road,"7A Rickard Road, Berowra, NSW 2081",590000,"$590,000",house,1,1,0,,,-1.0,,XRWTUR,Ray White Upper North Shore -   ,,,16 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-106019343,Berowra,NSW,2081,2 Waratah Rd.,"2 Waratah Rd., Berowra, NSW 2081",,Contact agent,house,1,1,0,,,500.0,m²,,,,,12 May 2010,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-140788363,Berowra,NSW,2081,11 Bracken Close,"11 Bracken Close, Berowra, NSW 2081",976000,"$976,000",house,2,1,1,,,739.0,m²,TOFZXV,Stone Real Estate - Hornsby,,,14 Nov 2022,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-133408194,Berowra,NSW,2081,977 Pacific Highway,"977 Pacific Highway, Berowra, NSW 2081",1100000,"$1,100,000",house,2,1,1,,,1252.0,m²,KEIHOR,Soames Real Estate - HORNSBY,,,01 Jul 2020,house,,1252.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-125350294,Berowra,NSW,2081,15 Arcadia Crescent,"15 Arcadia Crescent, Berowra, NSW 2081",1010000,"$1,010,000",house,2,1,2,,,697.0,m²,BZRJQQ,McGrath - Berowra,,,19 May 2017,house,,697.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-123647142,Berowra,NSW,2081,7A Goodwyn Road,"7A Goodwyn Road, Berowra, NSW 2081",860000,"$860,000",house,2,1,1,,,657.0,m²,AMPYRL,McGrath - Hornsby,,,13 Oct 2016,house,,657.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-120910809,Berowra,NSW,2081,40 Berowra Waters Road,"40 Berowra Waters Road, Berowra, NSW 2081",789000,"$789,000",house,2,1,0,,,804.0,m²,XRWTUR,Ray White Upper North Shore -   ,,,31 Oct 2015,house,,804.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-121409098,Berowra,NSW,2081,12/35 Berowra Waters Road,"12/35 Berowra Waters Road, Berowra, NSW 2081",800000,"$800,000",house,2,2,2,,,261.0,m²,,,,,16 Feb 2016,house,,261.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-110028637,Berowra,NSW,2081,54 Helvetia Avenue,"54 Helvetia Avenue, Berowra, NSW 2081",580000,"$580,000",house,2,1,0,,,-1.0,,JPHHOR,John Pye Real Estate - NSW,,,25 May 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-berowra-105438325,Berowra,NSW,2081,10 Berowra Waters Road,"10 Berowra Waters Road, Berowra, NSW 2081",842500,"$842,500",residential-other,2,1,1,,,858.0,m²,KOSKDW,McDonagh Real Estate - WAHROONGA,,,28 Sep 2009,house,,858.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-108078581,Berowra,NSW,2081,24 Anembo Road,"24 Anembo Road, Berowra, NSW 2081",,Contact agent,house,2,1,2,,,505.0,m²,XLSHOR,Heimat - HORNSBY,,,25 Oct 2011,house,,505.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-129307458,Berowra,NSW,2081,23 Bambil Road,"23 Bambil Road, Berowra, NSW 2081",670000,"$670,000",house,2,1,1,,,-1.0,,LOYCHA,Loyal Property - Chatswood,,,21 Dec 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-120935221,Berowra,NSW,2081,29 Yallambee Road,"29 Yallambee Road, Berowra, NSW 2081",862000,"$862,000",house,2,2,2,,,904.2,m²,KEIHOR,Soames Real Estate - HORNSBY,,,06 Nov 2015,house,,904.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-berowra-120953490,Berowra,NSW,2081,96 Berowra Waters Road,"96 Berowra Waters Road, Berowra, NSW 2081",,Contact agent,house,2,2,2,,,-1.0,,,,,,30 Oct 2015,house,,-1.0
