badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-berrilee-104899392,Berrilee,NSW,2159,,,655000,"Range: $560,000 - $655,000",acreage,0,1,0,,,10.0,m²,,,,,21 Jun 2008,house,,10.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-104217125,Berrilee,NSW,2159,,,710000,"Range: $610,000 - $710,000",house,2,2,1,,,-1.0,,,,,,05 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-122737686,Berrilee,NSW,2159,92 Bay Road,"92 Bay Road, Berrilee, NSW 2159",1140000,"$1,140,000",house,3,1,2,,,6.47,ha,INCMAR,In Conjunction Real Estate - Galston,,,12 Aug 2016,house,,64700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-107429093,Berrilee,NSW,2159,23 Charltons Creek Road,"23 Charltons Creek Road, Berrilee, NSW 2159",935000,"$935,000",house,3,1,0,,,-1.0,,INCMAR,In Conjunction Real Estate - Galston,,,18 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-104703540,Berrilee,NSW,2159,,,1000000,"$1,000,000",house,3,1,3,,,4.05,ha,INCMAR,In Conjunction Real Estate - Galston,,,07 Nov 2008,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-136166094,Berrilee,NSW,2159,5 Chilcott Road,"5 Chilcott Road, Berrilee, NSW 2159",2700000,"$2,700,000",house,4,2,3,,,-1.0,,XGRDUR,Guardian Realty - Dural,,,03 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-berrilee-132485926,Berrilee,NSW,2159,12-14 Charltons Creek Road,"12-14 Charltons Creek Road, Berrilee, NSW 2159",3100000,"$3,100,000",acreage,4,2,3,,,10.12,ha,XRWDUR,Ray White - Dural,,,29 May 2020,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-berrilee-109565426,Berrilee,NSW,2159,19 Charltons Creek Rd,"19 Charltons Creek Rd, Berrilee, NSW 2159",,Contact agent,acreage,4,2,3,,,6.37,ha,,,,,02 Aug 2012,house,,63700.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-berrilee-106671292,Berrilee,NSW,2159,3 Charltons Creek Rd,"3 Charltons Creek Rd, Berrilee, NSW 2159",1480000,"Range: $1,270,000 - $1,480,000",acreage,4,3,3,,,-1.0,,,,,,10 Aug 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-berrilee-105795783,Berrilee,NSW,2159,,,1160000,"Range: $990,000 - $1,160,000",acreage,4,2,0,,,-1.0,,,,,,09 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-137948298,Berrilee,NSW,2159,100-102 Bay Road,"100-102 Bay Road, Berrilee, NSW 2159",2250000,"$2,250,000",house,5,4,6,,,10.12,ha,CKKAKL,Wiseberry (Dural) - DURAL,,,25 Jan 2022,house,,101199.99999999999
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-berrilee-115195007,Berrilee,NSW,2159,88 Bay Road,"88 Bay Road, Berrilee, NSW 2159",,Contact agent,acreage,5,3,2,,,-1.0,,,,,,29 Jan 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-113499159,Berrilee,NSW,2159,12-14 McCallums Avenue,"12-14 McCallums Avenue, Berrilee, NSW 2159",1280000,"$1,280,000",house,5,3,4,,,-1.0,,INCMAR,In Conjunction Real Estate - Galston,,,29 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-berrilee-107353067,Berrilee,NSW,2159,104 Bay Road,"104 Bay Road, Berrilee, NSW 2159",1150000,"$1,150,000",house,5,4,2,,,-1.0,,INCMAR,In Conjunction Real Estate - Galston,,,08 Sep 2011,house,,-1.0
