badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-140841308,Birchgrove,NSW,2041,60 Church Street,"60 Church Street, Birchgrove, NSW 2041",1270000,"$1,270,000",house,1,1,0,,,-1.0,,UZSRFW,Belle Property - Balmain,,,03 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-birchgrove-136395910,Birchgrove,NSW,2041,113 Birchgrove Road,"113 Birchgrove Road, Birchgrove, NSW 2041",1560000,"$1,560,000",duplex-semi-detached,1,1,0,,,103.0,m²,COBBAP,CobdenHayson Balmain - BALMAIN,,,16 Jun 2021,house,,103.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-135988310,Birchgrove,NSW,2041,13 Gipps Street,"13 Gipps Street, Birchgrove, NSW 2041",1570000,"$1,570,000",house,1,1,0,,,108.0,m²,WHMUKE,BresicWhitney - Balmain,,,06 May 2021,house,,108.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-127428110,Birchgrove,NSW,2041,35 Cameron Street,"35 Cameron Street, Birchgrove, NSW 2041",1040000,"$1,040,000",house,1,1,0,55,m²,45.0,m²,UZSRFW,Belle Property - Balmain,,,19 Feb 2018,house,55,45.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-129483426,Birchgrove,NSW,2041,55 Short Street,"55 Short Street, Birchgrove, NSW 2041",1370000,"$1,370,000",house,1,1,0,,,-1.0,,NFFFHO,McGrath - Balmain,,,21 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-111732479,Birchgrove,NSW,2041,38 Gipps Street,"38 Gipps Street, Birchgrove, NSW 2041",782500,"$782,500",house,1,1,0,,,-1.0,,QBWRKM,LJ Hooker - Balmain,,,15 Jan 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-110532289,Birchgrove,NSW,2041,19 Gipps Street,"19 Gipps Street, Birchgrove, NSW 2041",710000,"$710,000",house,1,1,0,,,108.0,m²,COBBAP,CobdenHayson Balmain - BALMAIN,,,23 May 2012,house,,108.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-107576311,Birchgrove,NSW,2041,7 Sardinia Place,"7 Sardinia Place, Birchgrove, NSW 2041",650000,"$650,000",house,1,1,0,,,-1.0,,,,,,13 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-107198094,Birchgrove,NSW,2041,21 Thomas Street,"21 Thomas Street, Birchgrove, NSW 2041",600000,"$600,000",house,1,1,0,,,-1.0,,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,30 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-107140360,Birchgrove,NSW,2041,17 Gipps Street,"17 Gipps Street, Birchgrove, NSW 2041",710000,"$710,000",house,1,1,0,,,101.0,m²,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,25 Feb 2011,house,,101.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-106422261,Birchgrove,NSW,2041,60 Gipps Street,"60 Gipps Street, Birchgrove, NSW 2041",700000,"$700,000",house,1,1,0,,,88.0,m²,COBBAP,CobdenHayson Balmain - BALMAIN,,,01 Apr 2010,house,,88.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-105150903,Birchgrove,NSW,2041,60 Gipps Street,"60 Gipps Street, Birchgrove, NSW 2041",600000,"$600,000",house,1,1,0,,,89.0,m²,COBBAP,CobdenHayson Balmain - BALMAIN,,,07 Nov 2008,house,,89.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birchgrove-131669854,Birchgrove,NSW,2041,36 Gipps Street,"36 Gipps Street, Birchgrove, NSW 2041",1050078,"$1,050,078",house,1,1,0,,,117.0,m²,HBJBAL,Harris Partners Real Estate - Balmain,,,09 Aug 2019,house,,117.0
