badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-141118732,Birrong,NSW,2143,152 Auburn rd,"152 Auburn rd, Birrong, NSW 2143",1065000,"$1,065,000",house,2,1,7,,,594.0,m²,QZGVVB,Lions Real Estate - Yagoona,,,06 Feb 2023,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-139740551,Birrong,NSW,2143,39 Wellington Road,"39 Wellington Road, Birrong, NSW 2143",855000,"$855,000",house,2,1,3,,,-1.0,,ARQCWC,Ray White - La Malfa Group,,,07 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-139367731,Birrong,NSW,2143,25 Larien Crescent,"25 Larien Crescent, Birrong, NSW 2143",1150000,"$1,150,000",house,2,1,2,,,663.0,m²,ZZZAEN,Century 21 Innovative Realty - Revesby,,,15 Jun 2022,house,,663.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-137497710,Birrong,NSW,2143,13 Moller Avenue,"13 Moller Avenue, Birrong, NSW 2143",999500,"$999,500",house,2,1,1,,,518.5,m²,ABCBAP,Ray White - Bankstown,,,06 Nov 2021,house,,518.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-137231706,Birrong,NSW,2143,28 Ferrier Road,"28 Ferrier Road, Birrong, NSW 2143",1061000,"$1,061,000",house,2,1,3,,,556.0,m²,HDHJJH,Laing+Simmons - Regents Park | Berala,,,06 Oct 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-135603154,Birrong,NSW,2143,17 Larien Crescent,"17 Larien Crescent, Birrong, NSW 2143",960000,"$960,000",house,2,1,2,,,-1.0,,QIJQHP,McGrath - Canterbury-Bankstown,,,27 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-132123250,Birrong,NSW,2143,15 Hudson Parade,"15 Hudson Parade, Birrong, NSW 2143",425000,"$425,000",house,2,1,3,,,-1.0,,JXOHYO,Response Real Estate - Riverstone,,,01 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-128177562,Birrong,NSW,2143,8 Gazzard Street,"8 Gazzard Street, Birrong, NSW 2143",920000,"$920,000",house,2,1,0,,,607.0,m²,JNIEYN,John B.Grant Real Estate - Chester Hill,,,26 Jul 2018,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-126055518,Birrong,NSW,2143,7 Gazzard Street,"7 Gazzard Street, Birrong, NSW 2143",961000,"$961,000",house,2,1,0,,,613.16,m²,ABCBAP,Ray White - Bankstown,,,26 Aug 2017,house,,613.16
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-122587814,Birrong,NSW,2143,6 Moller Avenue,"6 Moller Avenue, Birrong, NSW 2143",840000,"$840,000",house,2,1,1,,,506.0,m²,CAZANN,Callagher Estate Agents - Annandale,,,28 May 2016,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-137697706,Birrong,NSW,2143,25 Larien Crescent,"25 Larien Crescent, Birrong, NSW 2143",1060000,"$1,060,000",house,2,1,2,,,660.0,m²,ZZZAEN,Century 21 Innovative Realty - Revesby,,,11 Aug 2021,house,,660.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-127682870,Birrong,NSW,2143,3 Gazzard Street,"3 Gazzard Street, Birrong, NSW 2143",1010000,"$1,010,000",house,2,1,1,,,-1.0,,ONDGWN,Waters & Carpenter First National - Auburn,,,26 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-126199918,Birrong,NSW,2143,12 Gazzard St,"12 Gazzard St, Birrong, NSW 2143",995000,"$995,000",house,2,1,1,,,607.0,m²,QCXQEH,Starr Partners - Auburn,,,09 Sep 2017,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-126153666,Birrong,NSW,2143,4 Gazzard St,"4 Gazzard St, Birrong, NSW 2143",972500,"$972,500",house,2,1,1,,,613.0,m²,QCXQEH,Starr Partners - Auburn,,,02 Sep 2017,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-125677946,Birrong,NSW,2143,59 McCrossin Avenue,"59 McCrossin Avenue, Birrong, NSW 2143",810000,"$810,000",house,2,1,2,,,-1.0,,JNIEYN,John B.Grant Real Estate - Chester Hill,,,06 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-125029406,Birrong,NSW,2143,57  hill road,"57  hill road, Birrong, NSW 2143",952000,"$952,000",house,2,1,1,,,696.0,m²,QETXTV,Town & Country Real Estate - Regents Park,,,08 May 2017,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-124183290,Birrong,NSW,2143,49 McCrossin Avenue,"49 McCrossin Avenue, Birrong, NSW 2143",920000,"$920,000",house,2,1,1,,,695.6,m²,ABCBAP,Ray White - Bankstown,,,17 Dec 2016,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-birrong-122677434,Birrong,NSW,2143,6 Foyle Ave,"6 Foyle Ave, Birrong, NSW 2143",880000,"$880,000",house,2,1,1,,,-1.0,,WTNBAN,W.T. Newey & Company Pty Ltd - BANKSTOWN,,,11 Jun 2016,house,,-1.0
