badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-blair+athol-113663775,Blair Athol,NSW,2560,,,,Contact agent,residential-other,1,1,0,,,518.0,m²,KYNMXR,@realty - National Head Office Australia,,,21 May 2013,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-141410172,Blair Athol,NSW,2560,32 Keighran Mill Drive,"32 Keighran Mill Drive, Blair Athol, NSW 2560",760000,"$760,000",house,3,2,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,13 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-139392223,Blair Athol,NSW,2560,8 St Simon Cl,"8 St Simon Cl, Blair Athol, NSW 2560",770000,"$770,000",house,3,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,08 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-138458931,Blair Athol,NSW,2560,6 Ager Cottage Crescent,"6 Ager Cottage Crescent, Blair Athol, NSW 2560",745000,"$745,000",house,3,1,1,126,m²,328.0,m²,XCENAR,Gilbert and Younan - CAMDEN,,,15 Mar 2022,house,126,328.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-138343915,Blair Athol,NSW,2560,11  Pittman Steps Place,"11  Pittman Steps Place, Blair Athol, NSW 2560",775000,"$775,000",house,3,1,2,,,345.0,m²,WEHVXR,Premiere Estate Agents,,,16 Feb 2022,house,,345.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-138276518,Blair Athol,NSW,2560,16 Keighran Mill Drive,"16 Keighran Mill Drive, Blair Athol, NSW 2560",750000,"$750,000",house,3,1,1,,,349.0,m²,WEHVXR,Premiere Estate Agents,,,08 Feb 2022,house,,349.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-138218626,Blair Athol,NSW,2560,13 Pittman Steps Place,"13 Pittman Steps Place, Blair Athol, NSW 2560",800000,"$800,000",house,3,2,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,04 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-137862018,Blair Athol,NSW,2560,17 Ager Cottage Crescent,"17 Ager Cottage Crescent, Blair Athol, NSW 2560",785000,"$785,000",house,3,2,1,,,492.0,m²,TVLSRQ,Ray White - Macarthur Group,,,03 Feb 2022,house,,492.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-138116922,Blair Athol,NSW,2560,41 John Kidd Drive,"41 John Kidd Drive, Blair Athol, NSW 2560",900000,"$900,000",house,3,2,2,123,m²,614.0,m²,WKEYZZ,Raine & Horne Ingleburn - INGLEBURN,,,14 Jan 2022,house,123,614.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-136795282,Blair Athol,NSW,2560,3 Scarr cottage Place,"3 Scarr cottage Place, Blair Athol, NSW 2560",700000,"$700,000",house,3,1,1,,,336.0,m²,TVLSRQ,Ray White - Macarthur Group,,,30 Jul 2021,house,,336.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-133612686,Blair Athol,NSW,2560,11 St Clare Place,"11 St Clare Place, Blair Athol, NSW 2560",610000,"$610,000",house,3,2,1,,,519.0,m²,LHYAVR,Ray White Macarthur Group - Ingleburn,,,24 Jun 2020,house,,519.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-132732842,Blair Athol,NSW,2560,85 Maryfields Drive,"85 Maryfields Drive, Blair Athol, NSW 2560",699000,"$699,000",house,3,2,3,,,570.7,m²,XIYWHQ,Stone Real Estate Macarthur,,,05 Feb 2020,house,,570.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-132588082,Blair Athol,NSW,2560,16 St Simon Close,"16 St Simon Close, Blair Athol, NSW 2560",535000,"$535,000",house,3,1,2,,,306.0,m²,TVLSRQ,Ray White - Macarthur Group,,,20 Dec 2019,house,,306.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-132250858,Blair Athol,NSW,2560,32 Keighran Mill Drive,"32 Keighran Mill Drive, Blair Athol, NSW 2560",575000,"$575,000",house,3,2,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,29 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-131539502,Blair Athol,NSW,2560,32 Ager Cottage Crescent,"32 Ager Cottage Crescent, Blair Athol, NSW 2560",565000,"$565,000",house,3,2,1,,,-1.0,,VLAABN,Limestar Real Estate - Campbelltown,,,04 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-blair+athol-128814134,Blair Athol,NSW,2560,18 St Simon Close,"18 St Simon Close, Blair Athol, NSW 2560",570500,"$570,500",duplex-semi-detached,3,1,2,,,297.1,m²,XIYWHQ,Stone Real Estate Macarthur,,,10 Aug 2018,house,,297.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-128526126,Blair Athol,NSW,2560,14 Keighran Mill Drive,"14 Keighran Mill Drive, Blair Athol, NSW 2560",555000,"$555,000",house,3,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,06 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-128177966,Blair Athol,NSW,2560,14 St Catherine Close,"14 St Catherine Close, Blair Athol, NSW 2560",680000,"$680,000",house,3,2,2,,,550.0,m²,STANAR,Richardson & Wrench - Narellan,,,08 Jun 2018,house,,550.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-blair+athol-127635374,Blair Athol,NSW,2560,25 St Simon Close,"25 St Simon Close, Blair Athol, NSW 2560",566000,"$566,000",duplex-semi-detached,3,1,1,,,318.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,27 Apr 2018,house,,318.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-127200786,Blair Athol,NSW,2560,,,660000,"$660,000",house,3,2,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,26 Feb 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blair+athol-127353638,Blair Athol,NSW,2560,6 St Simon Close,"6 St Simon Close, Blair Athol, NSW 2560",641000,"$641,000",house,3,1,1,,,375.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,06 Feb 2018,house,,375.0
