badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-granville-135991950,Granville,NSW,2142,32 Dixmude Street,"32 Dixmude Street, Granville, NSW 2142",803000,"$803,000",house,0,1,0,,,518.0,m²,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,11 May 2021,house,,518.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-south+granville-113698975,South Granville,NSW,2142,46 Wellington Road,"46 Wellington Road, South Granville, NSW 2142",645000,"Range: $555,000 - $645,000",warehouse,0,1,4,"4,124.89",m²,-1.0,,SXULDE,Michael & Partners Real Estate - Parramatta,,,04 Oct 2013,house,"4,124.89",-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-granville-140599007,Granville,NSW,2142,39 Maubeuge Street,"39 Maubeuge Street, Granville, NSW 2142",360000,"$360,000",house,1,1,0,,,177.0,m²,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,05 Nov 2022,house,,177.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-138011482,Rosehill,NSW,2142,3/108 James Ruse Drive,"3/108 James Ruse Drive, Rosehill, NSW 2142",440000,"$440,000",house,1,1,2,97,m²,72.0,m²,XNTWES,Green Real Estate Agency - West Ryde & Eastwood,,,07 Dec 2021,house,97,72.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-rosehill-135542482,Rosehill,NSW,2142,22/5-13 Virginia Street,"22/5-13 Virginia Street, Rosehill, NSW 2142",375000,"$375,000",house,1,1,1,,,-1.0,,XRWXBQ,Ray White - Earlwood,,,20 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-granville-129058326,Granville,NSW,2142,3/121-131 Railway Parade,"3/121-131 Railway Parade, Granville, NSW 2142",400000,"$400,000",house,1,1,1,,,-1.0,,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,25 Oct 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-granville-125348654,Granville,NSW,2142,15 Margaret Street,"15 Margaret Street, Granville, NSW 2142",572500,"$572,500",house,1,1,0,,,-1.0,,PJTEWC,LJ Hooker - Granville | Guildford | Merrylands,,,07 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-granville-124671466,Granville,NSW,2142,11 Tottenham Street,"11 Tottenham Street, Granville, NSW 2142",610000,"$610,000",house,1,1,0,,,151.8,m²,STAMER,Starr Partners - Merrylands,,,04 Apr 2017,house,,151.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-granville-124150286,Granville,NSW,2142,31 Namur Street,"31 Namur Street, Granville, NSW 2142",660000,"$660,000",house,1,1,0,,,521.0,m²,APJQYP,Century 21 The Hills District - CASTLE HILL,,,07 Feb 2017,house,,521.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-granville-122434214,Granville,NSW,2142,33 Cowper Street,"33 Cowper Street, Granville, NSW 2142",1480000,"$1,480,000",house,1,1,0,,,-1.0,,STRSTR,Strathfield Partners - Strathfield,,,02 May 2016,house,,-1.0
