badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-137988798,Blue Haven,NSW,2262,14/5 Dunlop Road,"14/5 Dunlop Road, Blue Haven, NSW 2262",440000,"$440,000",house,2,2,1,,,-1.0,,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,09 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-136359086,Blue Haven,NSW,2262,69 Kawana Avenue,"69 Kawana Avenue, Blue Haven, NSW 2262",600000,"$600,000",house,2,1,0,,,-1.0,,QPWPSA,Harcourts Residential and Lifestyle - TOUKLEY,,,03 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-135089522,Blue Haven,NSW,2262,144 Birdwood Drive,"144 Birdwood Drive, Blue Haven, NSW 2262",560000,"$560,000",house,2,2,1,,,601.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,05 Feb 2021,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-134337306,Blue Haven,NSW,2262,30 Turner Close,"30 Turner Close, Blue Haven, NSW 2262",425000,"$425,000",house,2,2,3,,,512.0,m²,LJSBDX,Stone Real Estate - Toukley/Long Jetty,,,26 Sep 2020,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-134134762,Blue Haven,NSW,2262,163 Birdwood Drive,"163 Birdwood Drive, Blue Haven, NSW 2262",470000,"$470,000",house,2,1,2,,,537.0,m²,RCYGQP,The Property Market - Central Coast,,,23 Sep 2020,house,,537.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-106964970,Blue Haven,NSW,2262,1/10 Harry Close,"1/10 Harry Close, Blue Haven, NSW 2262",417500,"$417,500",house,2,2,1,,,166.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,22 Sep 2020,house,,166.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-126235146,Blue Haven,NSW,2262,19 Colorado Drive,"19 Colorado Drive, Blue Haven, NSW 2262",455000,"$455,000",house,2,1,1,,,469.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,01 Dec 2017,house,,469.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-141028236,Blue Haven,NSW,2262,19 Kawana Avenue,"19 Kawana Avenue, Blue Haven, NSW 2262",600000,"$600,000",house,2,2,1,,,556.0,m²,LOVKUM,Dotcom Property Sales - HAMLYN TERRACE,,,13 Jan 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-138646631,Blue Haven,NSW,2262,27 Kawana Avenue,"27 Kawana Avenue, Blue Haven, NSW 2262",615000,"$615,000",house,2,2,0,,,556.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,08 Apr 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-134931682,Blue Haven,NSW,2262,115 Birdwood Drive,"115 Birdwood Drive, Blue Haven, NSW 2262",580000,"$580,000",house,2,1,1,,,702.0,m²,KYNMXR,@realty - National Head Office Australia,,,25 Dec 2020,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-132325622,Blue Haven,NSW,2262,37 Allambee Crescent,"37 Allambee Crescent, Blue Haven, NSW 2262",410000,"$410,000",house,2,1,3,,,462.0,m²,SHGBZJ,First National - Charmhaven ,,,18 Nov 2019,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-130921086,Blue Haven,NSW,2262,111 Birdwood Drive,"111 Birdwood Drive, Blue Haven, NSW 2262",515000,"$515,000",house,2,2,3,,,917.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,17 Apr 2019,house,,917.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-127338058,Blue Haven,NSW,2262,98 Birdwood Drive,"98 Birdwood Drive, Blue Haven, NSW 2262",364000,"$364,000",house,2,1,1,,,847.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,16 Feb 2018,house,,847.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-blue+haven-126830998,Blue Haven,NSW,2262,11 Kawana Avenue,"11 Kawana Avenue, Blue Haven, NSW 2262",353000,"$353,000",house,2,1,1,,,550.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,24 Nov 2017,house,,550.0
