badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi+junction-106310929,Bondi Junction,NSW,2022,103 Ruthven Street,"103 Ruthven Street, Bondi Junction, NSW 2022",1240000,"$1,240,000",house,0,1,0,,,215.0,m²,GOTWOO,Goodyer Real Estate - Paddington,,,26 Feb 2010,house,,215.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi+junction-125238382,Bondi Junction,NSW,2022,B203/91 Old South Head Road,"B203/91 Old South Head Road, Bondi Junction, NSW 2022",965000,"$965,000",house,1,1,1,,,-1.0,,IXAZCL,The Agency - NSW,,,05 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-bondi+junction-141934736,Bondi Junction,NSW,2022,Carspace Lot 243/71- Spring Street,"Carspace Lot 243/71- Spring Street, Bondi Junction, NSW 2022",135000,"$135,000",residential-other,1,1,1,,,-1.0,,IDLYUE,Century 21 Armstrong-Smith - Bondi Junction,,,13 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-bondi+junction-106838488,Bondi Junction,NSW,2022,128 Ebley Street,"128 Ebley Street, Bondi Junction, NSW 2022",915000,"$915,000",terrace,1,2,1,,,-1.0,,DIJWOO,DiJones - Eastern Suburbs,,,09 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi+junction-140243967,Bondi Junction,NSW,2022,8 Woodstock Street,"8 Woodstock Street, Bondi Junction, NSW 2022",1485000,"$1,485,000",house,1,1,0,,,-1.0,,TAJAXS,Belle Property  - Bondi Junction ,,,20 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi+junction-132405650,Bondi Junction,NSW,2022,203 Oxford Street,"203 Oxford Street, Bondi Junction, NSW 2022",6100000,"$6,100,000",house,1,2,0,,,202.0,m²,MJLWYA,Krulis Residential   - DOUBLE BAY,,,23 Nov 2018,house,,202.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-bondi+junction-121068438,Bondi Junction,NSW,2022,124 Denison Street,"124 Denison Street, Bondi Junction, NSW 2022",1310000,"$1,310,000",terrace,1,1,0,,,-1.0,,TAJAXS,Belle Property  - Bondi Junction ,,,21 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi+junction-111721075,Bondi Junction,NSW,2022,138 St James Road,"138 St James Road, Bondi Junction, NSW 2022",850000,"$850,000",house,1,1,0,,,-1.0,,TAJAXS,Belle Property  - Bondi Junction ,,,24 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi+junction-106687725,Bondi Junction,NSW,2022,Csp 152/251 Oxford Street,"Csp 152/251 Oxford Street, Bondi Junction, NSW 2022",,Contact agent,house,1,1,1,,,-1.0,,BVRMIX,First National Real Estate - Bondi Junction,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi+junction-141226920,Bondi Junction,NSW,2022,22 Mackenzie Street,"22 Mackenzie Street, Bondi Junction, NSW 2022",1525000,"$1,525,000",house,2,1,0,,,88.0,m²,XRWBOA,Ray White Park Coast East -   ,,,06 Feb 2023,house,,88.0
