badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-139690887,Bondi,NSW,2026,40 Edward Street,"40 Edward Street, Bondi, NSW 2026",3070000,"$3,070,000",house,2,1,1,,,-1.0,,XRWBON,Ray White Unlimited - BONDI BEACH,,,20 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-130641630,Bondi,NSW,2026,115a Francis Street,"115a Francis Street, Bondi, NSW 2026",1605000,"$1,605,000",house,2,1,0,,,190.0,m²,BZMDAR,BresicWhitney - Inner East,,,22 Mar 2019,house,,190.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-128705414,Bondi,NSW,2026,8 King Street,"8 King Street, Bondi, NSW 2026",1882000,"$1,882,000",house,2,1,2,,,237.0,m²,IXAZCL,The Agency - NSW,,,21 Jul 2018,house,,237.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-124061066,Bondi,NSW,2026,11/4 Castlefield Street,"11/4 Castlefield Street, Bondi, NSW 2026",1188000,"$1,188,000",house,2,1,1,,,-1.0,,XMHSYD,McGrath - Double Bay,,,05 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-123218538,Bondi,NSW,2026,83 Watson Street,"83 Watson Street, Bondi, NSW 2026",1940000,"$1,940,000",house,2,1,0,,,315.0,m²,XNTELI,Richardson & Wrench  - Elizabeth Bay / Potts Point,,,27 Aug 2016,house,,315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-113064547,Bondi,NSW,2026,6 Tasman Street,"6 Tasman Street, Bondi, NSW 2026",1575000,"$1,575,000",house,2,2,0,,,270.0,m²,RLGPIT,McGrath - Coogee,,,19 Mar 2013,house,,270.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-126868550,Bondi,NSW,2026,43 Dudley Street,"43 Dudley Street, Bondi, NSW 2026",1970000,"$1,970,000",house,2,1,0,,,-1.0,,XRHDOU,Raine & Horne - Double Bay,,,24 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-120423789,Bondi,NSW,2026,46 Watson Street,"46 Watson Street, Bondi, NSW 2026",1510000,"$1,510,000",house,2,1,0,,,-1.0,,XRHDOU,Raine & Horne - Double Bay,,,03 Sep 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-119262227,Bondi,NSW,2026,23 Philip Street,"23 Philip Street, Bondi, NSW 2026",1400000,"$1,400,000",house,2,1,0,,,-1.0,,XRHDOU,Raine & Horne - Double Bay,,,26 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-114101303,Bondi,NSW,2026,11 Philip Street,"11 Philip Street, Bondi, NSW 2026",1190000,"$1,190,000",house,2,1,0,,,140.0,m²,XMHSYD,McGrath - Double Bay,,,15 Jul 2013,house,,140.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-110840963,Bondi,NSW,2026,44 Avoca Street,"44 Avoca Street, Bondi, NSW 2026",1550000,"$1,550,000",house,2,2,0,,,300.0,m²,RLGPIT,McGrath - Coogee,,,26 Mar 2013,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-109380086,Bondi,NSW,2026,73 Bondi Road,"73 Bondi Road, Bondi, NSW 2026",1364000,"$1,364,000",house,2,2,1,147,m²,-1.0,,XRHBAN,Raine & Horne - Manly,,,22 Feb 2012,house,147,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-108634176,Bondi,NSW,2026,87 Beach Road,"87 Beach Road, Bondi, NSW 2026",1250000,"$1,250,000",house,2,1,2,,,-1.0,,XMHSYD,McGrath - Double Bay,,,10 Dec 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-bondi-108303901,Bondi,NSW,2026,11A Ewell Street,"11A Ewell Street, Bondi, NSW 2026",925000,"$925,000",duplex-semi-detached,2,1,0,,,-1.0,,NGGKIN,NGFarah,,,12 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-106485359,Bondi,NSW,2026,44 Avoca Street,"44 Avoca Street, Bondi, NSW 2026",1500000,"$1,500,000",house,2,2,0,,,300.0,m²,XMHSYD,McGrath - Double Bay,,,30 Apr 2010,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-106088781,Bondi,NSW,2026,31 Tasman Street,"31 Tasman Street, Bondi, NSW 2026",1150000,"$1,150,000",house,2,1,0,,,-1.0,,DIJWOO,DiJones - Eastern Suburbs,,,29 Oct 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-105676571,Bondi,NSW,2026,17 Martins Avenue,"17 Martins Avenue, Bondi, NSW 2026",915000,"$915,000",house,2,1,1,,,240.0,m²,XMHSYD,McGrath - Double Bay,,,09 May 2009,house,,240.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-105568140,Bondi,NSW,2026,16 Stephen Street,"16 Stephen Street, Bondi, NSW 2026",1035000,"$1,035,000",house,2,2,0,,,-1.0,,XRWBON,Ray White Unlimited - BONDI BEACH,,,16 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-105400072,Bondi,NSW,2026,20 New Street,"20 New Street, Bondi, NSW 2026",1025000,"$1,025,000",house,2,1,0,,,228.0,m²,GOTWOO,Goodyer Real Estate - Paddington,,,03 Dec 2008,house,,228.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-105312954,Bondi,NSW,2026,14 Philip Street,"14 Philip Street, Bondi, NSW 2026",782000,"$782,000",house,2,1,0,,,-1.0,,XRWBOA,Ray White Park Coast East -   ,,,26 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-141098608,Bondi,NSW,2026,59 Anglesea Street,"59 Anglesea Street, Bondi, NSW 2026",2430000,"$2,430,000",house,2,1,1,,,183.0,m²,XOEVVN,PPD Real Estate,,,13 Dec 2022,house,,183.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-139679355,Bondi,NSW,2026,31 Philip Street,"31 Philip Street, Bondi, NSW 2026",2451000,"$2,451,000",house,2,1,0,146,m²,-1.0,,ZZTIXB,Ray White - Woollahra | Paddington,,,30 Jul 2022,house,146,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-137205994,Bondi,NSW,2026,17 Martins Avenue,"17 Martins Avenue, Bondi, NSW 2026",3175000,"$3,175,000",house,2,1,1,,,-1.0,,AYOYJM,LJ Hooker Bondi Beach - Bondi Junction,,,21 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-135849150,Bondi,NSW,2026,2/50 Sir Thomas Mitchell Road,"2/50 Sir Thomas Mitchell Road, Bondi, NSW 2026",957000,"$957,000",house,2,1,0,,,-1.0,,KLYYFT,TRG,,,18 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-bondi-132926082,Bondi,NSW,2026,21 Rowland Avenue,"21 Rowland Avenue, Bondi, NSW 2026",2800000,"$2,800,000",duplex-semi-detached,2,1,0,,,-1.0,,RJAYST,Richardson & Wrench - Bondi Beach,,,10 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-131420346,Bondi,NSW,2026,29 Denham Street,"29 Denham Street, Bondi, NSW 2026",1840000,"$1,840,000",house,2,1,1,,,-1.0,,XRHDOU,Raine & Horne - Double Bay,,,17 Jul 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-131175962,Bondi,NSW,2026,29 Avoca Street,"29 Avoca Street, Bondi, NSW 2026",2135000,"$2,135,000",house,2,1,1,,,-1.0,,XOEVVN,PPD Real Estate,,,20 May 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bondi-129634362,Bondi,NSW,2026,31 Tasman Street,"31 Tasman Street, Bondi, NSW 2026",1910000,"$1,910,000",house,2,1,0,,,-1.0,,XRHDOU,Raine & Horne - Double Bay,,,04 Dec 2018,house,,-1.0
