badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-134725938,Bonnet Bay,NSW,2226,2/2 Lincoln Crescent,"2/2 Lincoln Crescent, Bonnet Bay, NSW 2226",1170000,"$1,170,000",house,2,2,2,,,-1.0,,XFNJAN,Sanders Property Agents -   ,,,12 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-140970112,Bonnet Bay,NSW,2226,9 Eisenhower Place,"9 Eisenhower Place, Bonnet Bay, NSW 2226",1300000,"$1,300,000",house,3,2,1,,,575.0,m²,XNFSYL,McGrath Sutherland Shire - Sylvania,,,08 Dec 2022,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-136731326,Bonnet Bay,NSW,2226,13 Fillmore Road,"13 Fillmore Road, Bonnet Bay, NSW 2226",1480000,"$1,480,000",house,3,2,2,,,588.1,m²,XFNJAN,Sanders Property Agents -   ,,,21 Jul 2021,house,,588.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-136671066,Bonnet Bay,NSW,2226,20 Upper Washington Drive,"20 Upper Washington Drive, Bonnet Bay, NSW 2226",1250000,"$1,250,000",house,3,1,1,,,683.0,m²,XFNJAN,Sanders Property Agents -   ,,,14 Jul 2021,house,,683.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-136105142,Bonnet Bay,NSW,2226,16 Garfield Avenue,"16 Garfield Avenue, Bonnet Bay, NSW 2226",1605000,"$1,605,000",house,3,2,2,,,601.0,m²,KFNJLO,Stone - Engadine,,,22 May 2021,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-135652522,Bonnet Bay,NSW,2226,22 Taft Place,"22 Taft Place, Bonnet Bay, NSW 2226",1935000,"$1,935,000",house,3,3,2,,,-1.0,,EMRLGJ,Hill & Viteri Property - Sutherland,,,27 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-135280430,Bonnet Bay,NSW,2226,7 Lower Washington Drive,"7 Lower Washington Drive, Bonnet Bay, NSW 2226",1142000,"$1,142,000",house,3,2,3,,,613.4,m²,XFNJAN,Sanders Property Agents -   ,,,05 Feb 2021,house,,613.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-134521070,Bonnet Bay,NSW,2226,38 Upper Washington Drive,"38 Upper Washington Drive, Bonnet Bay, NSW 2226",1150000,"$1,150,000",house,3,1,2,,,588.1,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,07 Oct 2020,house,,588.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-133192718,Bonnet Bay,NSW,2226,16 McKinley Avenue,"16 McKinley Avenue, Bonnet Bay, NSW 2226",1240000,"$1,240,000",house,3,2,2,,,646.0,m²,XNFSYL,McGrath Sutherland Shire - Sylvania,,,03 Apr 2020,house,,646.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-132624990,Bonnet Bay,NSW,2226,22 Tudar Road,"22 Tudar Road, Bonnet Bay, NSW 2226",1076000,"$1,076,000",house,3,1,1,,,594.4,m²,XFNJAN,Sanders Property Agents -   ,,,19 Dec 2019,house,,594.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-132260138,Bonnet Bay,NSW,2226,31 Lower Washington Drive,"31 Lower Washington Drive, Bonnet Bay, NSW 2226",1050000,"$1,050,000",house,3,1,2,,,651.3,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,13 Nov 2019,house,,651.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-131303958,Bonnet Bay,NSW,2226,172 Washington Drive,"172 Washington Drive, Bonnet Bay, NSW 2226",945000,"$945,000",house,3,2,2,,,557.0,m²,LMRQYG,Oz Combined Realty,,,14 Jun 2019,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-128967454,Bonnet Bay,NSW,2226,170 Washington Drive,"170 Washington Drive, Bonnet Bay, NSW 2226",960000,"$960,000",house,3,2,2,,,557.0,m²,XFNJAN,Sanders Property Agents -   ,,,03 Sep 2018,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-129025570,Bonnet Bay,NSW,2226,14 Madison Place,"14 Madison Place, Bonnet Bay, NSW 2226",900000,"$900,000",house,3,1,2,,,575.0,m²,XFNJAN,Sanders Property Agents -   ,,,17 Aug 2018,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-128152530,Bonnet Bay,NSW,2226,8 Lincoln Crescent,"8 Lincoln Crescent, Bonnet Bay, NSW 2226",1160000,"$1,160,000",house,3,1,1,,,1132.0,m²,UWIGMI,Highland - Sutherland,,,03 May 2018,house,,1132.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-127921554,Bonnet Bay,NSW,2226,13 Fillmore Road,"13 Fillmore Road, Bonnet Bay, NSW 2226",990000,"$990,000",house,3,2,2,,,607.0,m²,XFNJAN,Sanders Property Agents -   ,,,12 Apr 2018,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-127285954,Bonnet Bay,NSW,2226,45 Buchanan Avenue,"45 Buchanan Avenue, Bonnet Bay, NSW 2226",1225000,"$1,225,000",house,3,3,2,,,556.0,m²,XFNJAN,Sanders Property Agents -   ,,,29 Jan 2018,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-126522430,Bonnet Bay,NSW,2226,23 Eisenhower Place,"23 Eisenhower Place, Bonnet Bay, NSW 2226",1035000,"$1,035,000",house,3,2,1,,,595.0,m²,XFNJAN,Sanders Property Agents -   ,,,19 Oct 2017,house,,595.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-124948102,Bonnet Bay,NSW,2226,59 Lower Washington Drive,"59 Lower Washington Drive, Bonnet Bay, NSW 2226",1087500,"$1,087,500",house,3,2,2,,,563.0,m²,XCEGYN,JRE Property,,,25 Mar 2017,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-124867534,Bonnet Bay,NSW,2226,4 Pierce Place,"4 Pierce Place, Bonnet Bay, NSW 2226",1088000,"$1,088,000",house,3,3,2,,,689.2,m²,XFNJAN,Sanders Property Agents -   ,,,23 Mar 2017,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-124870182,Bonnet Bay,NSW,2226,135 Lower Washington Drive,"135 Lower Washington Drive, Bonnet Bay, NSW 2226",1440000,"$1,440,000",house,3,2,1,,,676.6,m²,XFNJAN,Sanders Property Agents -   ,,,02 Mar 2017,house,,676.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-124695206,Bonnet Bay,NSW,2226,7 Jefferson Crescent,"7 Jefferson Crescent, Bonnet Bay, NSW 2226",1116000,"$1,116,000",house,3,1,1,,,-1.0,,XFNJAN,Sanders Property Agents -   ,,,02 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-124695222,Bonnet Bay,NSW,2226,14 Kennedy Crescent,"14 Kennedy Crescent, Bonnet Bay, NSW 2226",985000,"$985,000",house,3,1,0,,,-1.0,,XFNJAN,Sanders Property Agents -   ,,,24 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-123583458,Bonnet Bay,NSW,2226,164 Washington Drive,"164 Washington Drive, Bonnet Bay, NSW 2226",1080000,"$1,080,000",house,3,2,1,,,-1.0,,XFNJAN,Sanders Property Agents -   ,,,24 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-122731266,Bonnet Bay,NSW,2226,56 Buchanan Avenue,"56 Buchanan Avenue, Bonnet Bay, NSW 2226",885000,"$885,000",house,3,1,1,,,587.0,m²,XFNJAN,Sanders Property Agents -   ,,,23 Jun 2016,house,,587.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-122686558,Bonnet Bay,NSW,2226,24 Lincoln Crescent,"24 Lincoln Crescent, Bonnet Bay, NSW 2226",875000,"$875,000",house,3,1,2,,,617.0,m²,XFNJAN,Sanders Property Agents -   ,,,10 Jun 2016,house,,617.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bonnet+bay-121981850,Bonnet Bay,NSW,2226,34 Upper Washington Drive,"34 Upper Washington Drive, Bonnet Bay, NSW 2226",1015000,"$1,015,000",house,3,3,1,,,586.1,m²,XFNJAN,Sanders Property Agents -   ,,,19 Mar 2016,house,,586.1
