badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-139305799,Booker Bay,NSW,2257,2 Davis Street,"2 Davis Street, Booker Bay, NSW 2257",1250000,"$1,250,000",house,1,1,0,,,682.9,m²,XRWUMI,Ray White - Umina Beach,,,17 Jun 2022,house,,682.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-141961688,Booker Bay,NSW,2257,48 Webb Road,"48 Webb Road, Booker Bay, NSW 2257",1150000,"$1,150,000",house,1,1,1,,,627.0,m²,XLSETT,McGrath - Ettalong Beach,,,30 Mar 2023,house,,627.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-126614022,Booker Bay,NSW,2257,40 Webb Road,"40 Webb Road, Booker Bay, NSW 2257",730000,"$730,000",house,1,1,0,,,-1.0,,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,03 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-115516151,Booker Bay,NSW,2257,21 Webb Rd,"21 Webb Rd, Booker Bay, NSW 2257",440000,"$440,000",house,1,1,2,,,-1.0,,WIPWOY,Wilsons Estate Agency - Woy Woy ,,,19 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-111922547,Booker Bay,NSW,2257,186 Booker Bay Road,"186 Booker Bay Road, Booker Bay, NSW 2257",1220000,"$1,220,000",house,1,1,2,,,-1.0,,XLSETT,McGrath - Ettalong Beach,,,28 Sep 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-108246066,Booker Bay,NSW,2257,410 Booker Bay Road,"410 Booker Bay Road, Booker Bay, NSW 2257",420000,"$420,000",house,1,1,0,,,183.0,m²,,,,,08 Dec 2011,house,,183.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-111101743,Booker Bay,NSW,2257,27 Webb Rd,"27 Webb Rd, Booker Bay, NSW 2257",,Contact agent,house,1,1,2,,,626.0,m²,XFNETT,G L Jackson & Co First National - Ettalong Beach,,,15 Aug 2012,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-106459028,Booker Bay,NSW,2257,,,,Contact agent,house,1,1,0,,,-1.0,,,,,,17 Sep 2007,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-139900367,Booker Bay,NSW,2257,68 Booker Bay Road,"68 Booker Bay Road, Booker Bay, NSW 2257",2300000,"$2,300,000",house,2,1,0,,,486.9,m²,XRWUMI,Ray White - Umina Beach,,,15 Aug 2022,house,,486.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-136075502,Booker Bay,NSW,2257,24 Telopea Street,"24 Telopea Street, Booker Bay, NSW 2257",1280000,"$1,280,000",house,2,1,1,,,626.0,m²,XRWUMI,Ray White - Umina Beach,,,16 May 2021,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-129799742,Booker Bay,NSW,2257,7 Telopea Street,"7 Telopea Street, Booker Bay, NSW 2257",625000,"$625,000",house,2,1,1,,,-1.0,,XCEUMI,Wiseberry Peninsula - Umina Beach,,,14 Jan 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-125360554,Booker Bay,NSW,2257,42 Murray St,"42 Murray St, Booker Bay, NSW 2257",880000,"$880,000",house,2,1,1,,,455.0,m²,XGBKIN,George Brand Real Estate - Kincumber,,,31 May 2017,house,,455.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-138588539,Booker Bay,NSW,2257,31 Webb Road,"31 Webb Road, Booker Bay, NSW 2257",1500000,"$1,500,000",house,2,1,1,,,626.0,m²,RKAZHV,Domain Property Group Central Coast - WOY WOY,,,16 Mar 2022,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-booker+bay-135924086,Booker Bay,NSW,2257,42 Bogan Road,"42 Bogan Road, Booker Bay, NSW 2257",1310000,"$1,310,000",house,2,1,0,,,873.0,m²,XFNETT,G L Jackson & Co First National - Ettalong Beach,,,08 May 2021,house,,873.0
