badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-bossley+park-105542901,Bossley Park,NSW,2176,,,305000,"$305,000",residential-other,0,1,0,,,468.0,m²,XCEFAI,Century 21 - Fairfield,,,04 Jul 2009,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-134707414,Bossley Park,NSW,2176,13 Adaptaur Close,"13 Adaptaur Close, Bossley Park, NSW 2176",915000,"$915,000",house,1,1,1,,,-1.0,,ETMHFJ,Blaze Real Estate - Wetherill Park,,,28 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-134363158,Bossley Park,NSW,2176,4 Ararat Close,"4 Ararat Close, Bossley Park, NSW 2176",935000,"$935,000",house,1,1,1,,,612.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,10 Oct 2020,house,,612.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-125915018,Bossley Park,NSW,2176,11 (Lot 7) Adaptaur Close,"11 (Lot 7) Adaptaur Close, Bossley Park, NSW 2176",680000,"$680,000",house,1,1,0,,,512.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,01 Aug 2017,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-127521202,Bossley Park,NSW,2176,30/26 Turquoise Cres,"30/26 Turquoise Cres, Bossley Park, NSW 2176",325000,"$325,000",house,1,1,1,,,-1.0,,EYNWAQ,Graham Ball Estate Agents - FAIRFIELD HEIGHTS,,,09 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-123735218,Bossley Park,NSW,2176,30/26 Turquoise Crescent,"30/26 Turquoise Crescent, Bossley Park, NSW 2176",291000,"$291,000",house,1,1,1,,,-1.0,,,,,,04 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-116456155,Bossley Park,NSW,2176,30/26 Turquoise Place,"30/26 Turquoise Place, Bossley Park, NSW 2176",212000,"$212,000",house,1,1,0,,,-1.0,,TITCXQ,Professionals Real Estate - Fairfield,,,22 Feb 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-bossley+park-105466200,Bossley Park,NSW,2176,,,162500,"$162,500",acreage,1,1,0,,,-1.0,,XLSFAJ,Laing+Simmons - Fairfield,,,09 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-133977438,Bossley Park,NSW,2176,61 Restwell Road,"61 Restwell Road, Bossley Park, NSW 2176",1140000,"$1,140,000",house,2,1,2,,,948.8,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,29 Aug 2020,house,,948.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-140629071,Bossley Park,NSW,2176,21 Salter Road,"21 Salter Road, Bossley Park, NSW 2176",895000,"$895,000",house,2,1,1,,,560.0,m²,XCEBOS,Century 21 - The Parks Realty,,,13 Oct 2022,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-121180858,Bossley Park,NSW,2176,24/26 Turquoise Avenue,"24/26 Turquoise Avenue, Bossley Park, NSW 2176",350000,"$350,000",house,2,1,1,,,-1.0,,,,,,12 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-109576951,Bossley Park,NSW,2176,2 Quarry Road,"2 Quarry Road, Bossley Park, NSW 2176",600000,"$600,000",house,2,1,4,,,-1.0,,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,22 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-106330948,Bossley Park,NSW,2176,,,,Contact agent,house,2,1,1,,,-1.0,,STAFAI,Harcourts - KELLYVILLE,,,09 Mar 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-105889413,Bossley Park,NSW,2176,,,,Contact agent,house,2,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,10 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-141828576,Bossley Park,NSW,2176,32 Falklands Avenue,"32 Falklands Avenue, Bossley Park, NSW 2176",900000,"$900,000",house,3,1,2,,,594.1,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,29 Apr 2023,house,,594.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-141495596,Bossley Park,NSW,2176,1 Guthega Place,"1 Guthega Place, Bossley Park, NSW 2176",970000,"$970,000",house,3,1,3,,,-1.0,,ETMHFJ,Blaze Real Estate - Wetherill Park,,,11 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-141426220,Bossley Park,NSW,2176,9 Hope Crescent,"9 Hope Crescent, Bossley Park, NSW 2176",921000,"$921,000",house,3,1,0,,,557.0,m²,XCEBOS,Century 21 - The Parks Realty,,,04 Mar 2023,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-141328044,Bossley Park,NSW,2176,140 Quarry Road,"140 Quarry Road, Bossley Park, NSW 2176",976000,"$976,000",house,3,1,1,,,560.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,25 Feb 2023,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-141267048,Bossley Park,NSW,2176,24 Derwent Place,"24 Derwent Place, Bossley Park, NSW 2176",851000,"$851,000",house,3,1,1,,,608.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,18 Feb 2023,house,,608.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bossley+park-140705347,Bossley Park,NSW,2176,1 Seymour Place,"1 Seymour Place, Bossley Park, NSW 2176",1050000,"$1,050,000",house,3,1,1,,,688.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,16 Dec 2022,house,,688.0
