badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-134794694,Brighton-Le-Sands,NSW,2216,7 Francis Avenue,"7 Francis Avenue, Brighton-Le-Sands, NSW 2216",1457000,"$1,457,000",house,1,1,0,,,545.0,m²,RIQXAS,Prestige Property Group Realty - ARNCLIFFE,,,28 Nov 2020,house,,545.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-126836338,Brighton-Le-Sands,NSW,2216,802/8 Princess Street,"802/8 Princess Street, Brighton-Le-Sands, NSW 2216",745000,"$745,000",house,1,1,1,76,m²,-1.0,,,,,,05 Dec 2017,house,76,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-141714264,Brighton-Le-Sands,NSW,2216,39 Reading Road,"39 Reading Road, Brighton-Le-Sands, NSW 2216",1465000,"$1,465,000",house,2,1,3,,,348.0,m²,XLJSAO,McGrath - Sans Souci,,,05 Apr 2023,house,,348.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-137859278,Brighton-Le-Sands,NSW,2216,39A General Holmes Drive,"39A General Holmes Drive, Brighton-Le-Sands, NSW 2216",1300000,"$1,300,000",house,2,1,2,,,304.0,m²,MDCXAH,McGrath - Brighton Le Sands,,,14 Dec 2021,house,,304.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-136795898,Brighton-Le-Sands,NSW,2216,9 Cashman Road,"9 Cashman Road, Brighton-Le-Sands, NSW 2216",2690000,"$2,690,000",house,2,2,5,,,696.77,m²,LFWTJJ,Ray White - BRIGHTON-LE-SANDS,,,07 Aug 2021,house,,696.77
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-133566746,Brighton-Le-Sands,NSW,2216,11 Rowley Street,"11 Rowley Street, Brighton-Le-Sands, NSW 2216",985000,"$985,000",house,2,1,1,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,06 Jun 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-brighton-le-sands-130647222,Brighton-Le-Sands,NSW,2216,8 Teralba Road,"8 Teralba Road, Brighton-Le-Sands, NSW 2216",810000,"$810,000",duplex-semi-detached,2,1,2,,,-1.0,,RIQXAS,Prestige Property Group Realty - ARNCLIFFE,,,08 May 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-129585146,Brighton-Le-Sands,NSW,2216,77 Bruce Street,"77 Bruce Street, Brighton-Le-Sands, NSW 2216",1175000,"$1,175,000",house,2,1,1,,,-1.0,,XRWXEK,Stone Real Estate - Sans Souci,,,23 Feb 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-brighton-le-sands-128751390,Brighton-Le-Sands,NSW,2216,34A The Grand Parade,"34A The Grand Parade, Brighton-Le-Sands, NSW 2216",1750000,"$1,750,000",duplex-semi-detached,2,2,3,,,345.0,m²,TJUAQS,D'Ettorre Real Estate,,,28 Jul 2018,house,,345.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-128065902,Brighton-Le-Sands,NSW,2216,20 O'Neill Street,"20 O'Neill Street, Brighton-Le-Sands, NSW 2216",1200000,"$1,200,000",house,2,1,3,,,334.0,m²,HEETEE,Belle Property - St George,,,16 May 2018,house,,334.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-127606094,Brighton-Le-Sands,NSW,2216,3/5-7 Moate Ave,"3/5-7 Moate Ave, Brighton-Le-Sands, NSW 2216",1080000,"$1,080,000",house,2,2,1,,,-1.0,,XLJPYR,LJ Hooker - Pyrmont,,,26 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-125644750,Brighton-Le-Sands,NSW,2216,86 Crawford Road,"86 Crawford Road, Brighton-Le-Sands, NSW 2216",1400000,"$1,400,000",house,2,1,2,446,m²,-1.0,,GSNMOO,Caruana Real Estate - Sans Souci,,,20 Jul 2017,house,446,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-120715609,Brighton-Le-Sands,NSW,2216,13 Roslyn Avenue,"13 Roslyn Avenue, Brighton-Le-Sands, NSW 2216",1516000,"$1,516,000",house,2,1,0,,,445.0,m²,HPTSAN,Honer Dodd Realty - Sans Souci,,,10 Dec 2015,house,,445.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-120204313,Brighton-Le-Sands,NSW,2216,8 Teralba Road,"8 Teralba Road, Brighton-Le-Sands, NSW 2216",1250000,"$1,250,000",house,2,1,2,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,08 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brighton-le-sands-119225531,Brighton-Le-Sands,NSW,2216,78 Bruce Street,"78 Bruce Street, Brighton-Le-Sands, NSW 2216",1155000,"$1,155,000",house,2,2,2,,,433.0,m²,RIQXAS,Prestige Property Group Realty - ARNCLIFFE,,,20 May 2015,house,,433.0
