badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-bronte-105574216,Bronte,NSW,2024,56/107 Macpherson Street,"56/107 Macpherson Street, Bronte, NSW 2024",495000,"$495,000",residential-other,0,2,0,194,m²,-1.0,,,,,,09 Dec 2009,house,194,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-125353634,Bronte,NSW,2024,1/483-485 Bronte Road,"1/483-485 Bronte Road, Bronte, NSW 2024",,Contact agent,house,1,1,0,110,m²,-1.0,,XRHDOU,Raine & Horne - Double Bay,,,31 May 2017,house,110,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-141078552,Bronte,NSW,2024,1a Gardyne Street,"1a Gardyne Street, Bronte, NSW 2024",3530000,"$3,530,000",house,2,1,1,,,310.0,m²,IDLYUE,Century 21 Armstrong-Smith - Bondi Junction,,,23 Jan 2023,house,,310.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-132164122,Bronte,NSW,2024,53 Belgrave Street,"53 Belgrave Street, Bronte, NSW 2024",2425000,"$2,425,000",house,2,1,2,,,-1.0,,XOEVVN,PPD Real Estate,,,16 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-130220686,Bronte,NSW,2024,24 Brae Street,"24 Brae Street, Bronte, NSW 2024",1370000,"$1,370,000",house,2,1,0,,,-1.0,,XOEVVN,PPD Real Estate,,,13 Feb 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-128928130,Bronte,NSW,2024,6 Gipps Street,"6 Gipps Street, Bronte, NSW 2024",2000000,"$2,000,000",house,2,1,1,,,-1.0,,XOEVVN,PPD Real Estate,,,07 Oct 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-129072086,Bronte,NSW,2024,28 Boundary Street,"28 Boundary Street, Bronte, NSW 2024",1955000,"$1,955,000",house,2,1,0,,,-1.0,,XOEVVN,PPD Real Estate,,,20 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-127409302,Bronte,NSW,2024,42 Alfred Street,"42 Alfred Street, Bronte, NSW 2024",2350000,"$2,350,000",house,2,1,0,,,-1.0,,XOEVVN,PPD Real Estate,,,21 Feb 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-123577166,Bronte,NSW,2024,2/369A Bronte Road,"2/369A Bronte Road, Bronte, NSW 2024",1600000,"$1,600,000",house,2,2,0,,,-1.0,,XOEVVN,PPD Real Estate,,,27 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-123224274,Bronte,NSW,2024,38a St Thomas Street,"38a St Thomas Street, Bronte, NSW 2024",1906000,"$1,906,000",house,2,1,1,,,-1.0,,XOEVVN,PPD Real Estate,,,20 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bronte-120555477,Bronte,NSW,2024,60 Chesterfield Parade,"60 Chesterfield Parade, Bronte, NSW 2024",2270000,"$2,270,000",house,2,1,1,,,262.0,m²,RLGPIT,McGrath - Coogee,,,19 Sep 2015,house,,262.0
