badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-brooklyn-104773969,Brooklyn,NSW,2083,,,545000,"$545,000",residential-other,0,1,0,,,815.0,m²,,,,,27 Aug 2015,house,,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-139809271,Brooklyn,NSW,2083,1/218 Brooklyn Road,"1/218 Brooklyn Road, Brooklyn, NSW 2083",540000,"$540,000",house,1,1,0,52,m²,-1.0,,RYIZYZ,Belle Property - Hornsby,,,02 Dec 2022,house,52,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-141565808,Brooklyn,NSW,2083,82 Brooklyn Road,"82 Brooklyn Road, Brooklyn, NSW 2083",825000,"$825,000",house,1,1,1,,,782.0,m²,JXEEYT,Riverfront Real Estate - BAR POINT,,,24 Mar 2023,house,,782.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-129629306,Brooklyn,NSW,2083,109 Brooklyn Road,"109 Brooklyn Road, Brooklyn, NSW 2083",780000,"$780,000",house,1,1,0,,,1200.0,m²,,,,,19 Nov 2018,house,,1200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-124974062,Brooklyn,NSW,2083,68  Brooklyn Road,"68  Brooklyn Road, Brooklyn, NSW 2083",630000,"$630,000",house,1,1,0,,,372.0,m²,TEDFOR,Greg Wild Real Estate - Forresters Beach,,,28 Mar 2017,house,,372.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-114829571,Brooklyn,NSW,2083,2/218 Brooklyn Rd,"2/218 Brooklyn Rd, Brooklyn, NSW 2083",,Contact agent,house,1,1,0,,,-1.0,,,,,,23 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-113419611,Brooklyn,NSW,2083,202 Brooklyn Road,"202 Brooklyn Road, Brooklyn, NSW 2083",473000,"$473,000",house,1,1,1,,,-1.0,,KEIHOR,Soames Real Estate - HORNSBY,,,15 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-102638074,Brooklyn,NSW,2083,,,338500,"$338,500",house,1,1,0,,,676.0,m²,,,,,04 Mar 2011,house,,676.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-102638128,Brooklyn,NSW,2083,,,335000,"$335,000",house,1,1,0,,,976.0,m²,,,,,11 Jun 2010,house,,976.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-104616605,Brooklyn,NSW,2083,,,,Contact agent,house,1,1,0,,,-1.0,,,,,,07 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-133312134,Brooklyn,NSW,2083,126 Brooklyn Road,"126 Brooklyn Road, Brooklyn, NSW 2083",850000,"$850,000",house,2,1,1,,,714.0,m²,RYIZYZ,Belle Property - Hornsby,,,02 Apr 2020,house,,714.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-127859110,Brooklyn,NSW,2083,75 Brooklyn Road,"75 Brooklyn Road, Brooklyn, NSW 2083",1150000,"$1,150,000",house,2,2,2,,,465.0,m²,KEIHOR,Soames Real Estate - HORNSBY,,,07 Aug 2018,house,,465.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-137361854,Brooklyn,NSW,2083,68 Brooklyn Road,"68 Brooklyn Road, Brooklyn, NSW 2083",1150000,"$1,150,000",house,2,2,2,,,372.0,m²,JXEEYT,Riverfront Real Estate - BAR POINT,,,19 Oct 2021,house,,372.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-brooklyn-136623938,Brooklyn,NSW,2083,212 Brooklyn Road,"212 Brooklyn Road, Brooklyn, NSW 2083",1050000,"$1,050,000",house,2,2,2,,,240.0,m²,JXEEYT,Riverfront Real Estate - BAR POINT,,,04 Aug 2021,house,,240.0
