badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-127368734,Bundeena,NSW,2230,8 Woodfield Avenue,"8 Woodfield Avenue, Bundeena, NSW 2230",850000,"$850,000",house,1,1,1,,,923.2,m²,,,,,20 Aug 2018,house,,923.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-124094126,Bundeena,NSW,2230,37 Rymill Place,"37 Rymill Place, Bundeena, NSW 2230",760000,"$760,000",house,1,1,1,,,809.4,m²,,,,,22 Dec 2016,house,,809.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-123082330,Bundeena,NSW,2230,42-44 Brighton Street,"42-44 Brighton Street, Bundeena, NSW 2230",1375000,"$1,375,000",house,1,1,0,,,-1.0,,HTXHUR,HT Wills Real Estate St George - Hurstville,,,14 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-116870255,Bundeena,NSW,2230,30 Liverpool Street,"30 Liverpool Street, Bundeena, NSW 2230",510000,"$510,000",house,1,1,2,,,-1.0,,QVSXTU,Ray White - Bundeena,,,13 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-141115048,Bundeena,NSW,2230,37 Rymill Place,"37 Rymill Place, Bundeena, NSW 2230",1100000,"$1,100,000",house,1,1,1,,,809.4,m²,BWZQTE,Highland - Sutherland Shire & St George,,,09 Dec 2022,house,,809.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-121636114,Bundeena,NSW,2230,29b Brighton Street,"29b Brighton Street, Bundeena, NSW 2230",880000,"$880,000",house,1,1,0,,,998.0,m²,QVSXTU,Ray White - Bundeena,,,22 Sep 2021,house,,998.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-126680982,Bundeena,NSW,2230,4 Eric Street,"4 Eric Street, Bundeena, NSW 2230",1350000,"$1,350,000",house,1,1,0,,,815.0,m²,QVSXTU,Ray White - Bundeena,,,24 Jul 2019,house,,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-111864899,Bundeena,NSW,2230,76 Brighton Street,"76 Brighton Street, Bundeena, NSW 2230",427500,"$427,500",house,1,1,0,,,708.0,m²,,,,,19 Apr 2013,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-105561707,Bundeena,NSW,2230,24 Liverpool Street,"24 Liverpool Street, Bundeena, NSW 2230",525000,"$525,000",house,1,1,1,,,1176.0,m²,,,,,06 Oct 2009,house,,1176.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-137653194,Bundeena,NSW,2230,40 Liverpool Street,"40 Liverpool Street, Bundeena, NSW 2230",1170000,"$1,170,000",house,2,1,2,,,-1.0,,GXPTEH,DiJones - Sutherland Shire,,,20 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-130649006,Bundeena,NSW,2230,67 Beachcomber Avenue,"67 Beachcomber Avenue, Bundeena, NSW 2230",660000,"$660,000",house,2,1,0,,,-1.0,,UWIGMI,Highland - Sutherland,,,07 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-130971798,Bundeena,NSW,2230,31 Scarborough Street,"31 Scarborough Street, Bundeena, NSW 2230",780000,"$780,000",house,2,1,2,,,-1.0,,,,,,07 Jun 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-130626882,Bundeena,NSW,2230,35 Rymill Place,"35 Rymill Place, Bundeena, NSW 2230",775000,"$775,000",house,2,2,1,,,613.4,m²,,,,,31 May 2019,house,,613.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-129785766,Bundeena,NSW,2230,37 Loftus Street,"37 Loftus Street, Bundeena, NSW 2230",830000,"$830,000",house,2,1,0,,,645.0,m²,,,,,22 Dec 2018,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-128865898,Bundeena,NSW,2230,7 Liverpool Street,"7 Liverpool Street, Bundeena, NSW 2230",971000,"$971,000",house,2,1,1,,,809.4,m²,,,,,03 Aug 2018,house,,809.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-bundeena-125779602,Bundeena,NSW,2230,19 Thompson Street,"19 Thompson Street, Bundeena, NSW 2230",900000,"$900,000",house,2,1,2,,,817.17,m²,,,,,06 Sep 2017,house,,817.17
