badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-burwood-119965481,Burwood,NSW,2134,57/1 Railway Parade,"57/1 Railway Parade, Burwood, NSW 2134",460000,"$460,000",residential-other,1,1,0,,,-1.0,,RTWXBI,Homelink Realty - Lidcombe,,,20 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-burwood-112921207,Burwood,NSW,2134,3/61 Albert Crescent,"3/61 Albert Crescent, Burwood, NSW 2134",330000,"$330,000",house,1,1,1,,,-1.0,,XRHBUS,Raine & Horne - Burwood,,,26 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-burwood-121716730,Burwood,NSW,2134,Shop/3 Wilga Street,"Shop/3 Wilga Street, Burwood, NSW 2134",,Contact agent,residential-other,1,1,0,,,-1.0,,XYTNSW,Leader Properties Real Estate - Burwood,,,08 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-burwood-118955239,Burwood,NSW,2134,3-7 Burwood Rd,"3-7 Burwood Rd, Burwood, NSW 2134",,Contact agent,terrace,1,1,1,,,-1.0,,XYTNSW,Leader Properties Real Estate - Burwood,,,22 Jan 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-burwood-119416867,Burwood,NSW,2134,Shop 2/5-9 Wilga Street,"Shop 2/5-9 Wilga Street, Burwood, NSW 2134",,Contact agent,residential-other,1,1,1,,,67.0,m²,XRHPET,Raine & Horne - Petersham,,,09 Jun 2015,house,,67.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-burwood-107388796,Burwood,NSW,2134,14 Jersey Road,"14 Jersey Road, Burwood, NSW 2134",,Contact agent,house,1,1,0,"1,180",m²,1180.0,m²,STRSTR,Strathfield Partners - Strathfield,,,28 May 2011,house,"1,180",1180.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-burwood-140991472,Burwood,NSW,2134,69D Stanley Street,"69D Stanley Street, Burwood, NSW 2134",1420000,"$1,420,000",house,2,1,1,,,-1.0,,XLJBUX,LJ Hooker - Burwood,,,29 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-burwood-139472407,Burwood,NSW,2134,55 Stanley Street,"55 Stanley Street, Burwood, NSW 2134",1900000,"$1,900,000",house,2,1,1,,,330.0,m²,PCFVEP,Zoom Real Estate - Burwood,,,25 Jun 2022,house,,330.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-burwood-137740030,Burwood,NSW,2134,25A Selborne Street,"25A Selborne Street, Burwood, NSW 2134",2600000,"$2,600,000",house,2,1,2,,,-1.0,,ELDENF,Elders Inner West,,,04 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-burwood-137410758,Burwood,NSW,2134,12 Angelo Street,"12 Angelo Street, Burwood, NSW 2134",1700000,"$1,700,000",house,2,1,1,,,-1.0,,XLJBUX,LJ Hooker - Burwood,,,03 Nov 2021,house,,-1.0
