badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-139317007,Buttaba,NSW,2283,22 Wrexham Circlet,"22 Wrexham Circlet, Buttaba, NSW 2283",806000,"$806,000",house,1,1,1,,,695.6,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,02 Jun 2022,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-133262018,Buttaba,NSW,2283,29 Wrexham Circlet,"29 Wrexham Circlet, Buttaba, NSW 2283",500000,"$500,000",house,1,1,0,,,120.14,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,18 May 2020,house,,120.14
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-108803231,Buttaba,NSW,2283,36 Earswick Crescent,"36 Earswick Crescent, Buttaba, NSW 2283",179000,"$179,000",house,1,1,0,,,974.0,m²,XFNTOT,Avery Property Professionals  -   ,,,20 Feb 2012,house,,974.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-107258566,Buttaba,NSW,2283,,,320000,"$320,000",house,1,1,0,,,126.0,m²,NTWOYA,Love Realty - Newcastle/ Lake Macquarie,,,26 May 2011,house,,126.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-139622151,Buttaba,NSW,2283,5 Haslemere Crescent,"5 Haslemere Crescent, Buttaba, NSW 2283",590000,"$590,000",house,2,1,2,,,-1.0,,CRGCHA,Creer Property - Charlestown     ,,,07 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-134873242,Buttaba,NSW,2283,143 Buttaba Hills Road,"143 Buttaba Hills Road, Buttaba, NSW 2283",340000,"$340,000",house,2,1,0,,,296.0,m²,XRWTOR,Ray White - Toronto,,,10 Feb 2021,house,,296.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-134131922,Buttaba,NSW,2283,12 Ruislip Parkway,"12 Ruislip Parkway, Buttaba, NSW 2283",577500,"$577,500",house,2,1,0,,,1258.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,05 Feb 2021,house,,1258.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-130712254,Buttaba,NSW,2283,16 Glen Gory Avenue,"16 Glen Gory Avenue, Buttaba, NSW 2283",525000,"$525,000",house,2,1,1,,,700.0,m²,XFNTOT,Avery Property Professionals  -   ,,,13 Jun 2019,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-127078178,Buttaba,NSW,2283,5 Haslemere Crescent,"5 Haslemere Crescent, Buttaba, NSW 2283",399000,"$399,000",house,2,1,2,,,648.0,m²,XFNTOT,Avery Property Professionals  -   ,,,13 Dec 2017,house,,648.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-buttaba-126529350,Buttaba,NSW,2283,53 Ilford Avenue,"53 Ilford Avenue, Buttaba, NSW 2283",995000,"$995,000",house,2,1,1,,,1435.0,m²,XFNTOT,Avery Property Professionals  -   ,,,04 Nov 2017,house,,1435.0
