badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-115476747,Cabramatta,NSW,2166,4/82  John Street,"4/82  John Street, Cabramatta, NSW 2166",352500,"$352,500",residential-other,0,1,0,,,-1.0,,,,,,21 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-112745435,Cabramatta,NSW,2166,,,470000,"$470,000",house,0,2,2,,,767.0,m²,,,,,08 May 2013,house,,767.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-105599847,Cabramatta,NSW,2166,,,328000,"$328,000",house,0,1,0,,,550.0,m²,XCEFAI,Century 21 - Fairfield,,,04 Jun 2009,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-136601390,Cabramatta,NSW,2166,102 Broomfield Street,"102 Broomfield Street, Cabramatta, NSW 2166",2150000,"$2,150,000",house,0,1,0,,,885.0,m²,SJVFVL,Laing+Simmons - Cabramatta,,,05 Oct 2021,house,,885.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-119154391,Cabramatta,NSW,2166,353 Cabramatta Road,"353 Cabramatta Road, Cabramatta, NSW 2166",,Contact agent,residential-other,0,1,1,,,3340.0,m²,HPRGXZ,Goldstar Real Estate - Cabramatta,,,16 Mar 2015,house,,3340.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-109230561,Cabramatta,NSW,2166,,,,Contact agent,house,0,3,4,"3,251.61",m²,619.0,m²,DKIUSA,My Choice Real Estate - Cabramatta,,,03 Feb 2012,house,"3,251.61",619.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-106953828,Cabramatta,NSW,2166,,,445000,"Range: $375,000 - $445,000",residential-other,0,1,0,,,-1.0,,DKIUSA,My Choice Real Estate - Cabramatta,,,08 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-106684524,Cabramatta,NSW,2166,,,645000,"Range: $550,000 - $645,000",residential-other,0,1,0,,,399.0,m²,,,,,01 Nov 2010,house,,399.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-cabramatta-105726176,Cabramatta,NSW,2166,6-8 Chadderton Street,"6-8 Chadderton Street, Cabramatta, NSW 2166",,Contact agent,acreage,0,1,0,,,-1.0,,HGMDBV,Laing+Simmons - Campsie,,,14 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-105497078,Cabramatta,NSW,2166,75-77 Bold Street,"75-77 Bold Street, Cabramatta, NSW 2166",495000,"Range: $425,000 - $495,000",house,0,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,05 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-104136145,Cabramatta,NSW,2166,,,378500,"$378,500",house,0,1,0,,,-1.0,,XRHCAF,Raine & Horne - Cabramatta,,,12 Jan 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-135722466,Cabramatta,NSW,2166,17 Liverpool Street,"17 Liverpool Street, Cabramatta, NSW 2166",1050000,"$1,050,000",house,1,1,1,,,946.0,m²,ELDMER,Ray White Merrylands - Merrylands,,,19 Mar 2021,house,,946.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-139640571,Cabramatta,NSW,2166,3/275-281 John Street,"3/275-281 John Street, Cabramatta, NSW 2166",1100000,"$1,100,000",house,1,1,1,,,121.0,m²,EQMGZA,United Agents Property Group - WEST HOXTON,,,08 Jul 2022,house,,121.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-139640575,Cabramatta,NSW,2166,3/275-281 John Street,"3/275-281 John Street, Cabramatta, NSW 2166",1100000,"$1,100,000",house,1,1,1,,,121.0,m²,UNNCEC,United Agents Property Group - CECIL HILLS,,,08 Jul 2022,house,,121.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-139640595,Cabramatta,NSW,2166,2/275-281 John Street,"2/275-281 John Street, Cabramatta, NSW 2166",1100000,"$1,100,000",house,1,1,1,,,110.0,m²,UNNCEC,United Agents Property Group - CECIL HILLS,,,04 Jul 2022,house,,110.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-139527331,Cabramatta,NSW,2166,1/275-281 John Street,"1/275-281 John Street, Cabramatta, NSW 2166",1100000,"$1,100,000",house,1,1,1,,,119.0,m²,UNNCEC,United Agents Property Group - CECIL HILLS,,,03 Jun 2022,house,,119.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-134307062,Cabramatta,NSW,2166,47-49 Vale Street,"47-49 Vale Street, Cabramatta, NSW 2166",2750000,"$2,750,000",house,1,1,0,,,-1.0,,XCOVXC,Century 21 Gala Real Estate - Cabramatta,,,26 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-129978126,Cabramatta,NSW,2166,LOT 7/32 Broad Street,"LOT 7/32 Broad Street, Cabramatta, NSW 2166",910000,"$910,000",house,1,1,0,,,-1.0,,SQTTAS,Global RE - LIVERPOOL,,,11 Dec 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-136640194,Cabramatta,NSW,2166,4/11 Mcburney Road,"4/11 Mcburney Road, Cabramatta, NSW 2166",338000,"$338,000",house,1,1,1,88.4,m²,-1.0,,RNFNUI,Ray White - CABRAMATTA,,,04 Aug 2021,house,88.4,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-129998394,Cabramatta,NSW,2166,40 Joseph Street,"40 Joseph Street, Cabramatta, NSW 2166",460000,"$460,000",residential-other,1,1,0,,,455.0,m²,RNFNUI,Ray White - CABRAMATTA,,,30 Jan 2019,house,,455.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-116805559,Cabramatta,NSW,2166,,,,Contact agent,house,1,1,0,,,-1.0,,BECKAI,LJ Hooker - Cabramatta  ,,,22 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-115056107,Cabramatta,NSW,2166,,,,Contact agent,house,1,1,2,,,790.0,m²,GVCXZG,Vista Real Estate - Canley Vale,,,20 Dec 2013,house,,790.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-116955579,Cabramatta,NSW,2166,4/82 John Street,"4/82 John Street, Cabramatta, NSW 2166",,Contact agent,residential-other,1,1,0,,,-1.0,,VUDYDN,Goldstar Realty & Commercial - Fairfield,,,04 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-107254953,Cabramatta,NSW,2166,248 Railway Pde,"248 Railway Pde, Cabramatta, NSW 2166",690000,"$690,000",residential-other,1,1,0,375,m²,-1.0,,XRHCAF,Raine & Horne - Cabramatta,,,16 Apr 2011,house,375,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-106272813,Cabramatta,NSW,2166,6/51 John Street,"6/51 John Street, Cabramatta, NSW 2166",400000,"Range: $340,000 - $400,000",residential-other,1,1,0,,,-1.0,,,,,,24 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-cabramatta-104960954,Cabramatta,NSW,2166,,,,Contact agent,residential-other,1,1,0,,,-1.0,,SJVFVL,Laing+Simmons - Cabramatta,,,12 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-141779424,Cabramatta,NSW,2166,11 Towers Street,"11 Towers Street, Cabramatta, NSW 2166",890000,"$890,000",house,2,1,1,,,562.0,m²,PMCTLJ,Marando Real Estate South West - South West,,,11 Apr 2023,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-139713015,Cabramatta,NSW,2166,14/35-43 Mcburney Road,"14/35-43 Mcburney Road, Cabramatta, NSW 2166",500000,"$500,000",house,2,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,19 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-138547487,Cabramatta,NSW,2166,24 Eurabbie St,"24 Eurabbie St, Cabramatta, NSW 2166",1255000,"$1,255,000",house,2,1,1,,,600.7,m²,BECKAI,LJ Hooker - Cabramatta  ,,,12 Mar 2022,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-137853474,Cabramatta,NSW,2166,18 Roebuck St,"18 Roebuck St, Cabramatta, NSW 2166",950000,"$950,000",house,2,1,0,,,766.0,m²,SNOAFD,Raine & Horne Hoxton Park | Green Valley,,,11 Dec 2021,house,,766.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-125833246,Cabramatta,NSW,2166,55 Cabramatta Road East,"55 Cabramatta Road East, Cabramatta, NSW 2166",1830000,"$1,830,000",house,2,1,2,,,1762.2,m²,,,,,29 Jul 2017,house,,1762.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-138761407,Cabramatta,NSW,2166,29 Carabeen Street,"29 Carabeen Street, Cabramatta, NSW 2166",1180000,"$1,180,000",house,2,1,1,,,-1.0,,SJVFVL,Laing+Simmons - Cabramatta,,,09 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-137289554,Cabramatta,NSW,2166,48 Broomfield Street,"48 Broomfield Street, Cabramatta, NSW 2166",1450000,"$1,450,000",house,2,1,0,,,931.0,m²,TITCXQ,Professionals Real Estate - Fairfield,,,16 Oct 2021,house,,931.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-136205930,Cabramatta,NSW,2166,14/8 Myall Street,"14/8 Myall Street, Cabramatta, NSW 2166",580000,"$580,000",house,2,1,1,,,-1.0,,RNFNUI,Ray White - CABRAMATTA,,,01 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-131076658,Cabramatta,NSW,2166,4/38 St Johns Rd,"4/38 St Johns Rd, Cabramatta, NSW 2166",480000,"$480,000",house,2,1,1,,,-1.0,,XNOUMK,Goldstar Partners Real Estate - Cabramatta,,,15 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-126533298,Cabramatta,NSW,2166,89 Cabramatta Road East,"89 Cabramatta Road East, Cabramatta, NSW 2166",800000,"$800,000",house,2,1,3,,,776.0,m²,SQTTAS,Global RE - LIVERPOOL,,,31 Jul 2019,house,,776.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-130877506,Cabramatta,NSW,2166,48 Curtin Street,"48 Curtin Street, Cabramatta, NSW 2166",1050000,"$1,050,000",house,2,1,1,,,1037.0,m²,XCOVXC,Century 21 Gala Real Estate - Cabramatta,,,23 Apr 2019,house,,1037.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-130441910,Cabramatta,NSW,2166,16 Eurabbie Street,"16 Eurabbie Street, Cabramatta, NSW 2166",900000,"$900,000",house,2,1,1,,,600.0,m²,XCOVXC,Century 21 Gala Real Estate - Cabramatta,,,06 Feb 2019,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-125787542,Cabramatta,NSW,2166,45 Huon Street,"45 Huon Street, Cabramatta, NSW 2166",891000,"$891,000",house,2,1,2,,,588.0,m²,XCEFAI,Century 21 - Fairfield,,,22 Jul 2017,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-124747266,Cabramatta,NSW,2166,24/53-57 McBurney Road,"24/53-57 McBurney Road, Cabramatta, NSW 2166",380000,"$380,000",house,2,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,30 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-124599438,Cabramatta,NSW,2166,14 Cumberland St,"14 Cumberland St, Cabramatta, NSW 2166",1240000,"$1,240,000",house,2,1,1,,,-1.0,,EYNWAQ,Graham Ball Estate Agents - FAIRFIELD HEIGHTS,,,25 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-122641006,Cabramatta,NSW,2166,15/25-29 Hughes Street,"15/25-29 Hughes Street, Cabramatta, NSW 2166",500000,"$500,000",house,2,1,1,,,-1.0,,DKIUSA,My Choice Real Estate - Cabramatta,,,18 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-120633037,Cabramatta,NSW,2166,11 Loloma Street,"11 Loloma Street, Cabramatta, NSW 2166",960000,"$960,000",house,2,1,1,,,1011.0,m²,,,,,15 Apr 2016,house,,1011.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-121314842,Cabramatta,NSW,2166,43 Coventry Road,"43 Coventry Road, Cabramatta, NSW 2166",865000,"$865,000",house,2,1,2,,,-1.0,,BECKAI,LJ Hooker - Cabramatta  ,,,05 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-120066381,Cabramatta,NSW,2166,31  Gidgee St,"31  Gidgee St, Cabramatta, NSW 2166",900000,"$900,000",house,2,1,2,,,556.0,m²,DKIUSA,My Choice Real Estate - Cabramatta,,,18 Jul 2015,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-119920193,Cabramatta,NSW,2166,52 National Street,"52 National Street, Cabramatta, NSW 2166",737500,"$737,500",house,2,1,0,,,803.0,m²,XCEFAI,Century 21 - Fairfield,,,27 Jun 2015,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-119689831,Cabramatta,NSW,2166,32/88 Hughes Street,"32/88 Hughes Street, Cabramatta, NSW 2166",425000,"$425,000",house,2,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,30 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-119240971,Cabramatta,NSW,2166,53 CUMBERLAND STREET,"53 CUMBERLAND STREET, Cabramatta, NSW 2166",1225000,"$1,225,000",house,2,1,1,,,-1.0,,VPWWTX,Richardson & Wrench - Auburn,,,08 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-118979323,Cabramatta,NSW,2166,4/18 Hill Street,"4/18 Hill Street, Cabramatta, NSW 2166",402000,"$402,000",house,2,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,12 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-117160339,Cabramatta,NSW,2166,231 Railway Pde,"231 Railway Pde, Cabramatta, NSW 2166",955000,"$955,000",house,2,1,3,,,-1.0,,GDBRQO,Richardson & Wrench Cabramatta - CABRAMATTA,,,30 Jun 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-116051399,Cabramatta,NSW,2166,67 Water Street,"67 Water Street, Cabramatta, NSW 2166",596000,"$596,000",house,2,1,1,,,607.0,m²,,,,,16 May 2014,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-116463135,Cabramatta,NSW,2166,,,635000,"$635,000",house,2,1,4,,,852.0,m²,WDVDQD,John Law R E - Strathfield/ Roselands/ Burwood,,,07 May 2014,house,,852.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cabramatta-116080583,Cabramatta,NSW,2166,,,370000,"$370,000",house,2,1,1,,,-1.0,,WDVDQD,John Law R E - Strathfield/ Roselands/ Burwood,,,07 May 2014,house,,-1.0
