badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-141929012,Caddens,NSW,2747,29 Weema Street,"29 Weema Street, Caddens, NSW 2747",1045000,"$1,045,000",house,3,2,1,,,303.0,m²,XRWPEN,Ray White - Nepean Group,,,27 Apr 2023,house,,303.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-141410344,Caddens,NSW,2747,133 O'Connell Street,"133 O'Connell Street, Caddens, NSW 2747",870000,"$870,000",house,3,2,2,,,-1.0,,VUNUHO,One Agency Caddens - St Marys,,,24 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-139617239,Caddens,NSW,2747,23 Barnea Avenue,"23 Barnea Avenue, Caddens, NSW 2747",925000,"$925,000",house,3,2,1,,,369.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,01 Jul 2022,house,,369.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137524778,Caddens,NSW,2747,24 Murcott Terrace,"24 Murcott Terrace, Caddens, NSW 2747",970000,"$970,000",house,3,2,2,,,351.0,m²,HQVSJG,Riseonic Real Estate,,,18 Oct 2021,house,,351.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137188658,Caddens,NSW,2747,36 Vandalay Road,"36 Vandalay Road, Caddens, NSW 2747",931000,"$931,000",house,3,2,1,,,300.0,m²,VUNUHO,One Agency Caddens - St Marys,,,22 Sep 2021,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136554522,Caddens,NSW,2747,28 Murcott Terrace,"28 Murcott Terrace, Caddens, NSW 2747",905000,"$905,000",house,3,2,2,,,350.9,m²,XNFPEN,PRD - PENRITH,,,06 Jul 2021,house,,350.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-134565370,Caddens,NSW,2747,36 Ghera Road,"36 Ghera Road, Caddens, NSW 2747",705000,"$705,000",house,3,2,1,,,300.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,09 Nov 2020,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-134017486,Caddens,NSW,2747,21 Midnight Avenue,"21 Midnight Avenue, Caddens, NSW 2747",718000,"$718,000",house,3,2,1,,,321.0,m²,OAKYVA,NSW Realty,,,02 Sep 2020,house,,321.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-133355438,Caddens,NSW,2747,23 Barnea Avenue,"23 Barnea Avenue, Caddens, NSW 2747",700000,"$700,000",house,3,2,1,,,369.0,m²,XRWPEN,Ray White - Nepean Group,,,15 May 2020,house,,369.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-132038686,Caddens,NSW,2747,1 Avium Drive,"1 Avium Drive, Caddens, NSW 2747",790000,"$790,000",house,3,3,2,,,477.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,15 Oct 2019,house,,477.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-131516310,Caddens,NSW,2747,Lot 337 Midnight Avenue,"Lot 337 Midnight Avenue, Caddens, NSW 2747",633000,"$633,000",house,3,2,1,,,290.0,m²,NGYTKH,Brolen Homes,,,17 Aug 2019,house,,290.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-126546730,Caddens,NSW,2747,Lot 578A Caddens Hill,"Lot 578A Caddens Hill, Caddens, NSW 2747",656300,"$656,300",house,3,2,1,,,300.0,m²,,,,,18 Dec 2017,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-123959006,Caddens,NSW,2747,Lot 84 Caddens Hill,"Lot 84 Caddens Hill, Caddens, NSW 2747",622884,"$622,884",house,3,2,1,,,300.0,m²,,,,,13 Feb 2017,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-127175810,Caddens,NSW,2747,Lot 689 House & Land at Caddens Hill,"Lot 689 House & Land at Caddens Hill, Caddens, NSW 2747",710000,"Range: $605,000 - $710,000",house,3,2,1,,,300.0,m²,,,,,19 Mar 2018,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-125671266,Caddens,NSW,2747,Lot 507 Caddens Hill,"Lot 507 Caddens Hill, Caddens, NSW 2747",695000,"Range: $595,000 - $695,000",house,3,2,1,,,300.0,m²,,,,,14 Sep 2017,house,,300.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-caddens-125104886,Caddens,NSW,2747,42 Murcott Terrace,"42 Murcott Terrace, Caddens, NSW 2747",,Contact agent,duplex-semi-detached,3,2,1,,,-1.0,,VMQVEO,First National Real Estate - Blacktown,,,24 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-123975982,Caddens,NSW,2747,Stage 1 Caddens Hill,"Stage 1 Caddens Hill, Caddens, NSW 2747",,Contact agent,house,3,2,0,,,-1.0,,,,,,06 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-141815340,Caddens,NSW,2747,10 Arora Close,"10 Arora Close, Caddens, NSW 2747",1325000,"$1,325,000",house,4,2,2,,,450.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,24 Apr 2023,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-140932548,Caddens,NSW,2747,38a Murcott Terrace,"38a Murcott Terrace, Caddens, NSW 2747",918000,"$918,000",house,4,2,2,,,-1.0,,NKVFNY,Property Results - ROPES CROSSING,,,27 Jan 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-141197772,Caddens,NSW,2747,11 Fouad Way,"11 Fouad Way, Caddens, NSW 2747",1575000,"$1,575,000",house,4,3,2,,,375.0,m²,XRWPEN,Ray White - Nepean Group,,,24 Jan 2023,house,,375.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-141011020,Caddens,NSW,2747,175 Cadda Ridge Drive,"175 Cadda Ridge Drive, Caddens, NSW 2747",1680000,"$1,680,000",house,4,3,2,,,465.0,m²,XRWPEN,Ray White - Nepean Group,,,19 Dec 2022,house,,465.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-139911543,Caddens,NSW,2747,103 Cadda Ridge Drive,"103 Cadda Ridge Drive, Caddens, NSW 2747",990000,"$990,000",house,4,2,2,,,358.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,16 Dec 2022,house,,358.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-140872504,Caddens,NSW,2747,44 Cadda Ridge Drive,"44 Cadda Ridge Drive, Caddens, NSW 2747",1070000,"$1,070,000",house,4,2,2,,,579.0,m²,XRWPEN,Ray White - Nepean Group,,,05 Dec 2022,house,,579.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-140841936,Caddens,NSW,2747,62 Cadda Ridge Drive,"62 Cadda Ridge Drive, Caddens, NSW 2747",1195000,"$1,195,000",house,4,2,2,,,505.0,m²,MPOPEN,Dukes Estate Agents,,,14 Nov 2022,house,,505.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-140547843,Caddens,NSW,2747,5 Delaware Avenue,"5 Delaware Avenue, Caddens, NSW 2747",915000,"$915,000",house,4,2,2,128,m²,-1.0,,OUIQFP,Laing+Simmons - The Abassi Group,,,08 Nov 2022,house,128,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-140536763,Caddens,NSW,2747,3 Avium Drive,"3 Avium Drive, Caddens, NSW 2747",875000,"$875,000",house,4,2,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,28 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-140086355,Caddens,NSW,2747,11 Valencia Street,"11 Valencia Street, Caddens, NSW 2747",1000000,"$1,000,000",house,4,2,2,,,-1.0,,VUNUHO,One Agency Caddens - St Marys,,,07 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-139678335,Caddens,NSW,2747,43 Ghera Road,"43 Ghera Road, Caddens, NSW 2747",923000,"$923,000",house,4,2,1,,,300.0,m²,XRWPEN,Ray White - Nepean Group,,,16 Jul 2022,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-139412111,Caddens,NSW,2747,178 Cadda Ridge Drive,"178 Cadda Ridge Drive, Caddens, NSW 2747",1350000,"$1,350,000",house,4,2,2,,,621.0,m²,XRWPEN,Ray White - Nepean Group,,,17 Jun 2022,house,,621.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-138669343,Caddens,NSW,2747,48 Delaware Avenue,"48 Delaware Avenue, Caddens, NSW 2747",1000000,"$1,000,000",house,4,2,1,,,340.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,15 Mar 2022,house,,340.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-138415931,Caddens,NSW,2747,39 Cadda Ridge Drive,"39 Cadda Ridge Drive, Caddens, NSW 2747",1320000,"$1,320,000",house,4,3,2,,,390.0,m²,YDZOQC,Jim Aitken + Partners - Jordan Springs,,,04 Mar 2022,house,,390.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137602434,Caddens,NSW,2747,16 Redhaven Street,"16 Redhaven Street, Caddens, NSW 2747",1100000,"$1,100,000",house,4,2,2,,,375.0,m²,WFNAWM,Southlands Estate Agents - Penrith,,,14 Jan 2022,house,,375.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-138017014,Caddens,NSW,2747,35 Barnea Avenue,"35 Barnea Avenue, Caddens, NSW 2747",1260000,"$1,260,000",house,4,2,2,,,606.0,m²,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,13 Dec 2021,house,,606.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137944750,Caddens,NSW,2747,5 Barnea Avenue,"5 Barnea Avenue, Caddens, NSW 2747",1450000,"$1,450,000",house,4,2,2,,,552.0,m²,MPOPEN,Dukes Estate Agents,,,10 Dec 2021,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137551874,Caddens,NSW,2747,5 Valencia  Street,"5 Valencia  Street, Caddens, NSW 2747",1280000,"$1,280,000",house,4,2,2,,,370.0,m²,OLFAJD,Wiseberry - Five Dock,,,23 Nov 2021,house,,370.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137493366,Caddens,NSW,2747,31 Cadda Ridge Drive,"31 Cadda Ridge Drive, Caddens, NSW 2747",1100000,"$1,100,000",house,4,2,2,,,390.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,29 Oct 2021,house,,390.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137434530,Caddens,NSW,2747,6 Rochester Terrace,"6 Rochester Terrace, Caddens, NSW 2747",978000,"$978,000",house,4,2,1,,,300.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,22 Oct 2021,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-137053126,Caddens,NSW,2747,13 Ruby Street,"13 Ruby Street, Caddens, NSW 2747",1611000,"$1,611,000",house,4,2,3,,,-1.0,,OUIQFP,Laing+Simmons - The Abassi Group,,,27 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136994262,Caddens,NSW,2747,3 Ruby Street,"3 Ruby Street, Caddens, NSW 2747",900000,"$900,000",house,4,2,2,,,390.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,07 Sep 2021,house,,390.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136907222,Caddens,NSW,2747,123 O'Connell Street,"123 O'Connell Street, Caddens, NSW 2747",910000,"$910,000",house,4,2,1,,,301.0,m²,BEFHLR,Elders Real Estate  - Penrith,,,06 Sep 2021,house,,301.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136997718,Caddens,NSW,2747,4 Ghera Road,"4 Ghera Road, Caddens, NSW 2747",1061000,"$1,061,000",house,4,2,2,,,500.0,m²,GLGGLE,Glenmore Park Realty - Glenmore Park,,,30 Aug 2021,house,,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136795598,Caddens,NSW,2747,97 Cadda Ridge Drive,"97 Cadda Ridge Drive, Caddens, NSW 2747",901000,"$901,000",house,4,2,2,,,452.0,m²,RLKTTY,McGrath - Parramatta,,,10 Aug 2021,house,,452.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136503254,Caddens,NSW,2747,12 Avium Drive,"12 Avium Drive, Caddens, NSW 2747",1200000,"$1,200,000",house,4,2,2,,,454.0,m²,NRYFYX,Purcell Property -  Blue Mountains,,,09 Jul 2021,house,,454.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136525586,Caddens,NSW,2747,5 Redhaven Street,"5 Redhaven Street, Caddens, NSW 2747",965000,"$965,000",house,4,2,1,,,300.0,m²,VUNUHO,One Agency Caddens - St Marys,,,05 Jul 2021,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136120518,Caddens,NSW,2747,52 Ghera Road,"52 Ghera Road, Caddens, NSW 2747",1250000,"$1,250,000",house,4,2,2,,,375.0,m²,VUNUHO,One Agency Caddens - St Marys,,,23 Jun 2021,house,,375.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136406694,Caddens,NSW,2747,85 Barnea Avenue,"85 Barnea Avenue, Caddens, NSW 2747",1350000,"$1,350,000",house,4,3,2,,,565.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,18 Jun 2021,house,,565.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136316710,Caddens,NSW,2747,9 Braeburn Street,"9 Braeburn Street, Caddens, NSW 2747",905000,"$905,000",house,4,2,2,,,-1.0,,NKVFNY,Property Results - ROPES CROSSING,,,16 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-caddens-136314026,Caddens,NSW,2747,34 Bundle Street,"34 Bundle Street, Caddens, NSW 2747",932000,"$932,000",house,4,2,2,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,09 Jun 2021,house,,-1.0
