badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-cambridge+gardens-119466551,Cambridge Gardens,NSW,2747,,,,Contact agent,residential-other,0,1,0,,,652.0,m²,OMALKJ,Educated Property - Penrith,,,22 Jul 2015,house,,652.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-141743552,Cambridge Gardens,NSW,2747,6 Summerfield Circuit,"6 Summerfield Circuit, Cambridge Gardens, NSW 2747",855000,"$855,000",house,3,1,2,,,654.0,m²,JIAPEN,Jim Aitken + Partners - Penrith,,,12 Apr 2023,house,,654.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-140116459,Cambridge Gardens,NSW,2747,9 Lewis Road,"9 Lewis Road, Cambridge Gardens, NSW 2747",810000,"$810,000",house,3,2,1,,,558.0,m²,KBSPXQ,Merrick Property Group - EMU HEIGHTS,,,07 Mar 2023,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-141154108,Cambridge Gardens,NSW,2747,110 Grange Crescent,"110 Grange Crescent, Cambridge Gardens, NSW 2747",848000,"$848,000",house,3,1,4,,,674.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,24 Jan 2023,house,,674.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-141010980,Cambridge Gardens,NSW,2747,13 Cleeve Place,"13 Cleeve Place, Cambridge Gardens, NSW 2747",750000,"$750,000",house,3,1,3,,,651.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,16 Jan 2023,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-140475315,Cambridge Gardens,NSW,2747,43 Newham Drive,"43 Newham Drive, Cambridge Gardens, NSW 2747",799000,"$799,000",house,3,1,3,,,557.0,m²,XRWPEN,Ray White - Nepean Group,,,03 Nov 2022,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-140213939,Cambridge Gardens,NSW,2747,10 Huntingdon Parade,"10 Huntingdon Parade, Cambridge Gardens, NSW 2747",800000,"$800,000",house,3,1,2,,,652.4,m²,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,31 Oct 2022,house,,652.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-140448127,Cambridge Gardens,NSW,2747,40 Trinity Drive,"40 Trinity Drive, Cambridge Gardens, NSW 2747",735000,"$735,000",house,3,1,3,,,659.0,m²,XRWPEN,Ray White - Nepean Group,,,28 Oct 2022,house,,659.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-140452323,Cambridge Gardens,NSW,2747,6 Cleeve Place,"6 Cleeve Place, Cambridge Gardens, NSW 2747",725000,"$725,000",house,3,1,1,,,652.0,m²,XRWPEN,Ray White - Nepean Group,,,26 Oct 2022,house,,652.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cambridge+gardens-140301423,Cambridge Gardens,NSW,2747,17 Selwyn Avenue,"17 Selwyn Avenue, Cambridge Gardens, NSW 2747",715000,"$715,000",house,3,1,4,,,-1.0,,IEHKYJ,Agent4U Realty Group - Penrith,,,11 Oct 2022,house,,-1.0
