badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-104156199,Camden Park,NSW,2570,,,,Contact agent,house,0,1,0,,,729.0,m²,,,,,17 Sep 2009,house,,729.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-140418207,Camden Park,NSW,2570,16 Casson Common,"16 Casson Common, Camden Park, NSW 2570",1050000,"$1,050,000",house,3,2,2,,,492.5,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,10 Oct 2022,house,,492.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-140137235,Camden Park,NSW,2570,313 Remembrance Driveway,"313 Remembrance Driveway, Camden Park, NSW 2570",1100000,"$1,100,000",house,3,2,2,,,1012.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,13 Sep 2022,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136494866,Camden Park,NSW,2570,16 Casson Common,"16 Casson Common, Camden Park, NSW 2570",905000,"$905,000",house,3,2,2,,,493.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,04 Jul 2021,house,,493.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-131877518,Camden Park,NSW,2570,8 The Walk,"8 The Walk, Camden Park, NSW 2570",680000,"$680,000",house,3,2,1,,,-1.0,,WEHVXR,Premiere Estate Agents,,,10 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-131122830,Camden Park,NSW,2570,6 The Walk,"6 The Walk, Camden Park, NSW 2570",655000,"$655,000",house,3,2,1,,,-1.0,,COYNAR,Combined Real Estate - Camden,,,27 May 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-129234718,Camden Park,NSW,2570,8A Park Way,"8A Park Way, Camden Park, NSW 2570",655000,"$655,000",house,3,2,1,,,320.7,m²,AYSHJN,First National Real Estate Collective - Narellan,,,06 Feb 2019,house,,320.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-129650026,Camden Park,NSW,2570,22 The Walk,"22 The Walk, Camden Park, NSW 2570",710000,"$710,000",house,3,2,1,,,320.0,m²,COYNAR,Combined Real Estate - Camden,,,26 Oct 2018,house,,320.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-127749494,Camden Park,NSW,2570,48 Park Way,"48 Park Way, Camden Park, NSW 2570",820000,"$820,000",house,3,2,2,,,472.0,m²,COYNAR,Combined Real Estate - Camden,,,06 Mar 2018,house,,472.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-125949242,Camden Park,NSW,2570,6a Park Way,"6a Park Way, Camden Park, NSW 2570",680000,"$680,000",house,3,2,1,,,300.0,m²,IEERYA,McLaren Real Estate - Narellan,,,26 Jul 2017,house,,300.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-122671838,Camden Park,NSW,2570,6 Casson Common,"6 Casson Common, Camden Park, NSW 2570",845000,"$845,000",house,3,2,2,,,470.0,m²,IEERYA,McLaren Real Estate - Narellan,,,11 Jul 2016,house,,470.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-122320594,Camden Park,NSW,2570,14 The Walk,"14 The Walk, Camden Park, NSW 2570",650000,"$650,000",house,3,2,1,,,321.0,m²,COYNAR,Combined Real Estate - Camden,,,12 Apr 2016,house,,321.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-121853578,Camden Park,NSW,2570,327 Remembrance Drive,"327 Remembrance Drive, Camden Park, NSW 2570",670000,"$670,000",house,3,2,3,,,1012.0,m²,,,,,21 Feb 2016,house,,1012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-121304530,Camden Park,NSW,2570,26 Casson Common,"26 Casson Common, Camden Park, NSW 2570",715000,"$715,000",house,3,2,2,,,497.0,m²,COYNAR,Combined Real Estate - Camden,,,24 Nov 2015,house,,497.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-120331961,Camden Park,NSW,2570,7 Riding Lane,"7 Riding Lane, Camden Park, NSW 2570",730000,"$730,000",house,3,2,2,,,475.09,m²,AYSHJN,First National Real Estate Collective - Narellan,,,01 Sep 2015,house,,475.09
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-117077707,Camden Park,NSW,2570,6 The Walk,"6 The Walk, Camden Park, NSW 2570",512500,"$512,500",house,3,2,1,,,320.0,m²,COYNAR,Combined Real Estate - Camden,,,02 Jun 2014,house,,320.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-113654043,Camden Park,NSW,2570,26 Casson Common,"26 Casson Common, Camden Park, NSW 2570",540000,"$540,000",house,3,2,2,,,-1.0,,COYNAR,Combined Real Estate - Camden,,,06 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-111622787,Camden Park,NSW,2570,8 The Walk,"8 The Walk, Camden Park, NSW 2570",435000,"$435,000",house,3,2,1,,,-1.0,,COYNAR,Combined Real Estate - Camden,,,05 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-111282847,Camden Park,NSW,2570,16 Casson Common,"16 Casson Common, Camden Park, NSW 2570",465000,"$465,000",house,3,2,2,,,492.0,m²,XCENAR,Gilbert and Younan - CAMDEN,,,28 Sep 2012,house,,492.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-107265962,Camden Park,NSW,2570,8 Casson Common Avenue,"8 Casson Common Avenue, Camden Park, NSW 2570",,Contact agent,house,3,2,2,,,477.0,m²,COYNAR,Combined Real Estate - Camden,,,20 Jun 2011,house,,477.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-105753684,Camden Park,NSW,2570,323 Remembrance Dr,"323 Remembrance Dr, Camden Park, NSW 2570",,Contact agent,house,3,1,1,,,973.0,m²,COYNAR,Combined Real Estate - Camden,,,03 Jul 2009,house,,973.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-107404175,Camden Park,NSW,2570,341 Remembrance Drive,"341 Remembrance Drive, Camden Park, NSW 2570",,Contact agent,house,3,2,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136950778,Camden Park,NSW,2570,3 Bridgewater Boulevard,"3 Bridgewater Boulevard, Camden Park, NSW 2570",1075000,"$1,075,000",house,3,2,2,,,863.0,m²,IEERYA,McLaren Real Estate - Narellan,,,02 Oct 2021,house,,863.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-118859507,Camden Park,NSW,2570,8 The Walk,"8 The Walk, Camden Park, NSW 2570",525000,"$525,000",house,3,2,1,,,-1.0,,AYSHJN,First National Real Estate Collective - Narellan,,,14 Jan 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-141564120,Camden Park,NSW,2570,5 Tullet Street,"5 Tullet Street, Camden Park, NSW 2570",1600000,"$1,600,000",house,4,2,3,,,712.4,m²,XRWXEC,Ray White - Picton,,,04 May 2023,house,,712.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-141195808,Camden Park,NSW,2570,28 Tobin Avenue,"28 Tobin Avenue, Camden Park, NSW 2570",1245000,"$1,245,000",house,4,2,2,,,736.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,18 Jan 2023,house,,736.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-140873900,Camden Park,NSW,2570,7 Dunk Place,"7 Dunk Place, Camden Park, NSW 2570",1650000,"$1,650,000",house,4,2,2,,,959.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,22 Nov 2022,house,,959.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-140337691,Camden Park,NSW,2570,117 Macarthur Circuit,"117 Macarthur Circuit, Camden Park, NSW 2570",1375000,"$1,375,000",house,4,2,2,,,833.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,12 Sep 2022,house,,833.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-138737915,Camden Park,NSW,2570,343 Remembrance Drive,"343 Remembrance Drive, Camden Park, NSW 2570",1020000,"$1,020,000",house,4,1,2,,,-1.0,,TLQHKK,Exclusive Estate Agents - PICTON,,,05 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-139482563,Camden Park,NSW,2570,3 Mcmahon Parade,"3 Mcmahon Parade, Camden Park, NSW 2570",1385000,"$1,385,000",house,4,2,2,,,761.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,15 Jun 2022,house,,761.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-139503831,Camden Park,NSW,2570,5 MacLean Lane,"5 MacLean Lane, Camden Park, NSW 2570",1040000,"$1,040,000",house,4,2,2,,,523.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,07 Jun 2022,house,,523.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-139232039,Camden Park,NSW,2570,8 Reedy Place,"8 Reedy Place, Camden Park, NSW 2570",1350000,"$1,350,000",house,4,2,2,,,713.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,30 May 2022,house,,713.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-139088063,Camden Park,NSW,2570,2 The Walk,"2 The Walk, Camden Park, NSW 2570",990000,"$990,000",house,4,2,1,,,450.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,11 May 2022,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-138816347,Camden Park,NSW,2570,24 The Walk,"24 The Walk, Camden Park, NSW 2570",1342500,"$1,342,500",house,4,2,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,25 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-138513787,Camden Park,NSW,2570,74 MacArthur Circuit,"74 MacArthur Circuit, Camden Park, NSW 2570",1800000,"$1,800,000",house,4,2,3,,,700.0,m²,IEERYA,McLaren Real Estate - Narellan,,,22 Mar 2022,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-138330406,Camden Park,NSW,2570,14 Hillier Close,"14 Hillier Close, Camden Park, NSW 2570",1735000,"$1,735,000",house,4,4,2,,,1025.0,m²,TVLSRQ,Ray White - Macarthur Group,,,07 Feb 2022,house,,1025.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-138278922,Camden Park,NSW,2570,73 Macarthur Circuit,"73 Macarthur Circuit, Camden Park, NSW 2570",1340000,"$1,340,000",house,4,2,2,,,772.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,02 Feb 2022,house,,772.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-137998358,Camden Park,NSW,2570,52 Jackey Drive,"52 Jackey Drive, Camden Park, NSW 2570",2900000,"$2,900,000",house,4,3,10,,,4010.0,m²,WPLQEB,The Realty Group - Macarthur,,,15 Jan 2022,house,,4010.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-137972686,Camden Park,NSW,2570,30 Macarthur Circuit,"30 Macarthur Circuit, Camden Park, NSW 2570",1175000,"$1,175,000",house,4,2,2,,,667.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,29 Nov 2021,house,,667.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-137079838,Camden Park,NSW,2570,29 Young Avenue,"29 Young Avenue, Camden Park, NSW 2570",1295000,"$1,295,000",house,4,2,2,,,510.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,12 Nov 2021,house,,510.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-137737958,Camden Park,NSW,2570,147 Macarthur Circuit,"147 Macarthur Circuit, Camden Park, NSW 2570",1260000,"$1,260,000",house,4,2,2,,,749.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,08 Nov 2021,house,,749.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-137730886,Camden Park,NSW,2570,18 Harris Street,"18 Harris Street, Camden Park, NSW 2570",1110000,"$1,110,000",house,4,2,2,,,488.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,08 Nov 2021,house,,488.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-137540202,Camden Park,NSW,2570,4 Ruwald place,"4 Ruwald place, Camden Park, NSW 2570",1255000,"$1,255,000",house,4,2,2,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,01 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-137297330,Camden Park,NSW,2570,9 Bridgewater Boulevard,"9 Bridgewater Boulevard, Camden Park, NSW 2570",1190000,"$1,190,000",house,4,2,2,,,705.0,m²,ZPCAAN,Inglis Property Macarthur - Camden,,,11 Oct 2021,house,,705.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136109774,Camden Park,NSW,2570,7 Harris Street,"7 Harris Street, Camden Park, NSW 2570",1055000,"$1,055,000",house,4,2,2,,,702.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,22 Jun 2021,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136396878,Camden Park,NSW,2570,16 Robertson Way,"16 Robertson Way, Camden Park, NSW 2570",1247000,"$1,247,000",house,4,2,2,,,1432.0,m²,BDLNNK,The Property Co. Group - CARINGBAH,,,19 Jun 2021,house,,1432.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136148678,Camden Park,NSW,2570,1 Tobin Avenue,"1 Tobin Avenue, Camden Park, NSW 2570",1500000,"$1,500,000",house,4,2,2,950,m²,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,09 Jun 2021,house,950,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136291154,Camden Park,NSW,2570,333 Remembrance Driveway,"333 Remembrance Driveway, Camden Park, NSW 2570",1300000,"$1,300,000",house,4,2,3,,,866.0,m²,XCENAR,Gilbert and Younan - CAMDEN,,,01 Jun 2021,house,,866.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136318386,Camden Park,NSW,2570,3 Boag Court,"3 Boag Court, Camden Park, NSW 2570",1057000,"$1,057,000",house,4,2,2,,,726.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,01 Jun 2021,house,,726.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-136364690,Camden Park,NSW,2570,5 Riding Lane,"5 Riding Lane, Camden Park, NSW 2570",1110000,"$1,110,000",house,4,2,2,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,26 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camden+park-135931350,Camden Park,NSW,2570,8 Lock Street,"8 Lock Street, Camden Park, NSW 2570",966000,"$966,000",house,4,2,2,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,27 Apr 2021,house,,-1.0
