badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-cammeray-119415611,Cammeray,NSW,2062,88A Amherst Street,"88A Amherst Street, Cammeray, NSW 2062",1512000,"$1,512,000",house,1,2,1,,,-1.0,,XRWNEU,The Agency - North,,,18 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cammeray-141657928,Cammeray,NSW,2062,22a Arkland Street,"22a Arkland Street, Cammeray, NSW 2062",2440000,"$2,440,000",house,2,1,0,,,-1.0,,ABCMOS,Ray White - Lower North Shore Group,,,28 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cammeray-141260352,Cammeray,NSW,2062,17 Cairo Street,"17 Cairo Street, Cammeray, NSW 2062",2300000,"$2,300,000",house,2,1,0,,,222.0,m²,LQEJRJ,Belle Property - Neutral Bay ,,,06 Feb 2023,house,,222.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cammeray-130494962,Cammeray,NSW,2062,1/59 Pine Street,"1/59 Pine Street, Cammeray, NSW 2062",1150000,"$1,150,000",duplex-semi-detached,2,1,0,,,-1.0,,BXVVPN,Garwoods Estate Agents - CAMMERAY,,,27 Feb 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cammeray-127862522,Cammeray,NSW,2062,18 Palmer Street,"18 Palmer Street, Cammeray, NSW 2062",2070000,"$2,070,000",house,2,1,0,,,-1.0,,BXVVPN,Garwoods Estate Agents - CAMMERAY,,,14 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cammeray-127858162,Cammeray,NSW,2062,1/4 Fall Street,"1/4 Fall Street, Cammeray, NSW 2062",1295000,"$1,295,000",duplex-semi-detached,2,1,1,,,-1.0,,LQEJRJ,Belle Property - Neutral Bay ,,,13 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cammeray-127740922,Cammeray,NSW,2062,5 Bridgeview Avenue,"5 Bridgeview Avenue, Cammeray, NSW 2062",1950000,"$1,950,000",house,2,1,0,,,290.0,m²,LQEJRJ,Belle Property - Neutral Bay ,,,24 Mar 2018,house,,290.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cammeray-127402130,Cammeray,NSW,2062,241 West Street,"241 West Street, Cammeray, NSW 2062",1805000,"$1,805,000",duplex-semi-detached,2,1,0,,,215.0,m²,BXVVPN,Garwoods Estate Agents - CAMMERAY,,,09 Feb 2018,house,,215.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cammeray-126716914,Cammeray,NSW,2062,50 Cammeray Road,"50 Cammeray Road, Cammeray, NSW 2062",2000000,"$2,000,000",house,2,1,2,,,-1.0,,WHBECG,Stone McMahons Point - MCMAHONS POINT,,,07 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cammeray-126144330,Cammeray,NSW,2062,59 Colin Street,"59 Colin Street, Cammeray, NSW 2062",2410000,"$2,410,000",house,2,2,1,,,-1.0,,XMHMOS,DiJones - Neutral Bay  ,,,02 Sep 2017,house,,-1.0
