badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-123127062,Campbelltown,NSW,2560,20 High Street,"20 High Street, Campbelltown, NSW 2560",600000,"$600,000",house,0,3,1,,,860.0,m²,ZTTXAM,Macarthur United Realty - Campbelltown,,,24 Sep 2016,house,,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-116921831,Campbelltown,NSW,2560,117 Lindesay Street,"117 Lindesay Street, Campbelltown, NSW 2560",,Contact agent,house,0,4,2,,,632.0,m²,ABCCAQ,Professionals - Campbelltown,,,23 Jul 2014,house,,632.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-campbelltown-111960399,Campbelltown,NSW,2560,7/91 Waminda Avenue,"7/91 Waminda Avenue, Campbelltown, NSW 2560",,Contact agent,warehouse,0,1,0,,,-1.0,,ABCCAQ,Professionals - Campbelltown,,,16 Jan 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-campbelltown-105891917,Campbelltown,NSW,2560,,,205000,"Range: $175,000 - $205,000",residential-other,0,1,0,845,m²,-1.0,,ABCCAQ,Professionals - Campbelltown,,,29 Jun 2010,house,845,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-140683079,Campbelltown,NSW,2560,34/110 Kellicar Road,"34/110 Kellicar Road, Campbelltown, NSW 2560",390000,"$390,000",house,1,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,13 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-126930814,Campbelltown,NSW,2560,2/40 Santana Road,"2/40 Santana Road, Campbelltown, NSW 2560",430000,"$430,000",house,1,1,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,20 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-119790043,Campbelltown,NSW,2560,62/15-19 Warby Street,"62/15-19 Warby Street, Campbelltown, NSW 2560",310000,"$310,000",house,1,1,1,,,-1.0,,XRWCAM,Ray White - Macarthur Group,,,01 Jul 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-117181559,Campbelltown,NSW,2560,11/157-158 Dumaresq Street,"11/157-158 Dumaresq Street, Campbelltown, NSW 2560",299000,"$299,000",house,1,1,1,,,-1.0,,KYNMXR,@realty - National Head Office Australia,,,06 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-117236799,Campbelltown,NSW,2560,43/31-35 Chamberlain Street,"43/31-35 Chamberlain Street, Campbelltown, NSW 2560",275000,"$275,000",house,1,1,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,01 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-campbelltown-112258535,Campbelltown,NSW,2560,30/17 Parc Guell Drive,"30/17 Parc Guell Drive, Campbelltown, NSW 2560",329000,"$329,000",terrace,1,1,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,28 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-123974986,Campbelltown,NSW,2560,3/3 Istana Street,"3/3 Istana Street, Campbelltown, NSW 2560",422600,"$422,600",house,1,1,1,,,-1.0,,YWSDFD,LJ Hooker - Camden | Bringelly,,,21 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-campbelltown-123853382,Campbelltown,NSW,2560,,,410000,"Range: $350,000 - $410,000",house,1,1,1,,,-1.0,,SBEIZE,Red Earth Management Pty Ltd,,,30 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-campbelltown-122878890,Campbelltown,NSW,2560,10 Warby Street,"10 Warby Street, Campbelltown, NSW 2560",,Contact agent,residential-other,1,1,0,,,834.7,m²,XIYWHQ,Stone Real Estate Macarthur,,,14 Jul 2016,house,,834.7
