badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-134205222,Camperdown,NSW,2050,7 Northwood Street,"7 Northwood Street, Camperdown, NSW 2050",1710000,"$1,710,000",house,0,1,1,,,164.4,m²,XFNSUM,Harris Tripp - Summer Hill,,,12 Sep 2020,house,,164.4
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-camperdown-137685462,Camperdown,NSW,2050,7/156-158 Parramatta Road,"7/156-158 Parramatta Road, Camperdown, NSW 2050",835000,"$835,000",terrace,1,1,1,,,-1.0,,TUBCGH,Pyrmont City First National Realestate - PYRMONT,,,04 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-136055950,Camperdown,NSW,2050,26 Eton Street,"26 Eton Street, Camperdown, NSW 2050",1620000,"$1,620,000",house,1,1,0,,,-1.0,,XLJNEX,LJ Hooker - Newtown Group,,,15 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-131799698,Camperdown,NSW,2050,48/43-57 Mallett Street,"48/43-57 Mallett Street, Camperdown, NSW 2050",667000,"$667,000",house,1,1,1,50,m²,-1.0,,CCYSQI,BresicWhitney -  Inner West,,,14 Sep 2019,house,50,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-122334938,Camperdown,NSW,2050,169 Church Street,"169 Church Street, Camperdown, NSW 2050",878000,"$878,000",house,1,1,0,,,-1.0,,XRHNEX,Raine & Horne - Newtown,,,19 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-141276180,Camperdown,NSW,2050,209/8 Gantry Lane,"209/8 Gantry Lane, Camperdown, NSW 2050",805000,"$805,000",house,1,1,1,,,-1.0,,XRWANN,Ray White - Annandale,,,12 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-136326578,Camperdown,NSW,2050,26 Eton Street,"26 Eton Street, Camperdown, NSW 2050",1620000,"$1,620,000",house,1,1,0,,,127.0,m²,XLJBAM,LJ Hooker - Ballina,,,15 May 2021,house,,127.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-132507238,Camperdown,NSW,2050,5101/8 Alexandra Drive,"5101/8 Alexandra Drive, Camperdown, NSW 2050",585000,"$585,000",house,1,1,0,62,m²,-1.0,,HBJBAL,Harris Partners Real Estate - Balmain,,,21 May 2020,house,62,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-133448438,Camperdown,NSW,2050,3 Barr Street,"3 Barr Street, Camperdown, NSW 2050",660000,"$660,000",house,1,1,0,,,-1.0,,HBJBAL,Harris Partners Real Estate - Balmain,,,09 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-131949198,Camperdown,NSW,2050,169  Church Street,"169  Church Street, Camperdown, NSW 2050",1080000,"$1,080,000",house,1,1,0,,,-1.0,,EZXSQS,EE Real Estate - Alexandria,,,20 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-camperdown-126417618,Camperdown,NSW,2050,42 Church St,"42 Church St, Camperdown, NSW 2050",849000,"$849,000",terrace,1,1,0,,,109.0,m²,,,,,22 Sep 2017,house,,109.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-camperdown-126143334,Camperdown,NSW,2050,40 Church Street,"40 Church Street, Camperdown, NSW 2050",820000,"$820,000",terrace,1,1,0,,,89.0,m²,,,,,06 Sep 2017,house,,89.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-125798550,Camperdown,NSW,2050,16/182-184 Salisbury Road,"16/182-184 Salisbury Road, Camperdown, NSW 2050",860000,"$860,000",house,1,1,1,,,-1.0,,DYJMLN,Traversgray Realestate - Erskineville,,,29 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-camperdown-125439134,Camperdown,NSW,2050,38 Church Street,"38 Church Street, Camperdown, NSW 2050",800000,"$800,000",terrace,1,1,0,,,-1.0,,FONMNR,Laing+Simmons - Glebe,,,25 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-119734063,Camperdown,NSW,2050,27 Australia Street,"27 Australia Street, Camperdown, NSW 2050",2385000,"$2,385,000",house,1,1,3,,,443.0,m²,CCYSQI,BresicWhitney -  Inner West,,,07 May 2015,house,,443.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-camperdown-118923923,Camperdown,NSW,2050,2202/4 Sterling Circuit,"2202/4 Sterling Circuit, Camperdown, NSW 2050",605000,"$605,000",residential-other,1,1,0,,,-1.0,,,,,,24 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-camperdown-117678335,Camperdown,NSW,2050,1506/2 Sterling Circuit,"1506/2 Sterling Circuit, Camperdown, NSW 2050",660000,"$660,000",house,1,1,1,,,-1.0,,ABCSYT,Greencliff Agency - Sydney,,,22 Aug 2014,house,,-1.0
