badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-cams+wharf-139463575,Cams Wharf,NSW,2281,505  Currawong Circuit,"505  Currawong Circuit, Cams Wharf, NSW 2281",565000,"$565,000",terrace,2,2,2,,,-1.0,,DBXKCD,One Agency - Eastlakes,,,20 Jan 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-140404571,Cams Wharf,NSW,2281,416 Currawong Circuit,"416 Currawong Circuit, Cams Wharf, NSW 2281",395000,"$395,000",house,2,2,1,,,-1.0,,VMAQQM,Ray White - East Lake Macquarie ,,,02 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cams+wharf-139803683,Cams Wharf,NSW,2281,75 Kingfisher Circuit,"75 Kingfisher Circuit, Cams Wharf, NSW 2281",710000,"$710,000",duplex-semi-detached,2,2,1,,,-1.0,,QWEIBW,SOLD Real Estate - CAVES BEACH,,,30 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-cams+wharf-139467387,Cams Wharf,NSW,2281,442  Currawong Circuit,"442  Currawong Circuit, Cams Wharf, NSW 2281",645000,"$645,000",terrace,2,2,1,,,-1.0,,DBXKCD,One Agency - Eastlakes,,,30 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-cams+wharf-138635263,Cams Wharf,NSW,2281,434 Currawong Circuit,"434 Currawong Circuit, Cams Wharf, NSW 2281",540000,"$540,000",terrace,2,2,1,,,-1.0,,DBXKCD,One Agency - Eastlakes,,,19 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-138335702,Cams Wharf,NSW,2281,24 Kingfisher Circuit,"24 Kingfisher Circuit, Cams Wharf, NSW 2281",620000,"$620,000",house,2,2,1,,,177.9,m²,VMAQQM,Ray White - East Lake Macquarie ,,,01 Feb 2022,house,,177.9
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-cams+wharf-136352154,Cams Wharf,NSW,2281,409 Currawong Circuit,"409 Currawong Circuit, Cams Wharf, NSW 2281",415000,"$415,000",terrace,2,2,1,,,-1.0,,DBXKCD,One Agency - Eastlakes,,,02 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-139330319,Cams Wharf,NSW,2281,4 Wild Duck Drive,"4 Wild Duck Drive, Cams Wharf, NSW 2281",730000,"$730,000",house,2,2,1,,,179.8,m²,CQQWYO,Ray White - Coast Edge,,,30 Aug 2022,house,,179.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-137458902,Cams Wharf,NSW,2281,405 Currawong Circuit,"405 Currawong Circuit, Cams Wharf, NSW 2281",450000,"$450,000",house,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,07 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-cams+wharf-135285326,Cams Wharf,NSW,2281,504 Currawong Circuit,"504 Currawong Circuit, Cams Wharf, NSW 2281",385000,"$385,000",terrace,2,2,2,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,16 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cams+wharf-135272470,Cams Wharf,NSW,2281,20 Kingfisher Circuit,"20 Kingfisher Circuit, Cams Wharf, NSW 2281",460000,"$460,000",duplex-semi-detached,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,05 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-cams+wharf-135283382,Cams Wharf,NSW,2281,421 Currawong Circuit,"421 Currawong Circuit, Cams Wharf, NSW 2281",340000,"$340,000",terrace,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,05 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cams+wharf-134443418,Cams Wharf,NSW,2281,10 Wild Duck Drive,"10 Wild Duck Drive, Cams Wharf, NSW 2281",500000,"$500,000",duplex-semi-detached,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,14 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cams+wharf-134727914,Cams Wharf,NSW,2281,80 Kingfisher Circuit,"80 Kingfisher Circuit, Cams Wharf, NSW 2281",510000,"$510,000",duplex-semi-detached,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,10 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-134077642,Cams Wharf,NSW,2281,6 Wild Duck Drive,"6 Wild Duck Drive, Cams Wharf, NSW 2281",450000,"$450,000",house,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,23 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cams+wharf-132846694,Cams Wharf,NSW,2281,3 Wild Duck Drive,"3 Wild Duck Drive, Cams Wharf, NSW 2281",425000,"$425,000",duplex-semi-detached,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,08 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cams+wharf-132625590,Cams Wharf,NSW,2281,43 Kingfisher Circuit,"43 Kingfisher Circuit, Cams Wharf, NSW 2281",345000,"$345,000",duplex-semi-detached,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,30 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cams+wharf-132685154,Cams Wharf,NSW,2281,"79 Kingfisher Circuit, Rafferty's Resort","79 Kingfisher Circuit, Rafferty's Resort, Cams Wharf, NSW 2281",450000,"$450,000",duplex-semi-detached,2,2,1,,,-1.0,,GKPMPW,Ray White Newcastle Lake Macquarie - NEWCASTLE,,,13 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-129247906,Cams Wharf,NSW,2281,405 Currawong Circuit,"405 Currawong Circuit, Cams Wharf, NSW 2281",320000,"$320,000",house,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,03 Dec 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-128217150,Cams Wharf,NSW,2281,427 Currawong Circuit,"427 Currawong Circuit, Cams Wharf, NSW 2281",345000,"$345,000",house,2,2,1,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,10 Oct 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cams+wharf-127238118,Cams Wharf,NSW,2281,504 Currawong Circuit,"504 Currawong Circuit, Cams Wharf, NSW 2281",330000,"$330,000",house,2,2,2,,,-1.0,,DOWSWA,One Agency - Eastlakes,,,16 May 2018,house,,-1.0
