badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-canley+heights-126614822,Canley Heights,NSW,2166,313A Canley Vale Road,"313A Canley Vale Road, Canley Heights, NSW 2166",865000,"$865,000",duplex-semi-detached,0,3,1,,,232.0,m²,SQTTAS,Global RE - LIVERPOOL,,,06 Oct 2017,house,,232.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-111425567,Canley Heights,NSW,2166,,,373500,"$373,500",house,0,3,1,,,-1.0,,,,,,30 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-118428567,Canley Heights,NSW,2166,45B Wyong St,"45B Wyong St, Canley Heights, NSW 2166",390000,"$390,000",house,1,1,1,,,-1.0,,,,,,04 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-130244750,Canley Heights,NSW,2166,45B Wyong Street,"45B Wyong Street, Canley Heights, NSW 2166",435000,"$435,000",house,1,1,0,,,225.0,m²,PGGREK,Ray White - Canley Heights,,,19 Feb 2019,house,,225.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-106632701,Canley Heights,NSW,2166,153 Canley Vale Rd,"153 Canley Vale Rd, Canley Heights, NSW 2166",,Contact agent,house,1,1,0,,,-1.0,,XRHCAF,Raine & Horne - Cabramatta,,,12 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-140124415,Canley Heights,NSW,2166,84 Derria Street,"84 Derria Street, Canley Heights, NSW 2166",990000,"$990,000",house,2,1,1,,,443.0,m²,SNOAFD,Raine & Horne Hoxton Park | Green Valley,,,26 Sep 2022,house,,443.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-128972186,Canley Heights,NSW,2166,106  Torrens Street,"106  Torrens Street, Canley Heights, NSW 2166",1250000,"$1,250,000",house,2,1,2,,,674.0,m²,MVRODC,Andrew Partners Real Estate - FAIRFIELD,,,08 Sep 2018,house,,674.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-128367822,Canley Heights,NSW,2166,98 Torrens Street,"98 Torrens Street, Canley Heights, NSW 2166",843000,"$843,000",house,2,1,1,,,442.6,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,12 Jun 2018,house,,442.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-123684742,Canley Heights,NSW,2166,7 Coolibar Street,"7 Coolibar Street, Canley Heights, NSW 2166",830000,"$830,000",house,2,1,1,,,442.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,15 Oct 2016,house,,442.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-140402579,Canley Heights,NSW,2166,21 Barlow Crescent,"21 Barlow Crescent, Canley Heights, NSW 2166",900000,"$900,000",house,2,1,1,,,588.0,m²,XRHCAF,Raine & Horne - Cabramatta,,,15 Oct 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-138646439,Canley Heights,NSW,2166,84 Arbutus St,"84 Arbutus St, Canley Heights, NSW 2166",1175000,"$1,175,000",house,2,1,1,,,-1.0,,VUDYDN,Goldstar Realty & Commercial - Fairfield,,,06 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-135823042,Canley Heights,NSW,2166,207 Canley Vale Road,"207 Canley Vale Road, Canley Heights, NSW 2166",2850000,"$2,850,000",house,2,1,1,122,m²,208.0,m²,XRHCAF,Raine & Horne - Cabramatta,,,24 Apr 2021,house,122,208.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-135763998,Canley Heights,NSW,2166,288 Canley Vale Road,"288 Canley Vale Road, Canley Heights, NSW 2166",770000,"$770,000",house,2,1,0,,,487.0,m²,GDBRQO,Richardson & Wrench Cabramatta - CABRAMATTA,,,13 Mar 2021,house,,487.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-canley+heights-131844242,Canley Heights,NSW,2166,41 Wyong Street,"41 Wyong Street, Canley Heights, NSW 2166",800000,"$800,000",house,2,1,1,,,443.0,m²,SQTTAS,Global RE - LIVERPOOL,,,17 Sep 2019,house,,443.0
