badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-135939926,Carss Park,NSW,2221,28 Allawah Avenue,"28 Allawah Avenue, Carss Park, NSW 2221",2306000,"$2,306,000",house,2,2,1,,,645.0,m²,OPAIDV,Laing+Simmons - St George   ,,,01 May 2021,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-126946906,Carss Park,NSW,2221,71 Carwar Avenue,"71 Carwar Avenue, Carss Park, NSW 2221",1628000,"$1,628,000",house,2,1,2,,,645.0,m²,XLJSAO,McGrath - Sans Souci,,,09 Dec 2017,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-122702686,Carss Park,NSW,2221,11 Girroma Street,"11 Girroma Street, Carss Park, NSW 2221",1310000,"$1,310,000",house,2,1,1,,,582.0,m²,OPAIDV,Laing+Simmons - St George   ,,,18 Jun 2016,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-114247927,Carss Park,NSW,2221,9 Gnarbo Avenue,"9 Gnarbo Avenue, Carss Park, NSW 2221",895000,"$895,000",house,2,2,1,,,670.0,m²,ARKENS,McGrath - South Hurstville,,,03 Aug 2013,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-139792171,Carss Park,NSW,2221,57 Allawah Avenue,"57 Allawah Avenue, Carss Park, NSW 2221",2480000,"$2,480,000",house,2,1,3,,,803.0,m²,JVRSMT,Luxe Agency by Maurice Maroon,,,30 Aug 2022,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-138667579,Carss Park,NSW,2221,23 Allawah Avenue,"23 Allawah Avenue, Carss Park, NSW 2221",,Contact agent,house,2,1,2,,,-1.0,,OPAIDV,Laing+Simmons - St George   ,,,24 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-136590514,Carss Park,NSW,2221,30 Gnarbo Avenue,"30 Gnarbo Avenue, Carss Park, NSW 2221",2220000,"$2,220,000",house,2,1,2,,,665.0,m²,JVRSMT,Luxe Agency by Maurice Maroon,,,31 Jul 2021,house,,665.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-115052415,Carss Park,NSW,2221,10 Gnarbo Avenue,"10 Gnarbo Avenue, Carss Park, NSW 2221",1170000,"$1,170,000",house,2,1,4,,,-1.0,,DWNPCX,No Agent Property - BRIGHTON EAST,,,01 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-113604567,Carss Park,NSW,2221,3/318 Princes Highway,"3/318 Princes Highway, Carss Park, NSW 2221",515000,"$515,000",house,2,1,2,,,-1.0,,LGCXPP,Raine & Horne - Kogarah,,,17 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-110035449,Carss Park,NSW,2221,17 Allawah Avenue,"17 Allawah Avenue, Carss Park, NSW 2221",850000,"$850,000",house,2,2,1,,,585.0,m²,THNKOG,Belle Property - St George,,,17 Apr 2012,house,,585.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-105933633,Carss Park,NSW,2221,42 Benwerrin Avenue,"42 Benwerrin Avenue, Carss Park, NSW 2221",,Contact agent,house,2,1,0,,,-1.0,,,,,,08 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-105830223,Carss Park,NSW,2221,3 Girroma Street,"3 Girroma Street, Carss Park, NSW 2221",,Contact agent,house,2,2,1,,,588.0,m²,,,,,05 Aug 2009,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-105404623,Carss Park,NSW,2221,56 Gnarbo Avenue,"56 Gnarbo Avenue, Carss Park, NSW 2221",,Contact agent,house,2,1,1,,,-1.0,,QQUIOB,Brookes Partners,,,02 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-carss+park-141281844,Carss Park,NSW,2221,16 Erang Street,"16 Erang Street, Carss Park, NSW 2221",1760000,"$1,760,000",house,3,2,2,,,-1.0,,OPAIDV,Laing+Simmons - St George   ,,,18 Feb 2023,house,,-1.0
