badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-128423614,Castle Cove,NSW,2069,26 Warrawee Avenue,"26 Warrawee Avenue, Castle Cove, NSW 2069",1325000,"$1,325,000",house,1,1,0,,,462.0,m²,ABCCAW,McGrath  - Castle Cove,,,17 Mar 2018,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-132312114,Castle Cove,NSW,2069,77 Deepwater Road,"77 Deepwater Road, Castle Cove, NSW 2069",1935000,"$1,935,000",house,2,1,2,,,860.0,m²,ABCCAW,McGrath  - Castle Cove,,,15 Nov 2019,house,,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-107678536,Castle Cove,NSW,2069,29 Kendall Road,"29 Kendall Road, Castle Cove, NSW 2069",1260000,"$1,260,000",house,2,1,1,,,777.0,m²,ABCCAW,McGrath  - Castle Cove,,,23 Sep 2011,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-107392992,Castle Cove,NSW,2069,11 Warrane Road Roseville Chase,"11 Warrane Road Roseville Chase, Castle Cove, NSW 2069",1215000,"$1,215,000",house,2,1,1,,,739.0,m²,ABCCAW,McGrath  - Castle Cove,,,04 Jun 2011,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-132276862,Castle Cove,NSW,2069,208 Boundary Street,"208 Boundary Street, Castle Cove, NSW 2069",2080000,"$2,080,000",house,2,1,2,,,696.0,m²,ABCCAW,McGrath  - Castle Cove,,,13 Nov 2019,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-107261432,Castle Cove,NSW,2069,195 Deepwater Road,"195 Deepwater Road, Castle Cove, NSW 2069",,Contact agent,house,2,2,1,,,-1.0,,ABCCAW,McGrath  - Castle Cove,,,09 Apr 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-106904463,Castle Cove,NSW,2069,8 Deepwater Road,"8 Deepwater Road, Castle Cove, NSW 2069",1060000,"$1,060,000",house,2,1,2,,,834.0,m²,ABCCAW,McGrath  - Castle Cove,,,29 Oct 2010,house,,834.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-140910580,Castle Cove,NSW,2069,11 Cove Circuit,"11 Cove Circuit, Castle Cove, NSW 2069",3405000,"$3,405,000",house,3,2,1,,,980.0,m²,ABCCAW,McGrath  - Castle Cove,,,08 Dec 2022,house,,980.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-140271087,Castle Cove,NSW,2069,62A Deepwater Road,"62A Deepwater Road, Castle Cove, NSW 2069",3315000,"$3,315,000",house,3,3,2,224,m²,613.0,m²,ABCCAW,McGrath  - Castle Cove,,,22 Sep 2022,house,224,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-139867819,Castle Cove,NSW,2069,5 Mannerim Place,"5 Mannerim Place, Castle Cove, NSW 2069",2750000,"$2,750,000",house,3,2,1,,,-1.0,,ABCCAW,McGrath  - Castle Cove,,,26 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-138347515,Castle Cove,NSW,2069,26 Deepwater Road,"26 Deepwater Road, Castle Cove, NSW 2069",2510000,"$2,510,000",house,3,2,2,,,1195.0,m²,ABCCAW,McGrath  - Castle Cove,,,15 Feb 2022,house,,1195.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-137835670,Castle Cove,NSW,2069,333 Eastern Valley Way,"333 Eastern Valley Way, Castle Cove, NSW 2069",2425000,"$2,425,000",house,3,2,3,,,828.0,m²,ABCCAW,McGrath  - Castle Cove,,,09 Dec 2021,house,,828.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-137662222,Castle Cove,NSW,2069,15 Allambie Road,"15 Allambie Road, Castle Cove, NSW 2069",3465000,"$3,465,000",house,3,2,2,,,702.0,m²,ABCCAW,McGrath  - Castle Cove,,,20 Nov 2021,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-135959850,Castle Cove,NSW,2069,28 Holly Street,"28 Holly Street, Castle Cove, NSW 2069",2980000,"$2,980,000",house,3,2,2,,,784.0,m²,ABCCAW,McGrath  - Castle Cove,,,19 Apr 2021,house,,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-135490014,Castle Cove,NSW,2069,3 Deepwater Road,"3 Deepwater Road, Castle Cove, NSW 2069",2450000,"$2,450,000",house,3,2,1,,,366.5,m²,ABCCAW,McGrath  - Castle Cove,,,13 Mar 2021,house,,366.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-134795854,Castle Cove,NSW,2069,7 Holly Street,"7 Holly Street, Castle Cove, NSW 2069",2340000,"$2,340,000",house,3,2,3,,,651.0,m²,ABCCAW,McGrath  - Castle Cove,,,28 Nov 2020,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-134001150,Castle Cove,NSW,2069,2 Neerim Road,"2 Neerim Road, Castle Cove, NSW 2069",2680000,"$2,680,000",house,3,1,2,,,752.0,m²,ABCCAW,McGrath  - Castle Cove,,,19 Aug 2020,house,,752.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-130267354,Castle Cove,NSW,2069,7 Cammaray Road,"7 Cammaray Road, Castle Cove, NSW 2069",2495000,"$2,495,000",house,3,3,3,,,758.8,m²,ABCCAW,McGrath  - Castle Cove,,,06 Apr 2019,house,,758.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-128871606,Castle Cove,NSW,2069,107 Deepwater Road,"107 Deepwater Road, Castle Cove, NSW 2069",1725000,"$1,725,000",house,3,1,1,,,828.3,m²,ABCCAW,McGrath  - Castle Cove,,,24 Aug 2018,house,,828.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-128529966,Castle Cove,NSW,2069,9 Deepwater Road,"9 Deepwater Road, Castle Cove, NSW 2069",1765000,"$1,765,000",house,3,1,1,,,834.7,m²,ABCCAW,McGrath  - Castle Cove,,,30 Jun 2018,house,,834.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-128267446,Castle Cove,NSW,2069,13 Deepwater Road,"13 Deepwater Road, Castle Cove, NSW 2069",1805000,"$1,805,000",house,3,1,1,,,777.0,m²,ABCCAW,McGrath  - Castle Cove,,,26 May 2018,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-127856606,Castle Cove,NSW,2069,19 Amaroo Avenue,"19 Amaroo Avenue, Castle Cove, NSW 2069",3380000,"$3,380,000",house,3,3,2,,,2163.0,m²,ABCCAW,McGrath  - Castle Cove,,,07 Apr 2018,house,,2163.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-126165298,Castle Cove,NSW,2069,42 Headland Road,"42 Headland Road, Castle Cove, NSW 2069",3060000,"$3,060,000",house,3,2,2,,,840.0,m²,ABCCAW,McGrath  - Castle Cove,,,04 Dec 2017,house,,840.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-126775878,Castle Cove,NSW,2069,23 Headland Road,"23 Headland Road, Castle Cove, NSW 2069",1810000,"$1,810,000",house,3,1,2,,,860.0,m²,ABCCAW,McGrath  - Castle Cove,,,18 Nov 2017,house,,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+cove-126237306,Castle Cove,NSW,2069,37 Deepwater Road,"37 Deepwater Road, Castle Cove, NSW 2069",2310000,"$2,310,000",house,3,1,2,,,828.0,m²,ABCCAW,McGrath  - Castle Cove,,,16 Sep 2017,house,,828.0
