badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-118612311,Castle Hill,NSW,2154,,,825000,"$825,000",house,0,1,0,,,1181.0,m²,PZQANP,Rance Property - Kenthurst,,,19 Jan 2015,house,,1181.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-castle+hill-105918666,Castle Hill,NSW,2154,173 David Road,"173 David Road, Castle Hill, NSW 2154",505000,"Range: $430,000 - $505,000",residential-other,0,1,0,,,-1.0,,,,,,01 Feb 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-106379401,Castle Hill,NSW,2154,47-47A Showground Rd,"47-47A Showground Rd, Castle Hill, NSW 2154",,Contact agent,house,0,1,0,,,1500.0,m²,FGIVJJ,Zarzar Property - Rouse  Hill,,,06 Sep 2010,house,,1500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-139404667,Castle Hill,NSW,2154,75 Old Castle Hill Road,"75 Old Castle Hill Road, Castle Hill, NSW 2154",2380000,"$2,380,000",house,1,1,1,,,-1.0,,TTXIGA,Murdoch Lee Estate Agents | Cherrybrook - Castle Hill,,,08 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-136010974,Castle Hill,NSW,2154,6-7 Wilton Close,"6-7 Wilton Close, Castle Hill, NSW 2154",3400000,"$3,400,000",house,1,1,0,,,3200.0,m²,APJQYP,Century 21 The Hills District - CASTLE HILL,,,19 Aug 2021,house,,3200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-134785826,Castle Hill,NSW,2154,33-35 Purser Avenue,"33-35 Purser Avenue, Castle Hill, NSW 2154",3680000,"$3,680,000",house,1,1,0,,,1739.0,m²,APJQYP,Century 21 The Hills District - CASTLE HILL,,,03 Mar 2021,house,,1739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-130923722,Castle Hill,NSW,2154,76 Showground Road,"76 Showground Road, Castle Hill, NSW 2154",1825000,"$1,825,000",house,1,1,6,,,-1.0,,DUQWNE,LJ Hooker - Baulkham Hills,,,23 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-125069746,Castle Hill,NSW,2154,21 23 & 25 Garthowen Crescent,"21 23 & 25 Garthowen Crescent, Castle Hill, NSW 2154",6400000,"$6,400,000",house,1,1,0,,,2806.0,m²,XELCAA,Gilmour Property Agents,,,10 Aug 2017,house,,2806.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-123249290,Castle Hill,NSW,2154,Lot 127 Womurrung Avenue,"Lot 127 Womurrung Avenue, Castle Hill, NSW 2154",1370000,"$1,370,000",house,1,1,0,,,700.0,m²,LOACAS,Louis Carr Glenhaven - Castle Hill,,,16 Jun 2017,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-castle+hill-118567275,Castle Hill,NSW,2154,17 Wills Avenue,"17 Wills Avenue, Castle Hill, NSW 2154",964000,"$964,000",house,1,1,0,,,801.0,m²,QKVUSF,McGrath - Castle Hill,,,05 Dec 2014,house,,801.0
