badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-114287123,Catherine Hill Bay,NSW,2281,71 Flowers Drive,"71 Flowers Drive, Catherine Hill Bay, NSW 2281",850000,"$850,000",house,1,1,0,,,1908.0,m²,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,19 Sep 2013,house,,1908.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-106421450,Catherine Hill Bay,NSW,2281,6 Keene Street,"6 Keene Street, Catherine Hill Bay, NSW 2281",,Contact agent,house,1,1,0,,,800.0,m²,DOWSWA,One Agency - Eastlakes,,,,house,,800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-106443160,Catherine Hill Bay,NSW,2281,12 Montefiore Street,"12 Montefiore Street, Catherine Hill Bay, NSW 2281",,Contact agent,house,1,1,0,,,961.0,m²,DOWSWA,One Agency - Eastlakes,,,,house,,961.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-139892511,Catherine Hill Bay,NSW,2281,12 Clarke Street,"12 Clarke Street, Catherine Hill Bay, NSW 2281",1250000,"$1,250,000",house,2,1,1,,,860.0,m²,VMAQQM,Ray White - East Lake Macquarie ,,,26 Jul 2022,house,,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-134736954,Catherine Hill Bay,NSW,2281,20 Flowers Drive,"20 Flowers Drive, Catherine Hill Bay, NSW 2281",1100000,"$1,100,000",house,2,1,4,,,797.0,m²,DBXKCD,One Agency - Eastlakes,,,17 Dec 2020,house,,797.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-126769282,Catherine Hill Bay,NSW,2281,4 Northwood Road,"4 Northwood Road, Catherine Hill Bay, NSW 2281",695000,"$695,000",house,2,1,1,,,-1.0,,GLRVAL,Global Property,,,01 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-117343495,Catherine Hill Bay,NSW,2281,7 Lindsley St,"7 Lindsley St, Catherine Hill Bay, NSW 2281",640000,"$640,000",house,2,1,4,,,904.0,m²,DOWSWA,One Agency - Eastlakes,,,24 Jun 2016,house,,904.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-118675979,Catherine Hill Bay,NSW,2281,4 Clarke St,"4 Clarke St, Catherine Hill Bay, NSW 2281",640000,"$640,000",house,2,1,1,,,424.0,m²,XRHSWA,JASREAL PTY LTD - Swansea,,,01 Feb 2016,house,,424.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-115754347,Catherine Hill Bay,NSW,2281,2 CLARKE STREET,"2 CLARKE STREET, Catherine Hill Bay, NSW 2281",597500,"$597,500",house,2,1,1,,,-1.0,,XRHSWA,JASREAL PTY LTD - Swansea,,,01 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-catherine+hill+bay-116361571,Catherine Hill Bay,NSW,2281,7 CLARKE STREET,"7 CLARKE STREET, Catherine Hill Bay, NSW 2281",685000,"$685,000",house,2,1,0,,,626.0,m²,XRHSWA,JASREAL PTY LTD - Swansea,,,09 Apr 2014,house,,626.0
