badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-chatswood-117412471,Chatswood,NSW,2067,22/47 Neridah Street,"22/47 Neridah Street, Chatswood, NSW 2067",370000,"$370,000",residential-other,0,1,0,,,-1.0,,ZPCAGW,Everest Realty Pty Ltd - Chatswood,,,09 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-122446970,Chatswood,NSW,2067,289 Victoria Avenue,"289 Victoria Avenue, Chatswood, NSW 2067",,Contact agent,house,0,1,5,112,m²,227.0,m²,,,,,07 May 2016,house,112,227.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-126022646,Chatswood,NSW,2067,30 Millwood Avenue,"30 Millwood Avenue, Chatswood, NSW 2067",1405000,"$1,405,000",house,1,1,1,,,537.5,m²,XFNCHA,Shead Property - Chatswood,,,16 Aug 2017,house,,537.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-140997848,Chatswood,NSW,2067,68 Dalrymple Avenue,"68 Dalrymple Avenue, Chatswood, NSW 2067",,Contact agent,house,1,1,0,,,626.0,m²,KYIWHA,Ray White AY Realty Chatswood,,,06 Mar 2023,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-128821830,Chatswood,NSW,2067,18 Freeman Road,"18 Freeman Road, Chatswood, NSW 2067",2800000,"$2,800,000",house,1,1,1,,,-1.0,,MZFYLJ,McGrath - Northbridge,,,10 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-128821774,Chatswood,NSW,2067,20 Freeman Road,"20 Freeman Road, Chatswood, NSW 2067",2800000,"$2,800,000",house,1,1,1,,,-1.0,,MZFYLJ,McGrath - Northbridge,,,10 Jul 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-chatswood-117314059,Chatswood,NSW,2067,512/7 Railway Street,"512/7 Railway Street, Chatswood, NSW 2067",,Contact agent,duplex-semi-detached,1,1,0,,,-1.0,,,,,,09 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-140621871,Chatswood,NSW,2067,19 Millwood Avenue,"19 Millwood Avenue, Chatswood, NSW 2067",1520000,"$1,520,000",house,2,1,1,,,-1.0,,XLJCRP,Richardson & Wrench - Crows Nest,,,19 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-138901543,Chatswood,NSW,2067,12/7-9 Goodchap Road,"12/7-9 Goodchap Road, Chatswood, NSW 2067",1427500,"$1,427,500",house,2,1,2,,,-1.0,,XMHGOR,McGrath - Lindfield,,,14 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-138268002,Chatswood,NSW,2067,303 High Street,"303 High Street, Chatswood, NSW 2067",2140000,"$2,140,000",house,2,1,1,,,-1.0,,ENKIGI,Tracy Yap Realty - North Shore,,,12 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-136127262,Chatswood,NSW,2067,42 Victoria Avenue,"42 Victoria Avenue, Chatswood, NSW 2067",2301000,"$2,301,000",house,2,1,2,,,-1.0,,IABTUR,Chadwick Real Estate - Upper North Shore,,,22 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-134717254,Chatswood,NSW,2067,3 Archer Street,"3 Archer Street, Chatswood, NSW 2067",2600123,"$2,600,123",house,2,2,2,,,462.0,m²,VRSQQA,DiJones - Chatswood,,,04 Nov 2020,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-134001898,Chatswood,NSW,2067,19 Macquarie Street,"19 Macquarie Street, Chatswood, NSW 2067",1850000,"$1,850,000",house,2,1,1,,,276.0,m²,MCFWAR,McConnell Bourn - North Shore,,,08 Aug 2020,house,,276.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-132723898,Chatswood,NSW,2067,15 Macquarie Street,"15 Macquarie Street, Chatswood, NSW 2067",2019000,"$2,019,000",house,2,1,1,,,276.0,m²,MCFWAR,McConnell Bourn - North Shore,,,01 Feb 2020,house,,276.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-132495422,Chatswood,NSW,2067,5A Reid Drive,"5A Reid Drive, Chatswood, NSW 2067",1250000,"$1,250,000",house,2,1,1,,,305.0,m²,KYIWHA,Ray White AY Realty Chatswood,,,19 Dec 2019,house,,305.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-132333582,Chatswood,NSW,2067,18 Royal Street,"18 Royal Street, Chatswood, NSW 2067",1920000,"$1,920,000",house,2,1,1,,,379.4,m²,FOYBSU,McGrath - Willoughby,,,07 Nov 2019,house,,379.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-131949146,Chatswood,NSW,2067,15A Kooba Avenue,"15A Kooba Avenue, Chatswood, NSW 2067",1300000,"$1,300,000",house,2,1,1,,,-1.0,,KYIWHA,Ray White AY Realty Chatswood,,,06 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-131874170,Chatswood,NSW,2067,205 Fullers Road,"205 Fullers Road, Chatswood, NSW 2067",1870000,"$1,870,000",house,2,1,2,,,885.0,m²,THNCHA,Century 21 - Seiwa,,,20 Sep 2019,house,,885.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-chatswood-128014630,Chatswood,NSW,2067,18 Claude Street,"18 Claude Street, Chatswood, NSW 2067",1488000,"$1,488,000",duplex-semi-detached,2,1,0,,,-1.0,,KYIWHA,Ray White AY Realty Chatswood,,,31 May 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-126846022,Chatswood,NSW,2067,41 Wood Street,"41 Wood Street, Chatswood, NSW 2067",1900000,"$1,900,000",house,2,1,2,,,802.0,m²,XRWNEU,The Agency - North,,,02 Dec 2017,house,,802.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-chatswood-123317414,Chatswood,NSW,2067,1a Saywell Street,"1a Saywell Street, Chatswood, NSW 2067",1590000,"$1,590,000",duplex-semi-detached,2,2,0,,,-1.0,,RBAHSR,DiJones -  Willoughby,,,03 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-123095362,Chatswood,NSW,2067,1 Hopetoun Avenue,"1 Hopetoun Avenue, Chatswood, NSW 2067",1735000,"$1,735,000",house,2,1,2,,,322.5,m²,XRHCRO,Stone Real Estate - CROWS NEST,,,06 Aug 2016,house,,322.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-122475354,Chatswood,NSW,2067,3 Edmund Street,"3 Edmund Street, Chatswood, NSW 2067",2501000,"$2,501,000",house,2,1,1,,,531.0,m²,XFNRTF,Forsyth - Willoughby,,,14 May 2016,house,,531.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-chatswood-121077646,Chatswood,NSW,2067,14 Crick Street,"14 Crick Street, Chatswood, NSW 2067",1415000,"$1,415,000",duplex-semi-detached,2,2,2,,,290.9,m²,FOYBSU,McGrath - Willoughby,,,14 Nov 2015,house,,290.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-120824005,Chatswood,NSW,2067,33B Baldry Street,"33B Baldry Street, Chatswood, NSW 2067",2125000,"$2,125,000",house,2,2,2,,,348.0,m²,XFNRTF,Forsyth - Willoughby,,,16 Oct 2015,house,,348.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-120416913,Chatswood,NSW,2067,17 Lobelia Street,"17 Lobelia Street, Chatswood, NSW 2067",1355000,"$1,355,000",house,2,1,2,,,518.0,m²,XCEGOA,Savills - SYDNEY,,,29 Aug 2015,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-118969267,Chatswood,NSW,2067,18 Alleyne Street,"18 Alleyne Street, Chatswood, NSW 2067",1490000,"$1,490,000",house,2,1,2,,,404.7,m²,XRWNEU,The Agency - North,,,27 Feb 2015,house,,404.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-118266771,Chatswood,NSW,2067,15 Bowen Street,"15 Bowen Street, Chatswood, NSW 2067",1140000,"$1,140,000",house,2,1,1,,,322.5,m²,RBAHSR,DiJones -  Willoughby,,,22 Nov 2014,house,,322.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-118132739,Chatswood,NSW,2067,378 Penshurst Street,"378 Penshurst Street, Chatswood, NSW 2067",1050000,"$1,050,000",house,2,1,0,,,-1.0,,FOYBSU,McGrath - Willoughby,,,05 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chatswood-114085739,Chatswood,NSW,2067,11 Jacques Street,"11 Jacques Street, Chatswood, NSW 2067",1068000,"$1,068,000",house,2,1,2,,,278.0,m²,RBAHSR,DiJones -  Willoughby,,,28 Jun 2013,house,,278.0
