badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-107850891,Chifley,NSW,2036,26 Eyre Street,"26 Eyre Street, Chifley, NSW 2036",900000,"$900,000",house,1,1,1,,,570.0,m²,XRWMAB,Ray White - Maroubra / South Coogee,,,08 Oct 2011,house,,570.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-129375830,Chifley,NSW,2036,1243 Anzac Parade,"1243 Anzac Parade, Chifley, NSW 2036",1560000,"$1,560,000",house,2,1,3,,,746.0,m²,XRXBON,Wentworth Partners,,,05 Oct 2018,house,,746.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-126385862,Chifley,NSW,2036,23 Lasseter Avenue,"23 Lasseter Avenue, Chifley, NSW 2036",1875000,"$1,875,000",house,2,1,3,,,594.0,m²,XCEMAR,Agents and Co Property Group,,,07 Oct 2017,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-126432994,Chifley,NSW,2036,1249 Anzac  Parade,"1249 Anzac  Parade, Chifley, NSW 2036",1750000,"$1,750,000",house,2,1,2,,,664.0,m²,WFYIEF,Black Lifestyle Property - Randwick,,,04 Oct 2017,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-138041654,Chifley,NSW,2036,23 Lasseter Avenue,"23 Lasseter Avenue, Chifley, NSW 2036",3000000,"$3,000,000",house,2,1,2,,,-1.0,,XCEMAR,Agents and Co Property Group,,,19 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-122510274,Chifley,NSW,2036,203 Franklin Street,"203 Franklin Street, Chifley, NSW 2036",1370000,"$1,370,000",house,2,1,1,,,-1.0,,XRHMAH,Raine & Horne - Maroubra,,,21 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-119088247,Chifley,NSW,2036,20 Mitchell Street,"20 Mitchell Street, Chifley, NSW 2036",1382000,"$1,382,000",house,2,1,1,,,-1.0,,NGGKIN,NGFarah,,,02 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-117728939,Chifley,NSW,2036,1349 Anzac Parade,"1349 Anzac Parade, Chifley, NSW 2036",1260000,"$1,260,000",house,2,1,4,,,-1.0,,PUAMAR,PRD - Perez Real Estate,,,13 Sep 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-115968623,Chifley,NSW,2036,44 Eyre Street,"44 Eyre Street, Chifley, NSW 2036",1204000,"$1,204,000",house,2,1,2,,,-1.0,,PUAMAR,PRD - Perez Real Estate,,,22 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-114795243,Chifley,NSW,2036,28 Carnegie Circuit,"28 Carnegie Circuit, Chifley, NSW 2036",1018000,"$1,018,000",house,2,1,2,,,-1.0,,NGGKIN,NGFarah,,,12 Oct 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-111591835,Chifley,NSW,2036,3 Burke Street,"3 Burke Street, Chifley, NSW 2036",875000,"$875,000",house,2,1,3,,,530.0,m²,NGGKIN,NGFarah,,,13 Oct 2012,house,,530.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-108417046,Chifley,NSW,2036,70 Macquarie Street,"70 Macquarie Street, Chifley, NSW 2036",845000,"$845,000",house,2,1,2,,,-1.0,,NGGMAR,NGFarah - Maroubra,,,23 Feb 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-chifley-108503211,Chifley,NSW,2036,38 Mawson Parade,"38 Mawson Parade, Chifley, NSW 2036",637000,"$637,000",terrace,2,2,1,,,-1.0,,NGGKIN,NGFarah,,,28 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-107459041,Chifley,NSW,2036,72 Macquarie Street,"72 Macquarie Street, Chifley, NSW 2036",840000,"$840,000",house,2,1,2,,,-1.0,,XRWMAB,Ray White - Maroubra / South Coogee,,,29 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-106665471,Chifley,NSW,2036,36 Dampier Street,"36 Dampier Street, Chifley, NSW 2036",835000,"$835,000",house,2,1,2,,,602.0,m²,NGGKIN,NGFarah,,,05 Jan 2011,house,,602.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-106535189,Chifley,NSW,2036,45 Mawson Parade,"45 Mawson Parade, Chifley, NSW 2036",875000,"$875,000",house,2,1,4,,,584.0,m²,NGGMAR,NGFarah - Maroubra,,,14 Jul 2010,house,,584.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-105892354,Chifley,NSW,2036,34 Carnegie Circuit,"34 Carnegie Circuit, Chifley, NSW 2036",885000,"$885,000",house,2,1,3,,,-1.0,,NGGKIN,NGFarah,,,24 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-105724880,Chifley,NSW,2036,17 Wells Street,"17 Wells Street, Chifley, NSW 2036",707000,"$707,000",house,2,1,2,,,506.0,m²,NGGKIN,NGFarah,,,30 May 2009,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-105172401,Chifley,NSW,2036,15 Brisbane St,"15 Brisbane St, Chifley, NSW 2036",740000,"$740,000",house,2,1,1,,,624.0,m²,NGGMAR,NGFarah - Maroubra,,,06 Nov 2008,house,,624.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-105055495,Chifley,NSW,2036,1285 Anzac Parade,"1285 Anzac Parade, Chifley, NSW 2036",545000,"$545,000",house,2,1,2,,,-1.0,,XMHSYD,McGrath - Double Bay,,,06 Aug 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-141282980,Chifley,NSW,2036,41 Mawson Parade,"41 Mawson Parade, Chifley, NSW 2036",,Contact agent,house,2,1,4,,,354.0,m²,NGGKIN,NGFarah,,,13 Mar 2023,house,,354.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-135150826,Chifley,NSW,2036,58 Lasseter Avenue,"58 Lasseter Avenue, Chifley, NSW 2036",1735000,"$1,735,000",house,2,1,1,,,531.0,m²,HQDBRO,Home Estate Agents,,,21 Dec 2020,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-134888650,Chifley,NSW,2036,5 Kenny Avenue,"5 Kenny Avenue, Chifley, NSW 2036",1400000,"$1,400,000",house,2,1,2,,,-1.0,,RLGPIT,McGrath - Coogee,,,13 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-133728942,Chifley,NSW,2036,151 Franklin Street,"151 Franklin Street, Chifley, NSW 2036",1100000,"$1,100,000",house,2,1,1,,,-1.0,,XRWBOA,Ray White Park Coast East -   ,,,23 Jun 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-131887218,Chifley,NSW,2036,70 Macquarie Street,"70 Macquarie Street, Chifley, NSW 2036",1400000,"$1,400,000",house,2,1,3,,,500.0,m²,NGGKIN,NGFarah,,,21 Sep 2019,house,,500.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-chifley-124565110,Chifley,NSW,2036,65 Mawson Parade,"65 Mawson Parade, Chifley, NSW 2036",1255125,"$1,255,125",duplex-semi-detached,2,1,4,,,-1.0,,XRWMAB,Ray White - Maroubra / South Coogee,,,09 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chifley-117513843,Chifley,NSW,2036,1241 Anzac Parade,"1241 Anzac Parade, Chifley, NSW 2036",,Contact agent,house,2,2,1,,,740.0,m²,CWGWEO,Raine & Horne - Randwick,,,08 Aug 2014,house,,740.0
