badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-136371686,Chittaway Bay,NSW,2261,81 Kalua Drive,"81 Kalua Drive, Chittaway Bay, NSW 2261",640000,"$640,000",house,1,1,2,,,531.0,m²,HJZUJV,Ray White Berkeley Vale - BERKELEY VALE,,,13 Aug 2021,house,,531.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-115368483,Chittaway Bay,NSW,2261,22 Jane Ellen Crescent,"22 Jane Ellen Crescent, Chittaway Bay, NSW 2261",,Contact agent,house,1,1,0,,,-1.0,,XNNGFX,PRD - Real Estate,,,09 Jan 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-136206082,Chittaway Bay,NSW,2261,11 Magnolia Close,"11 Magnolia Close, Chittaway Bay, NSW 2261",655000,"$655,000",house,2,1,1,,,-1.0,,WKQORP,Stone Real Estate - Tumbi Umbi and Berkeley Vale,,,19 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-136210726,Chittaway Bay,NSW,2261,100 Oberon Road,"100 Oberon Road, Chittaway Bay, NSW 2261",667500,"$667,500",house,2,1,1,,,689.0,m²,KJUKDG,LJ Hooker - Tumbi Umbi  |  Killarney Vale,,,04 Jun 2021,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-135644330,Chittaway Bay,NSW,2261,3 Kalua Drive,"3 Kalua Drive, Chittaway Bay, NSW 2261",800000,"$800,000",house,2,1,2,,,569.0,m²,NDQJOI,McGrath - Long Jetty,,,31 Mar 2021,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-135070286,Chittaway Bay,NSW,2261,71 Kalua Drive,"71 Kalua Drive, Chittaway Bay, NSW 2261",535000,"$535,000",house,2,1,1,,,512.0,m²,FTSNJG,One Agency Kylee Jones Properties - Wyoming,,,15 Jan 2021,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-132255018,Chittaway Bay,NSW,2261,75 Chittaway Road,"75 Chittaway Road, Chittaway Bay, NSW 2261",570000,"$570,000",house,2,1,4,,,461.6,m²,NDQJOI,McGrath - Long Jetty,,,28 Dec 2019,house,,461.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-131358726,Chittaway Bay,NSW,2261,3 Kalua Drive,"3 Kalua Drive, Chittaway Bay, NSW 2261",570000,"$570,000",house,2,1,3,121,m²,569.0,m²,NDQJOI,McGrath - Long Jetty,,,18 Aug 2019,house,121,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-131362770,Chittaway Bay,NSW,2261,58 Chittaway Road,"58 Chittaway Road, Chittaway Bay, NSW 2261",603000,"$603,000",house,2,2,1,,,2238.0,m²,WKQORP,Stone Real Estate - Tumbi Umbi and Berkeley Vale,,,23 Jul 2019,house,,2238.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-128855062,Chittaway Bay,NSW,2261,11a Magnolia Close,"11a Magnolia Close, Chittaway Bay, NSW 2261",590000,"$590,000",house,2,2,1,,,415.0,m²,WKQORP,Stone Real Estate - Tumbi Umbi and Berkeley Vale,,,17 Oct 2018,house,,415.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-125428854,Chittaway Bay,NSW,2261,103 Aloha Drive,"103 Aloha Drive, Chittaway Bay, NSW 2261",755000,"$755,000",house,2,2,3,,,-1.0,,NDQJOI,McGrath - Long Jetty,,,03 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-125097066,Chittaway Bay,NSW,2261,125 Oberon Road,"125 Oberon Road, Chittaway Bay, NSW 2261",525000,"$525,000",house,2,1,1,,,651.0,m²,RCYGQP,The Property Market - Central Coast,,,05 Apr 2017,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-123452002,Chittaway Bay,NSW,2261,8 Moloki Avenue,"8 Moloki Avenue, Chittaway Bay, NSW 2261",435000,"$435,000",house,2,1,1,,,462.0,m²,WWOHQG,Century 21 Coast Property - Berkeley Vale/The Entrance,,,27 Sep 2016,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-120861541,Chittaway Bay,NSW,2261,13 Kauai Avenue,"13 Kauai Avenue, Chittaway Bay, NSW 2261",400000,"$400,000",house,2,1,1,,,462.0,m²,RCYGQP,The Property Market - Central Coast,,,27 Oct 2015,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-chittaway+bay-120001245,Chittaway Bay,NSW,2261,26 Jane Ellen Crescent,"26 Jane Ellen Crescent, Chittaway Bay, NSW 2261",420000,"$420,000",house,2,1,1,,,612.0,m²,RCYGQP,The Property Market - Central Coast,,,26 Jun 2015,house,,612.0
