badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-112619119,Clontarf,NSW,2093,19 Beatrice Street,"19 Beatrice Street, Clontarf, NSW 2093",,Contact agent,house,1,1,0,,,-1.0,,,,,,14 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-clontarf-126861194,Clontarf,NSW,2093,81 Gordon Street,"81 Gordon Street, Clontarf, NSW 2093",1325000,"$1,325,000",duplex-semi-detached,2,1,1,,,-1.0,,XLJBAL,Whitehouse Real Estate - Balgowlah,,,28 Feb 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-121131078,Clontarf,NSW,2093,6 Castle Rock Crescent,"6 Castle Rock Crescent, Clontarf, NSW 2093",2075000,"$2,075,000",house,2,2,2,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,19 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-117746051,Clontarf,NSW,2093,41 Cutler Road,"41 Cutler Road, Clontarf, NSW 2093",1400000,"$1,400,000",house,2,1,1,,,-1.0,,XMHMAN,Stone Real Estate - Manly,,,05 Sep 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-clontarf-105980605,Clontarf,NSW,2093,83 Gordon Street,"83 Gordon Street, Clontarf, NSW 2093",715000,"$715,000",duplex-semi-detached,2,1,1,,,-1.0,,PRNSEA,Belle Property - Seaforth  ,,,20 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-141184568,Clontarf,NSW,2093,83 Gordon Street,"83 Gordon Street, Clontarf, NSW 2093",1500000,"$1,500,000",house,2,1,1,,,186.0,m²,GUISEA,Guildea Residential - BALGOWLAH,,,03 Feb 2023,house,,186.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-123817110,Clontarf,NSW,2093,83 Gordon Street,"83 Gordon Street, Clontarf, NSW 2093",,Contact agent,house,2,1,1,,,-1.0,,BEJMAN,Belle Property - Manly,,,05 Nov 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-121923826,Clontarf,NSW,2093,94 Cutler Road,"94 Cutler Road, Clontarf, NSW 2093",1935000,"$1,935,000",house,2,2,1,,,-1.0,,NXRNMA,Latham Cusack Property Services - Neutral Bay,,,22 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-116782935,Clontarf,NSW,2093,94 Cutler Road,"94 Cutler Road, Clontarf, NSW 2093",,Contact agent,house,2,2,1,"1,472.51",m²,384.0,m²,,,,,20 Jun 2014,house,"1,472.51",384.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-141649348,Clontarf,NSW,2093,6 Kanangra Crescent,"6 Kanangra Crescent, Clontarf, NSW 2093",3000000,"$3,000,000",house,3,1,2,,,-1.0,,NTUASO,Ray White - Seaforth,,,28 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-140597755,Clontarf,NSW,2093,34 Peronne Avenue,"34 Peronne Avenue, Clontarf, NSW 2093",1000,"$1,000",house,3,3,2,,,750.0,m²,GUISEA,Guildea Residential - BALGOWLAH,,,21 Dec 2022,house,,750.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-139084827,Clontarf,NSW,2093,78 Cutler Road,"78 Cutler Road, Clontarf, NSW 2093",4100000,"$4,100,000",house,3,2,1,,,490.0,m²,KLASEA,Stone Real Estate Seaforth - Seaforth,,,23 Apr 2022,house,,490.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-135923786,Clontarf,NSW,2093,21 Alma Street,"21 Alma Street, Clontarf, NSW 2093",3750000,"$3,750,000",house,3,2,2,,,520.0,m²,PRNSEA,Belle Property - Seaforth  ,,,14 Apr 2021,house,,520.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-134803730,Clontarf,NSW,2093,14 Ogilvy Road,"14 Ogilvy Road, Clontarf, NSW 2093",2900000,"$2,900,000",house,3,1,1,,,473.0,m²,ANYRAZ,The Madison Agency - SEAFORTH,,,17 Nov 2020,house,,473.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-133004342,Clontarf,NSW,2093,21 Alma Street,"21 Alma Street, Clontarf, NSW 2093",2600000,"$2,600,000",house,3,2,2,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,19 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-131120570,Clontarf,NSW,2093,12 Peronne Avenue,"12 Peronne Avenue, Clontarf, NSW 2093",2600000,"$2,600,000",house,3,2,2,100,m²,895.0,m²,KLASEA,Stone Real Estate Seaforth - Seaforth,,,01 Jun 2019,house,100,895.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-126967914,Clontarf,NSW,2093,2 Ogilvy Road,"2 Ogilvy Road, Clontarf, NSW 2093",2370000,"$2,370,000",house,3,2,2,,,-1.0,,XNTSEA,LJ Hooker - Seaforth,,,28 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-126261366,Clontarf,NSW,2093,8 Alma Street,"8 Alma Street, Clontarf, NSW 2093",2490000,"$2,490,000",house,3,2,2,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,16 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-125334642,Clontarf,NSW,2093,31 Cutler Road,"31 Cutler Road, Clontarf, NSW 2093",3100000,"$3,100,000",house,3,1,2,,,935.8,m²,QJWEGU,Clarke & Humel Property - Manly,,,21 Jun 2017,house,,935.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-122778622,Clontarf,NSW,2093,13 Alma Street,"13 Alma Street, Clontarf, NSW 2093",2125000,"$2,125,000",house,3,2,2,,,521.0,m²,KLASEA,Stone Real Estate Seaforth - Seaforth,,,10 Jun 2016,house,,521.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-121992806,Clontarf,NSW,2093,6 Ogilvy Road,"6 Ogilvy Road, Clontarf, NSW 2093",1630000,"$1,630,000",house,3,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,19 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-120745545,Clontarf,NSW,2093,20 Sandy Bay Road,"20 Sandy Bay Road, Clontarf, NSW 2093",2610000,"$2,610,000",house,3,2,0,216,m²,284.0,m²,XNTSEA,LJ Hooker - Seaforth,,,27 Nov 2015,house,216,284.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-120856953,Clontarf,NSW,2093,39 Peronne Avenue,"39 Peronne Avenue, Clontarf, NSW 2093",2250000,"$2,250,000",house,3,3,2,,,-1.0,,PRNSEA,Belle Property - Seaforth  ,,,07 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-121149270,Clontarf,NSW,2093,11 Barrabooka Street,"11 Barrabooka Street, Clontarf, NSW 2093",1880000,"$1,880,000",house,3,1,1,,,470.0,m²,XLJMAO,The Rightside Estate Agency - Manly,,,03 Dec 2015,house,,470.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-119137191,Clontarf,NSW,2093,59 Cutler Road,"59 Cutler Road, Clontarf, NSW 2093",1800000,"$1,800,000",house,3,3,2,,,601.0,m²,XNTSEA,LJ Hooker - Seaforth,,,23 Mar 2015,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-118979679,Clontarf,NSW,2093,9 Alma Street,"9 Alma Street, Clontarf, NSW 2093",1691000,"$1,691,000",house,3,1,2,,,-1.0,,SWEBAL,Sweetnams Real Estate - Balgowlah,,,02 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-clontarf-116111943,Clontarf,NSW,2093,3 Beatrice Street,"3 Beatrice Street, Clontarf, NSW 2093",1735000,"$1,735,000",house,3,3,2,,,-1.0,,XNTSEA,LJ Hooker - Seaforth,,,15 Mar 2014,house,,-1.0
