badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-123069470,Coalcliff,NSW,2508,34 Paterson Road,"34 Paterson Road, Coalcliff, NSW 2508",2100000,"$2,100,000",house,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,20 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-113614475,Coalcliff,NSW,2508,237 Lawrence Hargrave Dr,"237 Lawrence Hargrave Dr, Coalcliff, NSW 2508",1050000,"$1,050,000",house,1,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,18 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-124121258,Coalcliff,NSW,2508,44 Paterson Road,"44 Paterson Road, Coalcliff, NSW 2508",1060000,"$1,060,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,10 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-122614542,Coalcliff,NSW,2508,238 Lawrence Hargrave Drive,"238 Lawrence Hargrave Drive, Coalcliff, NSW 2508",960000,"$960,000",house,2,1,1,,,693.0,m²,NCOFLL,The Agency - Illawarra,,,14 Jun 2016,house,,693.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-139126211,Coalcliff,NSW,2508,211 Lawrence Hargrave Drive,"211 Lawrence Hargrave Drive, Coalcliff, NSW 2508",5400000,"$5,400,000",house,2,1,1,,,2491.3,m²,XRWHEB,Ray White - Helensburgh,,,08 Apr 2022,house,,2491.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-138054814,Coalcliff,NSW,2508,28 Paterson Road,"28 Paterson Road, Coalcliff, NSW 2508",3400000,"$3,400,000",house,2,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,19 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-121360058,Coalcliff,NSW,2508,269 Lawrence Hargrave Dr,"269 Lawrence Hargrave Dr, Coalcliff, NSW 2508",870000,"$870,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,11 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-116643495,Coalcliff,NSW,2508,38 Paterson Road,"38 Paterson Road, Coalcliff, NSW 2508",1300000,"$1,300,000",house,2,2,1,,,-1.0,,FLVFJQ,Belle Property - Illawarra,,,08 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-138829899,Coalcliff,NSW,2508,5a Paterson Road,"5a Paterson Road, Coalcliff, NSW 2508",1880000,"$1,880,000",house,2,1,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,03 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-107812026,Coalcliff,NSW,2508,269 Lawrence Hargrave Dr,"269 Lawrence Hargrave Dr, Coalcliff, NSW 2508",590000,"$590,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,08 Oct 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-105291909,Coalcliff,NSW,2508,5a Paterson Road,"5a Paterson Road, Coalcliff, NSW 2508",550000,"$550,000",house,2,1,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,19 Dec 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-104799255,Coalcliff,NSW,2508,230 Lawrence Hargrave Drive,"230 Lawrence Hargrave Drive, Coalcliff, NSW 2508",450000,"$450,000",house,2,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,15 Sep 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-138835715,Coalcliff,NSW,2508,27 Paterson Road,"27 Paterson Road, Coalcliff, NSW 2508",1700000,"$1,700,000",house,3,2,2,,,454.0,m²,MBSDRI,McGrath - Thirroul,,,23 Nov 2022,house,,454.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-139325539,Coalcliff,NSW,2508,3 Paterson Road,"3 Paterson Road, Coalcliff, NSW 2508",2500000,"$2,500,000",house,3,2,3,,,613.3,m²,XRWHEB,Ray White - Helensburgh,,,01 Aug 2022,house,,613.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-130983034,Coalcliff,NSW,2508,40 Paterson Road,"40 Paterson Road, Coalcliff, NSW 2508",1642500,"$1,642,500",house,3,2,1,,,556.0,m²,ROKTHI,Seacliff Property - THIRROUL,,,31 May 2019,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-126859262,Coalcliff,NSW,2508,231 Lawrence Hargrave Drive,"231 Lawrence Hargrave Drive, Coalcliff, NSW 2508",2250000,"$2,250,000",house,3,2,2,170,m²,2116.0,m²,MBSDRI,McGrath - Thirroul,,,12 Dec 2017,house,170,2116.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-126625242,Coalcliff,NSW,2508,26 Paterson Road,"26 Paterson Road, Coalcliff, NSW 2508",3350000,"$3,350,000",house,3,2,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,11 Nov 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-120659109,Coalcliff,NSW,2508,,,1025000,"$1,025,000",house,3,2,2,,,457.0,m²,ROKTHI,Seacliff Property - THIRROUL,,,28 Oct 2015,house,,457.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-119213651,Coalcliff,NSW,2508,279 Lawrence Hargrave Drive,"279 Lawrence Hargrave Drive, Coalcliff, NSW 2508",907500,"$907,500",house,3,1,2,140.7,m²,561.0,m²,NCOFLL,The Agency - Illawarra,,,21 Mar 2015,house,140.7,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-115610287,Coalcliff,NSW,2508,223 Lawrence Hargrave Drive,"223 Lawrence Hargrave Drive, Coalcliff, NSW 2508",1450000,"$1,450,000",house,3,2,1,,,1271.0,m²,FLVFJQ,Belle Property - Illawarra,,,14 Jan 2014,house,,1271.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-111280771,Coalcliff,NSW,2508,9a Paterson Road,"9a Paterson Road, Coalcliff, NSW 2508",865000,"$865,000",house,3,2,2,,,546.0,m²,NCOFLL,The Agency - Illawarra,,,18 Dec 2012,house,,546.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coalcliff-129660350,Coalcliff,NSW,2508,225 Lawrence Hargrave,"225 Lawrence Hargrave, Coalcliff, NSW 2508",2510000,"$2,510,000",house,3,2,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,15 Dec 2018,house,,-1.0
