badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-120399009,Coledale,NSW,2515,682 Lawrence Hargrave Drive,"682 Lawrence Hargrave Drive, Coledale, NSW 2515",,Contact agent,house,0,3,2,,,641.0,m²,ROKTHI,Seacliff Property - THIRROUL,,,09 Jun 2016,house,,641.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-116363239,Coledale,NSW,2515,794 Lawrence Hargrave Drive,"794 Lawrence Hargrave Drive, Coledale, NSW 2515",743000,"$743,000",house,1,1,1,57.1,m²,542.0,m²,NCOFLL,The Agency - Illawarra,,,29 Mar 2014,house,57.1,542.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-106234566,Coledale,NSW,2515,1 Coledale Avenue,"1 Coledale Avenue, Coledale, NSW 2515",,Contact agent,house,1,1,0,,,-1.0,,,,,,05 Jan 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-137410770,Coledale,NSW,2515,6 Cokeworks Road,"6 Cokeworks Road, Coledale, NSW 2515",1353500,"$1,353,500",house,2,1,1,,,3106.0,m²,GNHNIS,Laurence Morgan -  Woonona,,,27 Oct 2021,house,,3106.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-136583822,Coledale,NSW,2515,754 Lawrence Hargrave Drive,"754 Lawrence Hargrave Drive, Coledale, NSW 2515",1930000,"$1,930,000",house,2,1,2,,,364.0,m²,NMEGWX,One Agency Kane Downie - THIRROUL,,,24 Jul 2021,house,,364.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-136396314,Coledale,NSW,2515,5 Dalys Court,"5 Dalys Court, Coledale, NSW 2515",2440000,"$2,440,000",house,2,2,1,,,961.0,m²,NMEGWX,One Agency Kane Downie - THIRROUL,,,19 Jun 2021,house,,961.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-132972318,Coledale,NSW,2515,59  Buttenshaw Drive,"59  Buttenshaw Drive, Coledale, NSW 2515",956500,"$956,500",house,2,1,1,,,694.0,m²,ZUVBRR,Ray White - THIRROUL,,,26 Feb 2020,house,,694.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-128252938,Coledale,NSW,2515,17 Cliff Street,"17 Cliff Street, Coledale, NSW 2515",1210000,"$1,210,000",house,2,1,1,,,525.0,m²,MBSDRI,McGrath - Thirroul,,,12 Jul 2018,house,,525.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-127193762,Coledale,NSW,2515,754 Lawrence Hargrave Drive,"754 Lawrence Hargrave Drive, Coledale, NSW 2515",1050000,"$1,050,000",house,2,1,0,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,08 Feb 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-126863326,Coledale,NSW,2515,17 Park Street,"17 Park Street, Coledale, NSW 2515",1285000,"$1,285,000",house,2,1,2,,,413.0,m²,MBSDRI,McGrath - Thirroul,,,21 Dec 2017,house,,413.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coledale-126420354,Coledale,NSW,2515,8 Cater Street,"8 Cater Street, Coledale, NSW 2515",1560000,"$1,560,000",house,2,1,0,,,414.0,m²,FLVFJQ,Belle Property - Illawarra,,,07 Oct 2017,house,,414.0
