badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-collaroy+beach-116099287,Collaroy Beach,NSW,2097,7 & 8/1000 PITTWATER ROAD,"7 & 8/1000 PITTWATER ROAD, Collaroy Beach, NSW 2097",457500,"$457,500",residential-other,0,1,2,73,m²,104.0,m²,THQDEE,NOVAK Properties -  Northern Beaches,,,20 May 2014,house,73,104.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy+beach-107175651,Collaroy Beach,NSW,2097,15-17 Birdwood Ave,"15-17 Birdwood Ave, Collaroy Beach, NSW 2097",,Contact agent,house,4,4,3,,,486.0,m²,XPNMOA,Hardy's 1 - Mona Vale,,,15 Mar 2011,house,,486.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy+beach-106334015,Collaroy Beach,NSW,2097,2 Florence Avenue,"2 Florence Avenue, Collaroy Beach, NSW 2097",4900000,"$4,900,000",house,4,3,2,,,544.0,m²,XLJPAN,LJ Hooker - Palm Beach,,,04 Apr 2010,house,,544.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy+beach-129643562,Collaroy Beach,NSW,2097,43 Beach Road,"43 Beach Road, Collaroy Beach, NSW 2097",8250000,"$8,250,000",house,5,6,2,,,-1.0,,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,05 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy+beach-110625889,Collaroy Beach,NSW,2097,1 Seaview Parade,"1 Seaview Parade, Collaroy Beach, NSW 2097",8700000,"$8,700,000",house,5,4,8,,,1365.8,m²,MAXMAN,Max Walls International - Manly,,,23 Jun 2012,house,,1365.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy+beach-109241561,Collaroy Beach,NSW,2097,25 BEACH ROAD,"25 BEACH ROAD, Collaroy Beach, NSW 2097",,Contact agent,house,5,2,3,,,696.0,m²,,,,,18 Feb 2012,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy+beach-106145104,Collaroy Beach,NSW,2097,3 Florence Avenue,"3 Florence Avenue, Collaroy Beach, NSW 2097",2325000,"$2,325,000",house,5,2,2,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,06 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-collaroy+beach-106620676,Collaroy Beach,NSW,2097,"1 & 2,7 Birdwood Avenue","1 & 2,7 Birdwood Avenue, Collaroy Beach, NSW 2097",,Contact agent,duplex-semi-detached,6,6,3,,,-1.0,,XPNMOA,Hardy's 1 - Mona Vale,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-collaroy+beach-114656591,Collaroy Beach,NSW,2097,112/1039 Pittwater Road,"112/1039 Pittwater Road, Collaroy Beach, NSW 2097",489000,"$489,000",apartment,2,1,0,,,-1.0,,,,,,25 Aug 2014,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-collaroy+beach-107234451,Collaroy Beach,NSW,2097,9/7 Fielding Street,"9/7 Fielding Street, Collaroy Beach, NSW 2097",480000,"$480,000",apartment,2,1,1,,,-1.0,,XVAXEJ,McGrath - Collaroy | Dee Why,,,23 Mar 2011,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-collaroy+beach-118995791,Collaroy Beach,NSW,2097,1/8 Stuart Street,"1/8 Stuart Street, Collaroy Beach, NSW 2097",565000,"$565,000",apartment,2,1,1,,,-1.0,,THNBEM,First National - The Forest,,,23 Feb 2015,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-collaroy+beach-105996049,Collaroy Beach,NSW,2097,"Unit 24,1 Ramsay Street","Unit 24,1 Ramsay Street, Collaroy Beach, NSW 2097",,Contact agent,apartment,2,1,1,,,-1.0,,KLASEA,Stone Real Estate Seaforth - Seaforth,,,08 Oct 2009,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-collaroy+beach-111393823,Collaroy Beach,NSW,2097,8/1150 Pittwater Road,"8/1150 Pittwater Road, Collaroy Beach, NSW 2097",,Contact agent,apartment,3,2,1,,,-1.0,,,,,,20 Sep 2012,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-unit-nsw-collaroy+beach-106110415,Collaroy Beach,NSW,2097,15/1191-1195 Pittwater Road,"15/1191-1195 Pittwater Road, Collaroy Beach, NSW 2097",850000,"$850,000",unit,3,2,2,,,-1.0,,DOYDEE,Doyle Spillane - Dee Why,,,20 Apr 2010,unit apartment,,-1.0
