badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-129280706,Collaroy,NSW,2097,10 Suffolk Avenue,"10 Suffolk Avenue, Collaroy, NSW 2097",2200000,"$2,200,000",house,1,1,0,,,565.7,m²,PZQDEE,First National Real Estate Caputo - Dee Why,,,07 Oct 2018,house,,565.7
Sold,https://www.realestate.com.au/sold/property-other-nsw-collaroy-116757143,Collaroy,NSW,2097,4/1-5 Collaroy Street,"4/1-5 Collaroy Street, Collaroy, NSW 2097",280000,"$280,000",residential-other,1,1,2,,,-1.0,,LIECOL,BowerGray - Dee Why,,,09 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-112653947,Collaroy,NSW,2097,1 Cumberland Avenue,"1 Cumberland Avenue, Collaroy, NSW 2097",562000,"$562,000",house,1,1,0,,,-1.0,,XLJDEE,LJ Hooker - Dee Why,,,31 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-107443419,Collaroy,NSW,2097,,,815000,"$815,000",house,1,1,0,,,-1.0,,RCEDEE,Ratcliff Mathews - Dee Why,,,17 Aug 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-collaroy-114644003,Collaroy,NSW,2097,3/1-5 Collaroy Street,"3/1-5 Collaroy Street, Collaroy, NSW 2097",280000,"$280,000",residential-other,1,1,2,,,-1.0,,LIECOL,BowerGray - Dee Why,,,10 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-105132574,Collaroy,NSW,2097,7 Homestead Avenue,"7 Homestead Avenue, Collaroy, NSW 2097",,Contact agent,house,1,1,0,,,524.0,m²,DOYDEE,Doyle Spillane - Dee Why,,,12 Jun 2009,house,,524.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-105595033,Collaroy,NSW,2097,6/24 Jenkins Street,"6/24 Jenkins Street, Collaroy, NSW 2097",300000,"$300,000",house,1,1,1,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,03 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-104412244,Collaroy,NSW,2097,11/13 Jenkins street,"11/13 Jenkins street, Collaroy, NSW 2097",345000,"$345,000",house,1,1,0,,,65.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,23 Oct 2007,house,,65.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-141090072,Collaroy,NSW,2097,4 Park Street,"4 Park Street, Collaroy, NSW 2097",1800000,"$1,800,000",house,2,2,0,,,870.4,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,04 Feb 2023,house,,870.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-collaroy-136215446,Collaroy,NSW,2097,4 Alexander Street,"4 Alexander Street, Collaroy, NSW 2097",4200000,"$4,200,000",house,2,1,3,,,1200.0,m²,XRHCOL,UPSTATE - DEE WHY,,,03 Jun 2021,house,,1200.0
