badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-concord+west-140101615,Concord West,NSW,2138,283 Concord Road,"283 Concord Road, Concord West, NSW 2138",2970000,"$2,970,000",residential-other,1,1,0,,,1124.0,m²,ZEDUXB,Stanton Hillier Parker Sydney South Region - MASCOT,,,08 Dec 2022,house,,1124.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-concord+west-131882370,Concord West,NSW,2138,349 Concord Rd,"349 Concord Rd, Concord West, NSW 2138",970000,"$970,000",residential-other,1,1,2,165,m²,243.0,m²,,,,,11 Nov 2019,house,165,243.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-106245392,Concord West,NSW,2138,17 King Street,"17 King Street, Concord West, NSW 2138",495000,"$495,000",house,1,1,1,,,217.0,m²,NPACRE,North Sydney Real Estate  - Cremorne  ,,,23 Jan 2010,house,,217.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-140436475,Concord West,NSW,2138,45 Nirranda Street,"45 Nirranda Street, Concord West, NSW 2138",2420000,"$2,420,000",house,2,1,2,,,607.0,m²,FPVHRM,DibChidiac,,,14 Oct 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-135653306,Concord West,NSW,2138,275 Queen Street,"275 Queen Street, Concord West, NSW 2138",2165000,"$2,165,000",house,2,1,2,,,442.0,m²,XLJCON,Horwood Nolan,,,27 Mar 2021,house,,442.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-131660422,Concord West,NSW,2138,28 Wilga Street,"28 Wilga Street, Concord West, NSW 2138",1710000,"$1,710,000",house,2,2,2,,,-1.0,,FPVHRM,DibChidiac,,,24 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-131370190,Concord West,NSW,2138,26 Hospital Road,"26 Hospital Road, Concord West, NSW 2138",1211000,"$1,211,000",house,2,1,2,,,569.1,m²,XLJCON,Horwood Nolan,,,06 Jul 2019,house,,569.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-129379754,Concord West,NSW,2138,41A Consett Street,"41A Consett Street, Concord West, NSW 2138",1100000,"$1,100,000",house,2,2,2,,,-1.0,,UAAQTJ,Devine Real Estate - CONCORD,,,26 Nov 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-129666638,Concord West,NSW,2138,3 Victoria Avenue,"3 Victoria Avenue, Concord West, NSW 2138",1165000,"$1,165,000",house,2,1,0,,,-1.0,,EXLCON,Exclusive Real Estate - Concord,,,19 Nov 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-128696546,Concord West,NSW,2138,10 The Drive,"10 The Drive, Concord West, NSW 2138",1645000,"$1,645,000",house,2,1,2,,,757.75,m²,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,28 Jul 2018,house,,757.75
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-125370122,Concord West,NSW,2138,340 Concord Road,"340 Concord Road, Concord West, NSW 2138",1650000,"$1,650,000",house,2,1,3,,,752.5,m²,XLJCON,Horwood Nolan,,,27 May 2017,house,,752.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-124441242,Concord West,NSW,2138,45 George Street,"45 George Street, Concord West, NSW 2138",1409000,"$1,409,000",house,2,1,0,,,354.0,m²,PKBXAS,Louis Carr Real Estate - West Pennant Hills | Cherrybrook,,,04 Feb 2017,house,,354.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-123534326,Concord West,NSW,2138,1 Harrison Avenue,"1 Harrison Avenue, Concord West, NSW 2138",2400000,"$2,400,000",house,2,1,1,,,-1.0,,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,15 Oct 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-122794706,Concord West,NSW,2138,3 Boronia Street,"3 Boronia Street, Concord West, NSW 2138",1550000,"$1,550,000",house,2,1,1,,,600.7,m²,RAOCON,Raine & Horne - Concord | Strathfield ,,,15 Jun 2016,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-122505182,Concord West,NSW,2138,37 Yaralla Street,"37 Yaralla Street, Concord West, NSW 2138",1485000,"$1,485,000",house,2,1,1,,,-1.0,,XQRRVV,LJ Hooker - Strathfield,,,21 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-121867750,Concord West,NSW,2138,13/249 Queen Street,"13/249 Queen Street, Concord West, NSW 2138",750000,"$750,000",house,2,1,1,,,-1.0,,XNKGWU,CobdenHayson - Annandale,,,22 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-134815410,Concord West,NSW,2138,23 Victoria Avenue,"23 Victoria Avenue, Concord West, NSW 2138",2050000,"$2,050,000",house,2,1,3,85,m²,400.0,m²,UNKSTR,Unique Property Real Estate - Inner West,,,12 Dec 2020,house,85,400.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-126610962,Concord West,NSW,2138,69 Victoria Avenue,"69 Victoria Avenue, Concord West, NSW 2138",1450000,"$1,450,000",house,2,1,1,,,-1.0,,WYJPPB,CENTURY 21 - Inner West,,,19 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-123858414,Concord West,NSW,2138,29 Mepunga Street,"29 Mepunga Street, Concord West, NSW 2138",2205000,"$2,205,000",house,2,1,2,,,750.0,m²,WYJPPB,CENTURY 21 - Inner West,,,26 Nov 2016,house,,750.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-122661018,Concord West,NSW,2138,194 Queen Street,"194 Queen Street, Concord West, NSW 2138",1155000,"$1,155,000",house,2,1,2,,,341.0,m²,WYJPPB,CENTURY 21 - Inner West,,,16 Sep 2016,house,,341.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-122174226,Concord West,NSW,2138,51 Colane Street,"51 Colane Street, Concord West, NSW 2138",1690000,"$1,690,000",house,2,1,2,,,606.0,m²,EXLCON,Exclusive Real Estate - Concord,,,18 Apr 2016,house,,606.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-119676955,Concord West,NSW,2138,16 Consett Street,"16 Consett Street, Concord West, NSW 2138",1795000,"$1,795,000",house,2,1,2,,,-1.0,,ELDENF,Elders Inner West,,,30 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-118297983,Concord West,NSW,2138,13 Boronia Street,"13 Boronia Street, Concord West, NSW 2138",1495000,"$1,495,000",house,2,1,3,,,-1.0,,EXLCON,Exclusive Real Estate - Concord,,,22 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-concord+west-117110531,Concord West,NSW,2138,42 Mepunga Street,"42 Mepunga Street, Concord West, NSW 2138",1402000,"$1,402,000",house,2,1,2,,,-1.0,,UAAQTJ,Devine Real Estate - CONCORD,,,05 Jul 2014,house,,-1.0
