badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-140268263,Coniston,NSW,2500,6/7 Kelvin Road,"6/7 Kelvin Road, Coniston, NSW 2500",330500,"$330,500",house,1,1,0,32,m²,-1.0,,PUHOJY,MMJ - Dapto,,,20 Sep 2022,house,32,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-115821651,Coniston,NSW,2500,18/142 Gladstone Avenue,"18/142 Gladstone Avenue, Coniston, NSW 2500",,Contact agent,house,1,1,1,,,-1.0,,,,,,03 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-123673306,Coniston,NSW,2500,18/142 Gladstone Avenue,"18/142 Gladstone Avenue, Coniston, NSW 2500",155500,"$155,500",house,1,1,1,,,-1.0,,,,,,03 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-106021064,Coniston,NSW,2500,1/50 Robertson Street,"1/50 Robertson Street, Coniston, NSW 2500",118500,"$118,500",house,1,1,0,,,-1.0,,JCEWMY,One Agency Elite Property Group,,,14 Dec 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-138908299,Coniston,NSW,2500,G03/116-118 Gladstone Avenue,"G03/116-118 Gladstone Avenue, Coniston, NSW 2500",700000,"$700,000",house,2,2,1,,,-1.0,,MMHIQN,Blaq Real Estate - WOLLONGONG,,,02 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-138853491,Coniston,NSW,2500,5/6a Milne Crescent,"5/6a Milne Crescent, Coniston, NSW 2500",675000,"$675,000",house,2,1,1,,,-1.0,,MBUDAP,Richardson and Wrench - Dapto,,,12 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-136055766,Coniston,NSW,2500,31 Heaslip Street,"31 Heaslip Street, Coniston, NSW 2500",1010000,"$1,010,000",house,2,1,2,,,-1.0,,QWESSB,First National Real Estate - Wollongong,,,04 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-127647058,Coniston,NSW,2500,6 Beresford Street,"6 Beresford Street, Coniston, NSW 2500",725500,"$725,500",house,2,1,1,,,-1.0,,HDYFWJ,Ray White - Wollongong,,,26 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-125176570,Coniston,NSW,2500,29 Bridge Street,"29 Bridge Street, Coniston, NSW 2500",670000,"$670,000",house,2,1,1,,,-1.0,,SSZEPU,Elders Real Estate - Wollongong,,,04 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-114569863,Coniston,NSW,2500,,,359000,"$359,000",house,2,1,1,,,-1.0,,SSZEPU,Elders Real Estate - Wollongong,,,12 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-coniston-111658335,Coniston,NSW,2500,16/35 Bridge Street,"16/35 Bridge Street, Coniston, NSW 2500",330000,"$330,000",terrace,2,2,1,,,-1.0,,SSZEPU,Elders Real Estate - Wollongong,,,18 Jan 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-coniston-107477031,Coniston,NSW,2500,,,327000,"$327,000",duplex-semi-detached,2,1,1,,,-1.0,,YOAFCD,Fletchers Wollongong - WOLLONGONG,,,22 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-135314962,Coniston,NSW,2500,31 Bridge Street,"31 Bridge Street, Coniston, NSW 2500",680888,"$680,888",house,2,1,1,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,29 Jan 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-124112146,Coniston,NSW,2500,6 Heaslip Street,"6 Heaslip Street, Coniston, NSW 2500",,Contact agent,house,2,1,1,,,-1.0,,SSZEPU,Elders Real Estate - Wollongong,,,28 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-123706754,Coniston,NSW,2500,1 Beresford Street,"1 Beresford Street, Coniston, NSW 2500",550000,"$550,000",house,2,1,1,,,506.0,m²,SSZEPU,Elders Real Estate - Wollongong,,,18 Oct 2016,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-123616938,Coniston,NSW,2500,10/6 Mackie Street,"10/6 Mackie Street, Coniston, NSW 2500",355000,"$355,000",house,2,1,1,,,-1.0,,XRWDAP,Ray White - Dapto & Horsley,,,30 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-coniston-116891731,Coniston,NSW,2500,5/58 Robertson Street,"5/58 Robertson Street, Coniston, NSW 2500",245000,"$245,000",house,2,1,0,,,-1.0,,XRWALF,Ray White - Albion Park,,,30 Sep 2014,house,,-1.0
