badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-112935667,Cordeaux Heights,NSW,2526,Lot 2305 19-21 Mungurra Hill Road,"Lot 2305 19-21 Mungurra Hill Road, Cordeaux Heights, NSW 2526",395000,"$395,000",house,1,1,0,,,1153.0,m²,JEFWOL,Scholtens Property - Wollongong,,,30 Apr 2014,house,,1153.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-140523235,Cordeaux Heights,NSW,2526,30D Derribong Drive,"30D Derribong Drive, Cordeaux Heights, NSW 2526",710000,"$710,000",house,2,1,1,,,288.0,m²,NZNCFT,Betschwar & Co - Wollongong ,,,17 Oct 2022,house,,288.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cordeaux+heights-123614754,Cordeaux Heights,NSW,2526,92 Derribong Drive,"92 Derribong Drive, Cordeaux Heights, NSW 2526",510000,"$510,000",duplex-semi-detached,2,1,1,,,286.0,m²,FLVFJQ,Belle Property - Illawarra,,,14 Oct 2016,house,,286.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cordeaux+heights-106168822,Cordeaux Heights,NSW,2526,92 Derribong Drive,"92 Derribong Drive, Cordeaux Heights, NSW 2526",265000,"$265,000",duplex-semi-detached,2,1,1,,,286.0,m²,,,,,20 Dec 2009,house,,286.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-141118520,Cordeaux Heights,NSW,2526,53 Taminga Crest,"53 Taminga Crest, Cordeaux Heights, NSW 2526",1280000,"$1,280,000",house,3,2,2,,,1561.0,m²,UTFACO,Molenaar + McNeice,,,28 Feb 2023,house,,1561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-141259072,Cordeaux Heights,NSW,2526,2 Telopea Place,"2 Telopea Place, Cordeaux Heights, NSW 2526",855000,"$855,000",house,3,1,2,,,577.3,m²,PFSWOL,Stone Real Estate - Illawarra,,,25 Jan 2023,house,,577.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-140596651,Cordeaux Heights,NSW,2526,88 Derribong Drive,"88 Derribong Drive, Cordeaux Heights, NSW 2526",1040000,"$1,040,000",house,3,1,1,,,784.0,m²,XRHWOM,Raine & Horne - Wollongong,,,18 Nov 2022,house,,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-139732843,Cordeaux Heights,NSW,2526,25 Odenpa Road,"25 Odenpa Road, Cordeaux Heights, NSW 2526",897000,"$897,000",house,3,2,1,,,-1.0,,NCOFLL,The Agency - Illawarra,,,10 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-140274383,Cordeaux Heights,NSW,2526,33 Derribong Drive,"33 Derribong Drive, Cordeaux Heights, NSW 2526",795000,"$795,000",house,3,1,1,,,-1.0,,RTPHEN,AM RUTTY COASTAL - WOLLONGONG,,,06 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-140325987,Cordeaux Heights,NSW,2526,6 Telopea Place,"6 Telopea Place, Cordeaux Heights, NSW 2526",770000,"$770,000",house,3,1,1,,,561.0,m²,PFSWOL,Stone Real Estate - Illawarra,,,27 Sep 2022,house,,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-139476403,Cordeaux Heights,NSW,2526,66 Mungurra Hill Road,"66 Mungurra Hill Road, Cordeaux Heights, NSW 2526",2600000,"$2,600,000",house,3,2,3,,,2855.0,m²,FLVFJQ,Belle Property - Illawarra,,,03 Jun 2022,house,,2855.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-137969058,Cordeaux Heights,NSW,2526,43A Booreea Boulevard,"43A Booreea Boulevard, Cordeaux Heights, NSW 2526",960000,"$960,000",house,3,1,2,,,839.0,m²,PFSWOL,Stone Real Estate - Illawarra,,,09 Dec 2021,house,,839.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-137436310,Cordeaux Heights,NSW,2526,94C Staff Road,"94C Staff Road, Cordeaux Heights, NSW 2526",1625000,"$1,625,000",house,3,2,2,,,2.11,ha,BGPCOR,MMJ North - Corrimal,,,28 Oct 2021,house,,21100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-137113806,Cordeaux Heights,NSW,2526,12 Toolangi Close,"12 Toolangi Close, Cordeaux Heights, NSW 2526",841777,"$841,777",house,3,1,1,,,687.0,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,10 Sep 2021,house,,687.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-136851998,Cordeaux Heights,NSW,2526,53 Taminga Crescent,"53 Taminga Crescent, Cordeaux Heights, NSW 2526",1225000,"$1,225,000",house,3,2,2,,,1561.0,m²,UTFACO,Molenaar + McNeice,,,20 Aug 2021,house,,1561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-136734766,Cordeaux Heights,NSW,2526,6 Central Road,"6 Central Road, Cordeaux Heights, NSW 2526",815000,"$815,000",house,3,1,3,,,596.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,10 Aug 2021,house,,596.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-136321486,Cordeaux Heights,NSW,2526,5 Paltarra Place,"5 Paltarra Place, Cordeaux Heights, NSW 2526",930000,"$930,000",house,3,1,3,,,851.0,m²,OCOWOL,McGrath - Wollongong,,,09 Jun 2021,house,,851.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-136129854,Cordeaux Heights,NSW,2526,5 Marril Circuit,"5 Marril Circuit, Cordeaux Heights, NSW 2526",920000,"$920,000",house,3,2,2,,,-1.0,,NZNCFT,Betschwar & Co - Wollongong ,,,07 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-135396662,Cordeaux Heights,NSW,2526,22 Derribong Drive,"22 Derribong Drive, Cordeaux Heights, NSW 2526",830000,"$830,000",house,3,1,2,,,601.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,10 Feb 2021,house,,601.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cordeaux+heights-135154522,Cordeaux Heights,NSW,2526,64 Derribong Drive,"64 Derribong Drive, Cordeaux Heights, NSW 2526",562000,"$562,000",duplex-semi-detached,3,1,2,,,-1.0,,MZKWOM,MMJ Wollongong - WOLLONGONG,,,27 Jan 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-134997458,Cordeaux Heights,NSW,2526,33 Serrata Place,"33 Serrata Place, Cordeaux Heights, NSW 2526",710000,"$710,000",house,3,1,1,185,m²,556.7,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,18 Dec 2020,house,185,556.7
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cordeaux+heights-134278410,Cordeaux Heights,NSW,2526,39 Odenpa Road,"39 Odenpa Road, Cordeaux Heights, NSW 2526",596000,"$596,000",duplex-semi-detached,3,2,4,,,371.0,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,27 Nov 2020,house,,371.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-134644442,Cordeaux Heights,NSW,2526,21 Kooranga Crescent,"21 Kooranga Crescent, Cordeaux Heights, NSW 2526",850000,"$850,000",house,3,2,3,,,586.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,07 Nov 2020,house,,586.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-134424138,Cordeaux Heights,NSW,2526,51 Tamarind Drive,"51 Tamarind Drive, Cordeaux Heights, NSW 2526",705000,"$705,000",house,3,2,1,,,700.0,m²,OCOWOL,McGrath - Wollongong,,,29 Sep 2020,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-134130198,Cordeaux Heights,NSW,2526,4 Telopea Place,"4 Telopea Place, Cordeaux Heights, NSW 2526",565000,"$565,000",house,3,1,1,,,-1.0,,NZNCFT,Betschwar & Co - Wollongong ,,,14 Aug 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-133895622,Cordeaux Heights,NSW,2526,38 Koombala Grove,"38 Koombala Grove, Cordeaux Heights, NSW 2526",875000,"$875,000",house,3,2,4,,,870.0,m²,XHNXYA,One Agency JD Property Agents - FAIRY MEADOW,,,01 Aug 2020,house,,870.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-133604366,Cordeaux Heights,NSW,2526,35 Tamarind Drive,"35 Tamarind Drive, Cordeaux Heights, NSW 2526",665000,"$665,000",house,3,2,0,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,01 Jul 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-133798658,Cordeaux Heights,NSW,2526,2 Telopea Place,"2 Telopea Place, Cordeaux Heights, NSW 2526",530000,"$530,000",house,3,1,1,,,577.0,m²,BGPCOR,MMJ North - Corrimal,,,26 Jun 2020,house,,577.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-133043266,Cordeaux Heights,NSW,2526,18 Koombala Grove,"18 Koombala Grove, Cordeaux Heights, NSW 2526",750000,"$750,000",house,3,2,2,,,1250.0,m²,DPSWOL,Illawarra Estate Agents - WOLLONGONG,,,19 Jun 2020,house,,1250.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-132859954,Cordeaux Heights,NSW,2526,23 Derribong Drive,"23 Derribong Drive, Cordeaux Heights, NSW 2526",620000,"$620,000",house,3,1,2,143,m²,718.4,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,02 Mar 2020,house,143,718.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-127250438,Cordeaux Heights,NSW,2526,12 Toolangi Close,"12 Toolangi Close, Cordeaux Heights, NSW 2526",589000,"$589,000",house,3,1,1,,,687.0,m²,FLVFJQ,Belle Property - Illawarra,,,18 Feb 2020,house,,687.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-132872258,Cordeaux Heights,NSW,2526,8 Kooranga Crescent,"8 Kooranga Crescent, Cordeaux Heights, NSW 2526",720000,"$720,000",house,3,1,1,,,-1.0,,XHNXYA,One Agency JD Property Agents - FAIRY MEADOW,,,03 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-cordeaux+heights-132419402,Cordeaux Heights,NSW,2526,66 Derribong Drive,"66 Derribong Drive, Cordeaux Heights, NSW 2526",575500,"$575,500",duplex-semi-detached,3,1,1,,,-1.0,,NZNCFT,Betschwar & Co - Wollongong ,,,23 Jan 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-131302102,Cordeaux Heights,NSW,2526,56 Tamarind Drive,"56 Tamarind Drive, Cordeaux Heights, NSW 2526",635000,"$635,000",house,3,1,1,,,1097.0,m²,FLVFJQ,Belle Property - Illawarra,,,11 Oct 2019,house,,1097.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-132042242,Cordeaux Heights,NSW,2526,11 Telopea Place,"11 Telopea Place, Cordeaux Heights, NSW 2526",553000,"$553,000",house,3,1,2,,,578.0,m²,XRHWOM,Raine & Horne - Wollongong,,,02 Oct 2019,house,,578.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-131602334,Cordeaux Heights,NSW,2526,53 Taminga Crest,"53 Taminga Crest, Cordeaux Heights, NSW 2526",925000,"$925,000",house,3,2,2,,,1561.0,m²,NZNCFT,Betschwar & Co - Wollongong ,,,05 Sep 2019,house,,1561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-131478490,Cordeaux Heights,NSW,2526,5 Murrogun Crescent,"5 Murrogun Crescent, Cordeaux Heights, NSW 2526",680000,"$680,000",house,3,2,2,,,1259.0,m²,NZNCFT,Betschwar & Co - Wollongong ,,,24 Jul 2019,house,,1259.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-128901410,Cordeaux Heights,NSW,2526,4-6 Tamarind  Drive,"4-6 Tamarind  Drive, Cordeaux Heights, NSW 2526",630000,"$630,000",house,3,1,4,,,1541.0,m²,XFRUAB,Mike T Real Estate - Wollongong,,,22 Jul 2019,house,,1541.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-129194646,Cordeaux Heights,NSW,2526,2 Central Road,"2 Central Road, Cordeaux Heights, NSW 2526",542000,"$542,000",house,3,1,2,93,m²,908.8,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,16 Apr 2019,house,93,908.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-130537378,Cordeaux Heights,NSW,2526,88 Derribong Drive,"88 Derribong Drive, Cordeaux Heights, NSW 2526",620000,"$620,000",house,3,1,0,,,783.0,m²,XHNXYA,One Agency JD Property Agents - FAIRY MEADOW,,,06 Mar 2019,house,,783.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-130213666,Cordeaux Heights,NSW,2526,5 Toolangi Close,"5 Toolangi Close, Cordeaux Heights, NSW 2526",560000,"$560,000",house,3,1,2,,,588.0,m²,UTFACO,Molenaar + McNeice,,,23 Jan 2019,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-129278614,Cordeaux Heights,NSW,2526,60 Coachwood Drive,"60 Coachwood Drive, Cordeaux Heights, NSW 2526",707500,"$707,500",house,3,1,1,,,950.0,m²,FLVFJQ,Belle Property - Illawarra,,,11 Jan 2019,house,,950.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-129003630,Cordeaux Heights,NSW,2526,6 Telopea Place,"6 Telopea Place, Cordeaux Heights, NSW 2526",585000,"$585,000",house,3,1,2,9.29,m²,561.0,m²,FLVFJQ,Belle Property - Illawarra,,,21 Dec 2018,house,9.29,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-129415042,Cordeaux Heights,NSW,2526,60A Derribong Drive,"60A Derribong Drive, Cordeaux Heights, NSW 2526",490000,"$490,000",house,3,1,1,,,301.0,m²,NCOFLL,The Agency - Illawarra,,,05 Dec 2018,house,,301.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-128520314,Cordeaux Heights,NSW,2526,87 Derribong Drive,"87 Derribong Drive, Cordeaux Heights, NSW 2526",709000,"$709,000",house,3,2,2,21,m²,847.0,m²,FLVFJQ,Belle Property - Illawarra,,,06 Nov 2018,house,21,847.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cordeaux+heights-128703098,Cordeaux Heights,NSW,2526,1 Alukea Road,"1 Alukea Road, Cordeaux Heights, NSW 2526",617000,"$617,000",house,3,1,1,,,-1.0,,RLTURK,KORE Property Group - Engadine,,,20 Jul 2018,house,,-1.0
