badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-corrimal-120319629,Corrimal,NSW,2518,429 - 433 Princes Highway,"429 - 433 Princes Highway, Corrimal, NSW 2518",,Contact agent,residential-other,0,3,0,896.5,m²,2255.0,m²,XRWDAP,Ray White - Dapto & Horsley,,,24 Aug 2015,house,896.5,2255.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-corrimal-105951399,Corrimal,NSW,2518,5A Ivor Street,"5A Ivor Street, Corrimal, NSW 2518",194000,"$194,000",house,0,1,0,,,448.0,m²,BGPCOR,MMJ North - Corrimal,,,30 Jul 2010,house,,448.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-corrimal-105524376,Corrimal,NSW,2518,,,400000,"$400,000",house,0,1,0,,,215.0,m²,MYCEDN,Stella Real Estate - Fairy Meadow,,,23 Mar 2009,house,,215.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-corrimal-120053525,Corrimal,NSW,2518,21 Murray Rd,"21 Murray Rd, Corrimal, NSW 2518",830000,"$830,000",residential-other,1,1,4,,,-1.0,,,,,,24 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-corrimal-114856807,Corrimal,NSW,2518,1/1 Midgley,"1/1 Midgley, Corrimal, NSW 2518",239000,"$239,000",duplex-semi-detached,1,1,1,,,-1.0,,,,,,06 Dec 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-corrimal-116019303,Corrimal,NSW,2518,9 Angel Street,"9 Angel Street, Corrimal, NSW 2518",475000,"$475,000",house,1,1,1,,,827.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,21 Feb 2014,house,,827.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-corrimal-106275718,Corrimal,NSW,2518,,,,Contact agent,house,1,1,1,,,-1.0,,BGPCOR,MMJ North - Corrimal,,,17 Mar 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-corrimal-105584726,Corrimal,NSW,2518,,,,Contact agent,house,1,1,0,,,-1.0,,BGPCOR,MMJ North - Corrimal,,,09 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-corrimal-139269279,Corrimal,NSW,2518,11 Lyndon Street,"11 Lyndon Street, Corrimal, NSW 2518",955000,"$955,000",house,2,1,2,,,481.0,m²,UTFACO,Molenaar + McNeice,,,25 May 2022,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-corrimal-138924619,Corrimal,NSW,2518,40 Railway Street,"40 Railway Street, Corrimal, NSW 2518",785000,"$785,000",house,2,1,2,,,-1.0,,GRHSAO,Connery Real Estate - WOONONA,,,05 May 2022,house,,-1.0
