badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-110781751,Cowan,NSW,2081,2 Park Road,"2 Park Road, Cowan, NSW 2081",800000,"$800,000",house,0,3,5,,,-1.0,,DOBIVG,Century 21 J & V Realty - Asquith ,,,20 Aug 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-cowan-105289787,Cowan,NSW,2081,1291 Pacific Highway,"1291 Pacific Highway, Cowan, NSW 2081",800000,"$800,000",acreage,0,1,0,,,3.96,ha,,,,,05 Jan 2009,house,,39600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-121898882,Cowan,NSW,2081,12 Chandler Avenue,"12 Chandler Avenue, Cowan, NSW 2081",425000,"$425,000",house,1,1,0,,,731.0,m²,DOBIVG,Century 21 J & V Realty - Asquith ,,,23 Aug 2016,house,,731.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-105419146,Cowan,NSW,2081,9 Alberta Avenue,"9 Alberta Avenue, Cowan, NSW 2081",362500,"$362,500",house,1,2,0,,,-1.0,,,,,,07 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-139138047,Cowan,NSW,2081,9 Alberta Ave,"9 Alberta Ave, Cowan, NSW 2081",930000,"$930,000",house,2,1,0,,,708.0,m²,BMGYTQ,Cass Property - Hornsby,,,13 May 2022,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-135883806,Cowan,NSW,2081,1210-1212 Pacific Highway,"1210-1212 Pacific Highway, Cowan, NSW 2081",1100000,"$1,100,000",house,2,1,1,,,2180.24,m²,TOFZXV,Stone Real Estate - Hornsby,,,17 Aug 2021,house,,2180.24
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-129442514,Cowan,NSW,2081,33 Fraser Road,"33 Fraser Road, Cowan, NSW 2081",737500,"$737,500",house,2,1,1,,,-1.0,,BZRJQQ,McGrath - Berowra,,,15 Nov 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-122066930,Cowan,NSW,2081,11 Alberta Avenue,"11 Alberta Avenue, Cowan, NSW 2081",707000,"$707,000",house,2,1,2,,,-1.0,,XLSHOR,Heimat - HORNSBY,,,09 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-116966387,Cowan,NSW,2081,11 Alberta Avenue,"11 Alberta Avenue, Cowan, NSW 2081",615150,"$615,150",house,2,1,2,,,708.0,m²,,,,,23 May 2014,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-112929723,Cowan,NSW,2081,28  Alberta Avenue,"28  Alberta Avenue, Cowan, NSW 2081",495000,"$495,000",house,2,1,1,,,-1.0,,DOBIVG,Century 21 J & V Realty - Asquith ,,,19 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-112766347,Cowan,NSW,2081,28 Alberta Ave,"28 Alberta Ave, Cowan, NSW 2081",495000,"$495,000",house,2,1,1,,,-1.0,,DOBIVG,Century 21 J & V Realty - Asquith ,,,19 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-105835701,Cowan,NSW,2081,,,,Contact agent,house,2,1,0,,,-1.0,,,,,,15 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-139696919,Cowan,NSW,2081,1207 Pacific Highway,"1207 Pacific Highway, Cowan, NSW 2081",1402000,"$1,402,000",house,3,2,2,,,1018.0,m²,IABTUR,Chadwick Real Estate - Upper North Shore,,,03 May 2023,house,,1018.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cowan-141715248,Cowan,NSW,2081,1A Chandler Avenue,"1A Chandler Avenue, Cowan, NSW 2081",992000,"$992,000",house,3,1,1,,,345.0,m²,IABTUR,Chadwick Real Estate - Upper North Shore,,,01 May 2023,house,,345.0
